osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,bridge,width,lanes,tunnel
85416328,False,N240,Avenue des Combattants,secondary,50,True,224.826,"LINESTRING (4.8712249 50.7233449, 4.8710741 50.723402, 4.8692828 50.7239046, 4.8688674 50.7240211, 4.8685293 50.7240936, 4.8683887 50.7241078, 4.8682861 50.7241223)",,,,
192060583,False,N29,Avenue Fernand Charlot,primary,50,True,119.87400000000001,"LINESTRING (4.8712249 50.7233449, 4.87116 50.7232139, 4.8707061 50.7223181)",,,,
"[354694328, 244288180]",False,N29,Rue du Bosquet,primary,50,True,160.321,"LINESTRING (4.8712249 50.7233449, 4.8712869 50.7234657, 4.8715835 50.7240473, 4.8716216 50.7241221, 4.8716842 50.7242407, 4.8718778 50.7246244, 4.8719249 50.7247169)",,,,
85416343,False,N29,Avenue Fernand Charlot,primary,50,False,20.579,"LINESTRING (4.8698587 50.7206729, 4.8698968 50.7207475, 4.8699486 50.720849)",,,,
"[105599358, 105601822]",False,N29,Chaussée de Charleroi,primary,50,True,95.25,"LINESTRING (4.8698587 50.7206729, 4.8697808 50.7205236, 4.869514 50.7199964, 4.8694307 50.7198605)",,,,
290218640,False,N240,Chaussée de Wavre,secondary,50,False,153.997,"LINESTRING (4.8628041 50.7229613, 4.8636387 50.7227152, 4.8638703 50.7226744, 4.8640035 50.7226721, 4.8641287 50.7226729, 4.8642461 50.7226746, 4.8645502 50.7227319, 4.864844 50.7228316)",,,,
389061925,False,N222,Rue de la Maladrerie,secondary,50,True,103.925,"LINESTRING (4.8628041 50.7229613, 4.8627703 50.7228946, 4.8627653 50.7228718, 4.8626923 50.7226222, 4.8625362 50.7223313, 4.8623254 50.7220846)",,,,
491121458,False,N240,Chaussée de Wavre,secondary,50,True,26.373,"LINESTRING (4.8628041 50.7229613, 4.8626406 50.7230107, 4.8625786 50.7230285, 4.8624669 50.7230646)",,,,
38099034,True,,Rue des Gotteaux,residential,30,False,140.356,"LINESTRING (4.8707061 50.7223181, 4.8708199 50.7222845, 4.8711263 50.7221825, 4.8712024 50.722155, 4.8713134 50.722098, 4.871491 50.7220401, 4.8716062 50.7220071, 4.8716581 50.7219952, 4.8717591 50.7219858, 4.8719982 50.7219361, 4.8725248 50.7218224)",,,,
192060583,False,N29,Avenue Fernand Charlot,primary,50,False,119.87400000000001,"LINESTRING (4.8707061 50.7223181, 4.87116 50.7232139, 4.8712249 50.7233449)",,,,
"[105599351, 192060583]",False,N29,Avenue Fernand Charlot,primary,50,True,171.84,"LINESTRING (4.8707061 50.7223181, 4.8706659 50.7222418, 4.8703723 50.7216729, 4.8701857 50.7213117, 4.8699857 50.7209219, 4.8699486 50.720849)",,,,
38099038,False,,Rue Saint Médard,residential,50,True,206.303,"LINESTRING (4.8682565 50.7221762, 4.8682184 50.7219948, 4.868223 50.7219658, 4.8682421 50.7218443, 4.868308 50.7217198, 4.8684866 50.7215952, 4.8688445 50.72148, 4.8690691 50.7213921, 4.8691168 50.7213736, 4.8692053 50.72132, 4.8694679 50.7210343, 4.8695238 50.7210151, 4.8697713 50.7209265, 4.8699486 50.720849)",,,,
38099042,False,,Rue des Fabriques,residential,50,False,60.06,"LINESTRING (4.8682565 50.7221762, 4.8680562 50.7219858, 4.8680389 50.721974, 4.8677209 50.721758)",,,,
