osmid,highway,oneway,reversed,length,geometry,name,bridge,lanes,ref,maxspeed,junction,access,tunnel
31270215,unclassified,False,False,9.109,"LINESTRING (5.0737048 49.7914915, 5.0736022 49.7915397)",,,,,,,,
31270215,unclassified,False,True,9.109,"LINESTRING (5.0736022 49.7915397, 5.0737048 49.7914915)",,,,,,,,
31270215,unclassified,False,False,53.288999999999994,"LINESTRING (5.0736022 49.7915397, 5.0734055 49.791647, 5.0732811 49.7917301, 5.0731914 49.79179, 5.07308 49.7918786)",,,,,,,,
185647239,residential,True,False,156.00900000000001,"LINESTRING (5.0669179 49.7953948, 5.0667704 49.7953785, 5.0666527 49.7953545, 5.0664802 49.7953123, 5.0663721 49.7952744, 5.0661513 49.7951694, 5.065975 49.795043, 5.0658479 49.7949387, 5.0657335 49.7948443, 5.0655251 49.7946128, 5.0654342 49.7945794, 5.06529 49.7945729)",Rue de la Poulie,,,,,,,
"[549783712, 549783713, 25393738, 322581903]","['living_street', 'residential']",False,True,267.214,"LINESTRING (5.0669179 49.7953948, 5.0668847 49.7953484, 5.0668555 49.7951649, 5.0668267 49.795035, 5.0667573 49.7947218, 5.0666999 49.7944281, 5.0666888 49.7943089, 5.0666979 49.7941972, 5.0667872 49.7941358, 5.0668509 49.7941362, 5.0670576 49.794179, 5.0671783 49.7942128, 5.067291 49.7942656, 5.0675557 49.7944289, 5.0677818 49.7945682, 5.0678732 49.7946546, 5.0679194 49.7947274, 5.067742 49.7947908)","['Rue du Château', 'Esplanade Godefroid de Bouillon']",,,,,,,
"[622390320, 1164799138, 48737514, 322603598]","['living_street', 'residential']",False,True,115.631,"LINESTRING (5.0669179 49.7953948, 5.0670105 49.7953847, 5.0672146 49.7953549, 5.0672952 49.7953373, 5.0673971 49.7953086, 5.0676373 49.7952226, 5.0680396 49.7950761, 5.0681297 49.7950329, 5.0683176 49.7949144)","['Place Ducale', 'Rue du Nord']",,,,,,,
1164799139,living_street,False,False,14.042,"LINESTRING (5.0669179 49.7953948, 5.0669154 49.7954378, 5.0668837 49.7955185)",Rue Saint-Nicolas,,,,,,,
31270215,unclassified,False,True,53.289,"LINESTRING (5.07308 49.7918786, 5.0731914 49.79179, 5.0732811 49.7917301, 5.0734055 49.791647, 5.0736022 49.7915397)",,,,,,,,
224735363,unclassified,False,False,187.85799999999998,"LINESTRING (5.07308 49.7918786, 5.0728958 49.7917925, 5.0724776 49.791597, 5.0722706 49.7914886, 5.072142 49.7914212, 5.0719514 49.7913213, 5.0714642 49.791116, 5.0711549 49.7910058, 5.0710056 49.7909613, 5.0709616 49.7909733, 5.0709353 49.7909994)",Chemin de Chanteraine,,,,,,,
"[310995848, 224735349]",unclassified,False,False,258.682,"LINESTRING (5.0709353 49.7909994, 5.071229 49.7911372, 5.0715621 49.7912519, 5.0717802 49.7914063, 5.0723986 49.792362, 5.0726657 49.7927261, 5.0728177 49.7929012)",Route du Christ,,,,,,,
224735363,unclassified,False,True,187.85799999999998,"LINESTRING (5.0709353 49.7909994, 5.0709616 49.7909733, 5.0710056 49.7909613, 5.0711549 49.7910058, 5.0714642 49.791116, 5.0719514 49.7913213, 5.072142 49.7914212, 5.0722706 49.7914886, 5.0724776 49.791597, 5.0728958 49.7917925, 5.07308 49.7918786)",Chemin de Chanteraine,,,,,,,
"[224735348, 454478751]",unclassified,False,True,182.29,"LINESTRING (5.0709353 49.7909994, 5.0706629 49.7909013, 5.0705593 49.7908673, 5.0704719 49.7908217, 5.0703508 49.790751, 5.0701037 49.7905662, 5.0699427 49.7904915, 5.0697558 49.7904553, 5.0696701 49.7904626, 5.0695957 49.7904846, 5.0695587 49.7905253, 5.0695355 49.79058, 5.0695451 49.7906441, 5.0698025 49.7910189)","['Rue des Hautes Voies', 'Route du Christ']",,,,,,,
34397184,secondary,False,False,60.876999999999995,"LINESTRING (5.070506 49.7946869, 5.0698972 49.794923, 5.0697775 49.7949672)",Pont de Liège,yes,3,N828z,50,,,
"[173026904, 1072788796]",secondary,True,False,20.752,"LINESTRING (5.070506 49.7946869, 5.0704962 49.7946626, 5.0704967 49.7946375, 5.0705073 49.7946133, 5.0705301 49.7945897, 5.0705626 49.7945714, 5.0706018 49.79456, 5.0706446 49.7945564)",Place Saint-Arnould,,,,,roundabout,,
34397196,living_street,True,False,18.532,"LINESTRING (5.0697775 49.7949672, 5.0695616 49.7950586)",Grand-Rue,,,,,,,
34397184,secondary,False,True,60.876999999999995,"LINESTRING (5.0697775 49.7949672, 5.0698972 49.794923, 5.070506 49.7946869)",Pont de Liège,yes,3,N828z,50,,,
"[304006760, 34397209, 549707514, 304006761]",secondary,True,False,305.436,"LINESTRING (5.0697775 49.7949672, 5.0696657 49.79486, 5.0696162 49.7948172, 5.0694975 49.7947283, 5.0693884 49.7946591, 5.0691622 49.794531, 5.0689003 49.7943921, 5.0685211 49.7941875, 5.0680763 49.7939521, 5.0679551 49.7938766, 5.0678501 49.7938029, 5.0677195 49.7936927, 5.0676406 49.7936194, 5.0675349 49.7935144, 5.0672532 49.7932529, 5.0670688 49.7930783, 5.0669935 49.7929935, 5.0669439 49.7929487)",Quai du Rempart,,,N828z,30,,,
322581899,residential,False,True,47.126,"LINESTRING (5.0697775 49.7949672, 5.0698858 49.7950138, 5.0699997 49.7952559, 5.0700341 49.7953398)",Boulevard Heynen,,,,30,,,
34397205,secondary,True,False,2.463,"LINESTRING (5.0706446 49.7945564, 5.0706786 49.7945594)",Place Saint-Arnould,,,,,roundabout,,
209587288,residential,True,False,81.904,"LINESTRING (5.0672587 49.7906945, 5.067139 49.7910221, 5.0669967 49.7914114)",Rue de Laitte,,,,,,,
304006786,residential,False,True,57.025999999999996,"LINESTRING (5.0672587 49.7906945, 5.067806 49.7910086, 5.0678448 49.7910399)",Rue de la Station,,,,,,,
34397194,living_street,False,False,28.377000000000002,"LINESTRING (5.0695616 49.7950586, 5.0694928 49.7950116, 5.0694066 49.794956, 5.0692685 49.7948884)",Rue des Petits Escaliers,,,,,,,
622390303,living_street,True,False,38.619,"LINESTRING (5.0695616 49.7950586, 5.0695632 49.7951451, 5.069564 49.7952805, 5.0695718 49.7954058)",Grand-Rue,,,,,,,
