osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,access,tunnel
361342506,N30,Rue Nicolas Lambercy,primary,50,False,False,56.255,"LINESTRING (5.6758524 50.4724082, 5.675846 50.4729141)",,,,
"[11935357, 481184133]",N30,"['Rue Jean Wilmotte', 'Place Joseph Thiry']",primary,50,False,False,48.57,"LINESTRING (5.6758198 50.4735513, 5.6755143 50.4735359, 5.675376 50.4735338, 5.675283 50.4735586, 5.6752373 50.4735937, 5.6752314 50.4736375)",,,,
11937385,N633,Rue Jean Wilmotte,secondary,50,False,False,31.416,"LINESTRING (5.6758198 50.4735513, 5.6760476 50.4735607, 5.6762624 50.4735729)",3,,,
361342506,N30,Rue Nicolas Lambercy,primary,50,False,True,70.89099999999999,"LINESTRING (5.6758198 50.4735513, 5.6758319 50.4734395, 5.675844 50.4730038, 5.675846 50.4729141)",,,,
171469957,,Chemin de l'Abbaye,residential,,False,False,60.969,"LINESTRING (5.6769187 50.4736483, 5.6768952 50.4741964)",,,,
1053542116,N633,Avenue Louis Libert,secondary,50,False,True,37.828,"LINESTRING (5.6769187 50.4736483, 5.6763946 50.4735814)",3,,,
481184127,N633,Avenue Louis Libert,secondary,50,False,False,172.575,"LINESTRING (5.6769187 50.4736483, 5.677084 50.4736662, 5.6779843 50.4738009, 5.6782825 50.4738455, 5.6791385 50.4739736, 5.6792954 50.4739949)",2,,,
"[146816473, 335392787, 27415967]",,Rue de la Heid,residential,50,False,False,198.738,"LINESTRING (5.6750792 50.4764161, 5.6751663 50.4765547, 5.6752505 50.4766201, 5.6753399 50.4766648, 5.6754389 50.4767018, 5.6755217 50.4767136, 5.675636 50.4767185, 5.6763289 50.4766643, 5.6773736 50.4765962, 5.6776371 50.476579)",,,,
27415969,N30,Avenue de la Libération,primary,50,False,False,121.36099999999999,"LINESTRING (5.6750792 50.4764161, 5.6749161 50.4765115, 5.6747726 50.4765749, 5.6746096 50.4766274, 5.6744419 50.4766607, 5.674297 50.4766737, 5.6740862 50.4766771, 5.6734859 50.4766393)",,,,
"[232210272, 76117702, 37602342, 1105018507, 416466263, 416466265]",N30,Avenue de la Libération,primary,50,False,True,140.298,"LINESTRING (5.6750792 50.4764161, 5.6752277 50.4763058, 5.6753187 50.4762284, 5.6753847 50.4761568, 5.6754231 50.4760929, 5.6754565 50.4760084, 5.6754843 50.4758894, 5.675486 50.4758343, 5.6754815 50.4757761, 5.6754774 50.4757546, 5.6753833 50.4752571, 5.6753794 50.4752324)",2,yes,,
"[146816473, 335392787, 27415967]",,Rue de la Heid,residential,50,False,True,198.738,"LINESTRING (5.6776371 50.476579, 5.6773736 50.4765962, 5.6763289 50.4766643, 5.675636 50.4767185, 5.6755217 50.4767136, 5.6754389 50.4767018, 5.6753399 50.4766648, 5.6752505 50.4766201, 5.6751663 50.4765547, 5.6750792 50.4764161)",,,,
481326515,,Rue de la Heid,residential,,False,True,50.704,"LINESTRING (5.6776371 50.476579, 5.6776314 50.4764209, 5.6776461 50.4761232)",,,,
27415969,N30,Avenue de la Libération,primary,50,False,True,121.36099999999999,"LINESTRING (5.6734859 50.4766393, 5.6740862 50.4766771, 5.674297 50.4766737, 5.6744419 50.4766607, 5.6746096 50.4766274, 5.6747726 50.4765749, 5.6749161 50.4765115, 5.6750792 50.4764161)",,,,
