osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel,access,junction,bridge
349933632,2,N237,Avenue des Combattants,secondary,30,False,False,6.237,"LINESTRING (4.5670288 50.665837, 4.5670003 50.6657839)",,,,
232331057,2,N237,Avenue des Combattants,secondary,,False,True,101.10300000000001,"LINESTRING (4.5670288 50.665837, 4.56711 50.6659211, 4.5675683 50.6661399, 4.567731 50.6662455, 4.5678268 50.6663345, 4.5678518 50.6663577, 4.5679381 50.6665118)",,,,
"[1056951796, 349933639]",,,Avenue du Roi Albert,secondary,,False,True,151.426,"LINESTRING (4.5670288 50.665837, 4.5668836 50.6658696, 4.5667225 50.665901, 4.5665486 50.6659098, 4.5662102 50.6659152, 4.5657891 50.665916, 4.5651584 50.6659118, 4.5649009 50.6658843)",,,,
"[33635955, 30561829]",2,N232,Rue des Deux Ponts,secondary,50,False,False,43.631,"LINESTRING (4.5715942 50.667081, 4.5715556 50.6670186, 4.5715294 50.6669911, 4.5715139 50.6669849, 4.571398 50.6669367, 4.5711489 50.6668244)",yes,,,
30561829,2,N232,Rue des Deux Ponts,secondary,50,False,True,139.21,"LINESTRING (4.5715942 50.667081, 4.5715719 50.6672167, 4.5715724 50.6673431, 4.5718343 50.66802, 4.5719618 50.6681702, 4.5720106 50.6682878)",,,,
"[1234051913, 9065055]",2,,Montagne du Stimont,residential,,False,False,232.07199999999997,"LINESTRING (4.5715942 50.667081, 4.5716736 50.6670738, 4.5719043 50.6670395, 4.5721307 50.6669763, 4.5725214 50.6668062, 4.5727108 50.6667089, 4.5727353 50.6666992, 4.5727562 50.6666909, 4.5728301 50.6666512, 4.5730099 50.6665552, 4.5731198 50.6664568, 4.5731721 50.6663767, 4.573184 50.6662966, 4.5731262 50.6661132, 4.5730723 50.6659753, 4.5730129 50.6658403, 4.5730158 50.6656744, 4.5730598 50.665571)",,,,
"[33635955, 30561829]",2,N232,Rue des Deux Ponts,secondary,50,False,True,43.63100000000001,"LINESTRING (4.5711489 50.6668244, 4.571398 50.6669367, 4.5715139 50.6669849, 4.5715294 50.6669911, 4.5715556 50.6670186, 4.5715942 50.667081)",yes,,,
33635963,,N232,Avenue Reine Astrid,secondary,,True,False,12.168,"LINESTRING (4.5711489 50.6668244, 4.5710699 50.6668054, 4.5709886 50.6667838)",,,,
622727613,2,N232,Chaussée de la Croix,secondary,30,False,True,48.827,"LINESTRING (4.5732841 50.6694052, 4.5731601 50.6693841, 4.5730516 50.6693351, 4.5730071 50.6693068, 4.5729184 50.6692086, 4.572829 50.6691026)",,,,
9065055,2,,Montagne du Stimont,residential,,False,True,25.589,"LINESTRING (4.5732311 50.6653738, 4.573142 50.6654309, 4.5730854 50.6655132, 4.5730598 50.665571)",,,,
