osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,junction,access
25570633,N872,Rue de Rodange,secondary,50,False,True,32.031,"LINESTRING (5.8372434 49.5593313, 5.8372305 49.5595234, 5.8372365 49.5596191)",,,,
594570196,N872,Rue de Rodange,secondary,50,False,False,24.92,"LINESTRING (5.8372434 49.5593313, 5.8372477 49.5592958, 5.837256 49.5592286, 5.8372708 49.5591079)",,,,
26530491,,Rue Belair,residential,50,False,False,148.901,"LINESTRING (5.8249287 49.5609195, 5.8239334 49.5620927)",,,,
"[319513629, 711050182]",,Rue de France,residential,50,False,False,296.871,"LINESTRING (5.8249287 49.5609195, 5.8256352 49.5615921, 5.826278 49.5621007, 5.8268021 49.5625203, 5.8270393 49.5627306, 5.8272664 49.5629785, 5.8273003 49.5630198, 5.8273465 49.5630747)",,,,
319513629,,Rue de France,residential,50,False,True,125.489,"LINESTRING (5.8249287 49.5609195, 5.8246196 49.5605905, 5.8240233 49.5599558)",,,,
26530498,,Rue des Métallurgistes,residential,50,False,True,219.091,"LINESTRING (5.8243495 49.5634131, 5.8243545 49.5634603, 5.8243595 49.5635073, 5.8243914 49.5638058, 5.8244343 49.5639194, 5.824496 49.5640072, 5.8251022 49.5647022, 5.8255154 49.5651993)",,,,
"[292413817, 362816786]",N88,Avenue de la Libération,primary,50,False,"[False, True]",213.829,"LINESTRING (5.8243495 49.5634131, 5.8245062 49.5634038, 5.8262944 49.5633131, 5.8265157 49.5632948, 5.8267772 49.5632496, 5.8270133 49.5631943, 5.8271534 49.5631478, 5.8272506 49.5631121)",3,,,
26530498,,Rue des Métallurgistes,residential,50,False,False,219.091,"LINESTRING (5.8255154 49.5651993, 5.8251022 49.5647022, 5.824496 49.5640072, 5.8244343 49.5639194, 5.8243914 49.5638058, 5.8243595 49.5635073, 5.8243545 49.5634603, 5.8243495 49.5634131)",,,,
319513635,,Rue Luttgens,residential,50,False,False,129.142,"LINESTRING (5.8255154 49.5651993, 5.8261121 49.5650676, 5.8268576 49.5649221, 5.8272173 49.564839)",,,,
319513631,,Rue Luttgens,residential,30,False,False,112.58200000000001,"LINESTRING (5.8272173 49.564839, 5.8274062 49.564754, 5.8275229 49.5646887, 5.8276831 49.5645774, 5.8277985 49.5644526, 5.8279252 49.5642677, 5.8279795 49.5642086, 5.8280566 49.5641607, 5.8282229 49.5640971)",,,,
319513635,,Rue Luttgens,residential,50,False,True,129.142,"LINESTRING (5.8272173 49.564839, 5.8268576 49.5649221, 5.8261121 49.5650676, 5.8255154 49.5651993)",,,,
143419031,,Rue de la Station,unclassified,30,False,True,52.907,"LINESTRING (5.8282229 49.5640971, 5.8284416 49.5643361, 5.8285673 49.5645164)",,,,
"[361561561, 319513630]",,Rue de la Station,unclassified,30,True,False,96.92699999999999,"LINESTRING (5.8282229 49.5640971, 5.8281496 49.5640171, 5.8278166 49.5636532, 5.8277524 49.5635806, 5.8277066 49.5635307, 5.8275846 49.5633939, 5.8275379 49.5633472)",,,,
319513631,,Rue Luttgens,residential,30,False,True,112.58200000000001,"LINESTRING (5.8282229 49.5640971, 5.8280566 49.5641607, 5.8279795 49.5642086, 5.8279252 49.5642677, 5.8277985 49.5644526, 5.8276831 49.5645774, 5.8275229 49.5646887, 5.8274062 49.564754, 5.8272173 49.564839)",,,,
126187173,,Rue Arend,residential,50,False,True,68.575,"LINESTRING (5.8320224 49.5649134, 5.8312079 49.5645952)",,,,
