osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed,junction,access,lanes
176493775,False,N975,Rue Henri de Rohan Chabot,secondary,True,108.497,"LINESTRING (4.6084596 50.2491992, 4.609604 50.2485538)",,,,
99400406,False,,,residential,True,249.01600000000002,"LINESTRING (4.6084596 50.2491992, 4.60953 50.2493847, 4.6092025 50.2509006)",,,,
176493775,False,N975,Rue Henri de Rohan Chabot,secondary,False,148.667,"LINESTRING (4.6084596 50.2491992, 4.608114 50.2492462, 4.6079398 50.24927, 4.6078804 50.249278, 4.6074451 50.2493211, 4.6073287 50.2493315, 4.6070269 50.2493673, 4.6066957 50.2494023, 4.6065856 50.2494318, 4.6064208 50.2494759)",,,,
176493775,False,N975,Rue Henri de Rohan Chabot,secondary,False,108.497,"LINESTRING (4.609604 50.2485538, 4.6084596 50.2491992)",,,,
1086058556,False,,Rue Henri de Rohan Chabot,residential,True,14.376,"LINESTRING (4.609604 50.2485538, 4.6097632 50.2484741)",,,,
294576192,False,,Rue Degrange,unclassified,True,5.035,"LINESTRING (4.6070561 50.2525616, 4.6070142 50.2525251)",,,,
222167215,False,,Place de la Chapelle,unclassified,False,46.683,"LINESTRING (4.6070561 50.2525616, 4.6070739 50.2528753, 4.6070776 50.2529812)",,,,
291437925,False,,Rue Baudry,residential,True,164.711,"LINESTRING (4.6070561 50.2525616, 4.6072676 50.2525482, 4.6078875 50.252509, 4.6090523 50.2523616, 4.6093447 50.2523433)",,,,
1040804579,False,N98,Route de Mettet,primary,False,18.956,"LINESTRING (4.6071136 50.2548501, 4.6072646 50.2549906)",,,,
222167226,False,,Rue des Fonds de la Chapelle,unclassified,True,153.33,"LINESTRING (4.6071136 50.2548501, 4.6071946 50.2547482, 4.6073397 50.2544736, 4.6074823 50.2541669, 4.6075107 50.2540469, 4.6075157 50.2540283, 4.6074988 50.253921, 4.6072393 50.2536825, 4.6071615 50.2535775)",,,,
358492504,False,N98,Rue de Mettet,primary,True,283.188,"LINESTRING (4.6071136 50.2548501, 4.6067854 50.2545065, 4.6067586 50.2544785, 4.6066859 50.2544023, 4.606273 50.2539985, 4.6059563 50.2536889, 4.6059413 50.2536764, 4.6051272 50.2529952, 4.6048871 50.2527414)",,,,
294576161,True,N98,Place Verte,primary,False,12.743,"LINESTRING (4.6056048 50.2502188, 4.6054697 50.2502941)",,,,
139297772,True,,,residential,False,39.281,"LINESTRING (4.6056048 50.2502188, 4.6057438 50.2503213, 4.6060361 50.2504327)",,,,
427167464,False,N98,Avenue Jules Lahaye,primary,True,50.053,"LINESTRING (4.6064125 50.2482263, 4.6062437 50.2477893)",,,,
99400347,False,,Rue du Hierdeau,residential,True,136.18200000000002,"LINESTRING (4.6064125 50.2482263, 4.608085 50.2482748, 4.6083237 50.2482961)",,,,
427167464,False,N98,Avenue Jules Lahaye,primary,False,129.173,"LINESTRING (4.6064125 50.2482263, 4.6064649 50.2484279, 4.6064747 50.2486265, 4.6064454 50.2488601, 4.6063164 50.2492487, 4.6062741 50.2493728)",,,,
106059634,False,,Rue du Cheslé,residential,True,87.893,"LINESTRING (4.5977472 50.2517783, 4.5976814 50.2517175, 4.5975636 50.2515815, 4.5975173 50.251529, 4.597472 50.2514341, 4.5974535 50.2512642, 4.5973938 50.2511187, 4.597356 50.2510416)",,,,
222167223,False,,Rue Saint-Roch,tertiary,False,104.87199999999999,"LINESTRING (4.5977472 50.2517783, 4.5980465 50.2518211, 4.5985185 50.2518854, 4.5986003 50.2519, 4.599179 50.2520032)",,,,
222167219,True,,Rue Pont des Dames,residential,False,95.78999999999999,"LINESTRING (4.599179 50.2520032, 4.5993607 50.251567, 4.5995458 50.2511744)",50,,,
222167223,False,,Rue Saint-Roch,tertiary,False,45.659,"LINESTRING (4.599179 50.2520032, 4.5996605 50.2520852, 4.5997992 50.2521097)",,,,
222167223,False,,Rue Saint-Roch,tertiary,True,104.872,"LINESTRING (4.599179 50.2520032, 4.5986003 50.2519, 4.5985185 50.2518854, 4.5980465 50.2518211, 4.5977472 50.2517783)",,,,
222167223,False,,Rue Saint-Roch,tertiary,True,45.659,"LINESTRING (4.5997992 50.2521097, 4.5996605 50.2520852, 4.599179 50.2520032)",,,,
302047554,False,N975,Rue de l'Abbaye,secondary,True,236.981,"LINESTRING (4.5997992 50.2521097, 4.5997319 50.2522198, 4.5994209 50.2528226, 4.5992371 50.2531626, 4.5989949 50.2534796, 4.5983862 50.2540197)",,,,
358492507,True,N975,Rue Saint-Roch,secondary,False,69.754,"LINESTRING (4.5997992 50.2521097, 4.5998688 50.2520565, 4.6001972 50.251802, 4.6004241 50.2516261)",,,,
