osmid,bridge,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel,access,junction
"[623809088, 28641074, 151659531, 623809087]",yes,True,"['2', '3']",N633,Pont des Grosses Battes,secondary,50,False,202.38500000000002,"LINESTRING (5.6011665 50.615225, 5.6014295 50.6146131, 5.6016035 50.6142195, 5.6016853 50.6140747, 5.6018475 50.6136787, 5.6018677 50.6135681, 5.6018545 50.6134657)",,,
361342365,,True,2,N30,Rue des Vennes,primary,50,False,56.525999999999996,"LINESTRING (5.5971789 50.616662, 5.5972398 50.6165627, 5.5973585 50.6164466, 5.5974939 50.616367, 5.5976686 50.6162994, 5.597692 50.6162923)",,,
28216626,,False,,N633,,secondary,50,True,9.59,"LINESTRING (5.6012651 50.6126042, 5.6013231 50.6126822)",,,
35599565,,False,,N633,,secondary,50,False,40.995,"LINESTRING (5.6012651 50.6126042, 5.6010161 50.6122711)",,,
5191884,,True,2,N30,Rue des Vennes,primary,50,False,170.365,"LINESTRING (5.5996584 50.6159997, 5.5994422 50.616086, 5.5985666 50.6162952, 5.5983665 50.6163872, 5.5976528 50.6168101)",,,
"[623809089, 30179986, 28216617]",,True,2,N633,Quai des Ardennes,secondary,50,False,310.175,"LINESTRING (5.5996584 50.6159997, 5.5994998 50.6160053, 5.5977709 50.616354, 5.5971401 50.6164974, 5.5961705 50.6167728, 5.595596 50.6170163)",yes,no,
30179989,yes,True,3,N633,Pont des Grosses Battes,secondary,50,False,149.966,"LINESTRING (5.6018999 50.6138107, 5.6013538 50.6151141)",,,
30179992,,True,2,N633,,secondary,50,False,64.13600000000001,"LINESTRING (5.6012595 50.6153379, 5.6011791 50.6154759, 5.6010839 50.6155778, 5.6010021 50.615632, 5.6009369 50.6156684, 5.6006982 50.6157676)",,,
30629343,,True,1,,,residential,50,False,35.944,"LINESTRING (5.6012595 50.6153379, 5.6012793 50.6154244, 5.6012296 50.6155575, 5.6011823 50.6156519)",,,
30179987,,True,3,,Quai des Ardennes,primary,50,False,77.77,"LINESTRING (5.6006982 50.6157676, 5.5996584 50.6159997)",,,
28414404,,True,,,,primary_link,50,False,44.192,"LINESTRING (5.5976528 50.6168101, 5.5975338 50.616832, 5.5974426 50.6168376, 5.5973704 50.6168298, 5.5973111 50.616807, 5.5972697 50.6167819, 5.5972341 50.6167506, 5.5971789 50.616662)",,,
"[30179988, 30179990]",yes,True,2,N633,Pont des Grosses Battes,secondary,50,False,286.20699999999994,"LINESTRING (5.597692 50.6162923, 5.5983811 50.6161433, 5.5997337 50.6158715, 5.6007207 50.6156643, 5.6008279 50.6156334, 5.6009175 50.6155898, 5.6009868 50.6155417, 5.6010583 50.615472, 5.6011161 50.6153814, 5.6011665 50.615225)",,,
100348058,,True,1,N30,Rue des Vennes,primary,50,False,121.997,"LINESTRING (5.597692 50.6162923, 5.5978665 50.6162344, 5.5980538 50.616182, 5.5984542 50.6160853, 5.5992937 50.6158811)",,,
30179983,,True,,,,primary_link,50,False,122.365,"LINESTRING (5.5967888 50.6172017, 5.5968128 50.6171092, 5.5968153 50.6170614, 5.5967996 50.6169967, 5.5967687 50.616944, 5.5967164 50.6168913, 5.5966504 50.6168512, 5.5965945 50.6168299, 5.5965064 50.6168175, 5.5964032 50.6168131, 5.5962965 50.6168248, 5.595596 50.6170163)",,,
321433231,,True,2,N30,Rue des Vennes,primary,50,False,66.037,"LINESTRING (5.5967888 50.6172017, 5.5968271 50.617155, 5.5969891 50.6169374, 5.5971789 50.616662)",,,
353144608,,True,,,,unclassified,30,False,23.459,"LINESTRING (5.5965678 50.61558, 5.5965248 50.6155578, 5.5964956 50.6155279, 5.5964836 50.6154936, 5.5964902 50.6154587, 5.5965145 50.6154271, 5.5965538 50.6154023)",,,roundabout
"[28059697, 30353393, 30353391]",yes,False,,N633a,,secondary,50,False,52.177,"LINESTRING (5.6003115 50.614725, 5.6002758 50.6146093, 5.6001722 50.6143484, 5.6001388 50.6142689)",,,
42670861,,False,2,,Quai des Vennes,unclassified,30,True,261.993,"LINESTRING (5.6003115 50.614725, 5.6001883 50.614758, 5.5985911 50.6150698, 5.5983272 50.6151243, 5.5971876 50.6153747, 5.5969082 50.6154505, 5.5968142 50.6154989)",,,
28059695,,True,,N633a,,secondary,50,False,16.941000000000003,"LINESTRING (5.5998984 50.6136812, 5.5998186 50.6136852, 5.5997425 50.6136695, 5.5996814 50.6136367)",,,roundabout
"[231240001, 30353393]",,False,,N633a,,secondary,50,True,67.523,"LINESTRING (5.5998984 50.6136812, 5.5999329 50.6137797, 5.6000191 50.6139845, 5.6001388 50.6142689)",,,
58609373,,True,,,Rue de la Fontaine,residential,50,False,79.156,"LINESTRING (5.6000279 50.6098374, 5.6000926 50.6099566, 5.6003401 50.610476, 5.6003896 50.6105056)",,,
82435542,,False,,,Rue Triolet,residential,50,False,128.31,"LINESTRING (5.6000279 50.6098374, 5.5999608 50.6098631, 5.5996945 50.609951, 5.5985137 50.6103314, 5.5984204 50.6103747)",,,
82435542,,False,,,Rue Triolet,residential,50,True,45.909000000000006,"LINESTRING (5.6000279 50.6098374, 5.6002427 50.6097276, 5.6005451 50.6095871)",,,
58609379,,True,,,Rue du Crucifix,residential,50,False,52.827,"LINESTRING (5.6005451 50.6095871, 5.6008975 50.6099235, 5.6009656 50.60998)",,,
82435542,,False,,,Rue Triolet,residential,50,False,45.909000000000006,"LINESTRING (5.6005451 50.6095871, 5.6002427 50.6097276, 5.6000279 50.6098374)",,,
82435542,,False,,,Rue Triolet,residential,50,True,62.925,"LINESTRING (5.6005451 50.6095871, 5.6008545 50.6094393, 5.6012232 50.6092208)",,,
8879474,,False,,,Rue Jules Verne,residential,50,False,98.98300000000002,"LINESTRING (5.5952854 50.6117265, 5.5954911 50.6121406, 5.5955254 50.6122549, 5.5955124 50.6125431, 5.5955103 50.6125944)",,,
"[668297357, 58609375]",,True,,,Rue Ovide Decroly,residential,"['50', '30']",False,249.606,"LINESTRING (5.5952854 50.6117265, 5.5919974 50.6123432, 5.5918901 50.6123548)",,,
8879498,,True,,,Rue de Kinkempois,residential,50,False,123.888,"LINESTRING (5.5887866 50.6145857, 5.5888012 50.6145486, 5.5887037 50.6135435, 5.5886954 50.6134748)",,,
353144597,,True,,,Rue du Val-Benoît,residential,50,False,101.628,"LINESTRING (5.5902008 50.6145087, 5.5897022 50.6145554, 5.5889795 50.6146269, 5.5889157 50.6146207, 5.5887866 50.6145857)",,,
1077266470,,True,,,Rue du Val-Benoît,residential,50,False,91.34400000000001,"LINESTRING (5.5914643 50.6143371, 5.5912375 50.6143658, 5.5911213 50.6143703, 5.5903584 50.6144952, 5.5902008 50.6145087)",,,
35599565,,False,,N633,,secondary,50,True,40.995,"LINESTRING (5.6010161 50.6122711, 5.6012651 50.6126042)",,,
"[8879480, 149614953]",,True,,,Rue du Val-Benoît,residential,50,False,417.49699999999996,"LINESTRING (5.6010161 50.6122711, 5.600904 50.6122965, 5.6002491 50.612461, 5.5999317 50.6125407, 5.5996977 50.6126006, 5.5995857 50.6126255, 5.59949 50.6126477, 5.5994275 50.6126457, 5.5987035 50.6128212, 5.5984214 50.6128854, 5.5983532 50.6129149, 5.598252 50.6129432, 5.5979883 50.6129993, 5.5975032 50.6131023, 5.5971182 50.6131825, 5.5970563 50.6131785, 5.5955736 50.6134809, 5.5954464 50.6135084)",,,
