osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref,access
231086505,2,Leegstraat,tertiary,30,False,False,50.784000000000006,"LINESTRING (3.8160118 51.2005927, 3.8156938 51.2004431, 3.8156678 51.2004309, 3.8154289 51.2003185)",,,
25518255,1,Pierets-De Colvenaerplein,tertiary,50,True,False,22.713,"LINESTRING (3.8125571 51.1982085, 3.8125862 51.1982607, 3.8125788 51.1983101, 3.8125432 51.1983487, 3.8124708 51.1983794)",roundabout,,
"[1082247354, 320462071]",2,Burgemeester Jos. Chalmetlaan,tertiary,50,False,True,101.481,"LINESTRING (3.8125571 51.1982085, 3.8126955 51.1981747, 3.8127323 51.1981634, 3.8138703 51.1978145)",,,
990149378,1,Pierets-De Colvenaerplein,tertiary,50,True,False,16.811,"LINESTRING (3.8124708 51.1983794, 3.8123747 51.1983834, 3.8122983 51.19836, 3.8122575 51.1983325)",roundabout,,
"[25518256, 1082247351]",1,Pierets-De Colvenaerplein,tertiary,50,True,False,77.837,"LINESTRING (3.8124708 51.1983794, 3.8125049 51.1984287, 3.8125046 51.1984501, 3.8125041 51.1984915, 3.8124646 51.1985674, 3.8123606 51.1987591, 3.8122399 51.1989695, 3.812198 51.1990425)",,,
228247202,1,Pierets-De Colvenaerplein,tertiary,50,True,False,16.060000000000002,"LINESTRING (3.8122575 51.1983325, 3.8122352 51.1982783, 3.8122485 51.1982333, 3.8122861 51.1981977)",roundabout,,
228247202,1,Pierets-De Colvenaerplein,tertiary,50,True,False,13.258,"LINESTRING (3.8122861 51.1981977, 3.8123605 51.1981696, 3.8124639 51.1981699)",roundabout,,
"[1082247352, 35029046]",,Oude Westtragel,"['unclassified', 'residential']",,False,True,121.00300000000001,"LINESTRING (3.8122861 51.1981977, 3.8122125 51.1981823, 3.8121795 51.1981637, 3.8120956 51.1981164, 3.8120527 51.198052, 3.8119633 51.197901, 3.8117245 51.1976984, 3.8112561 51.1973464)",,,
228247201,1,Pierets-De Colvenaerplein,tertiary,50,True,False,7.784,"LINESTRING (3.8124639 51.1981699, 3.8125571 51.1982085)",roundabout,,
"[1082247353, 228247211]",,Suikerkaai,tertiary,50,False,True,130.359,"LINESTRING (3.8124639 51.1981699, 3.8125068 51.1980772, 3.8124931 51.1980437, 3.8124311 51.1978918, 3.8121371 51.1975297, 3.8117291 51.1971256)",,,
25518257,1,Grote Markt,tertiary,30,True,False,160.033,"LINESTRING (3.812198 51.1990425, 3.8121634 51.1990851, 3.8115792 51.1998046, 3.8115053 51.1999055, 3.8112947 51.200177, 3.811167 51.2003284)",,,
28435199,2,Franz Wittoucklaan,tertiary,30,False,True,102.407,"LINESTRING (3.812198 51.1990425, 3.8122883 51.1990722, 3.8128383 51.199254, 3.8133975 51.1994304, 3.8134777 51.1994558, 3.813505 51.1994636)",,,
28435201,,Franz Wittoucklaan,tertiary,,False,False,25.84,"LINESTRING (3.812198 51.1990425, 3.8120233 51.198985, 3.811868 51.1989365)",,,
26756559,,Kanaalstraat,tertiary,50,False,False,9.214,"LINESTRING (3.8097503 51.2023446, 3.8096987 51.2024209)",,,
28435168,,Grote Markt,tertiary,30,False,True,12.537,"LINESTRING (3.8097503 51.2023446, 3.8098242 51.2022418)",,,
"[33973602, 283722556]","['1', '2']",President John F. Kennedylaan,primary,50,True,False,94.39699999999999,"LINESTRING (3.8097503 51.2023446, 3.8098911 51.2023667, 3.8103023 51.2024915, 3.8105508 51.2025831, 3.8109676 51.2027116)",,R4,
28435178,,Kanaalstraat,tertiary,50,False,False,11.631,"LINESTRING (3.8076986 51.2018455, 3.807706 51.201741)",,,
25558837,2,Vredekaai,unclassified,50,False,True,140.555,"LINESTRING (3.8076986 51.2018455, 3.8075858 51.2019488, 3.8075424 51.2020371, 3.8070554 51.2030381)",,,
"[283541640, 228247191]",2,Kanaalstraat,primary,50,True,False,144.258,"LINESTRING (3.8076986 51.2018455, 3.806095 51.2013886, 3.8058161 51.2013054)",,R4,
25558839,2,Havenlaan,residential,50,False,True,150.229,"LINESTRING (3.8080653 51.2043333, 3.8085598 51.2038568, 3.8088465 51.2034897, 3.8091276 51.2031598)",,,
26756559,,Kanaalstraat,tertiary,50,False,True,9.214,"LINESTRING (3.8096987 51.2024209, 3.8097503 51.2023446)",,,
25558839,2,Havenlaan,residential,50,False,False,91.291,"LINESTRING (3.8096987 51.2024209, 3.8095943 51.202552, 3.8095795 51.2025712, 3.8091276 51.2031598)",,,
"[26756561, 283722557]","['1', '2']",Kanaalstraat,primary,50,True,False,153.521,"LINESTRING (3.8096987 51.2024209, 3.8095848 51.2024005, 3.8086632 51.2021399, 3.8083783 51.2020603, 3.8081643 51.2019962, 3.8079092 51.2019046, 3.8078596 51.2018907, 3.8076986 51.2018455)",,R4,
25558837,2,Vredekaai,unclassified,50,False,False,140.555,"LINESTRING (3.8070554 51.2030381, 3.8075424 51.2020371, 3.8075858 51.2019488, 3.8076986 51.2018455)",,,
25558898,2,Kolonel Oscar Boultonstraat,unclassified,50,True,False,242.90300000000005,"LINESTRING (3.8070554 51.2030381, 3.8055822 51.201767, 3.8054593 51.2016251, 3.8053583 51.2014711, 3.805348 51.2014041, 3.8053513 51.201329, 3.8053766 51.2012716, 3.8053951 51.2012297, 3.8054122 51.201191)",,,
25581071,2,Kerkstraat,tertiary,50,False,False,96.26700000000001,"LINESTRING (3.810427 51.2036137, 3.8104484 51.2034073, 3.8105968 51.2031802, 3.810763 51.2029761, 3.810871 51.2028427, 3.8108953 51.2028114)",,,
25581071,2,Kerkstraat,tertiary,50,False,False,12.187,"LINESTRING (3.8108953 51.2028114, 3.8109676 51.2027116)",,,
25581071,2,Kerkstraat,tertiary,50,False,True,96.267,"LINESTRING (3.8108953 51.2028114, 3.810871 51.2028427, 3.810763 51.2029761, 3.8105968 51.2031802, 3.8104484 51.2034073, 3.810427 51.2036137)",,,
"[26756560, 283722562]","['1', '2']",President John F. Kennedylaan,primary,50,True,False,94.093,"LINESTRING (3.8108953 51.2028114, 3.810733 51.2027504, 3.810424 51.2026517, 3.8101485 51.2025504, 3.8098584 51.2024676, 3.8098207 51.2024566, 3.8096987 51.2024209)",,R4,
25581112,1,Peperstraat,unclassified,50,True,False,103.648,"LINESTRING (3.8091276 51.2031598, 3.810427 51.2036137)",,,
25558839,2,Havenlaan,residential,50,False,False,150.22899999999998,"LINESTRING (3.8091276 51.2031598, 3.8088465 51.2034897, 3.8085598 51.2038568, 3.8080653 51.2043333)",,,
