osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,access
20746210,Putstraat,residential,50,False,False,10.713,,,"LINESTRING (5.4602869 50.7782125, 5.4604051 50.7782733)",
25467389,Koninksemsteenweg,tertiary,50,False,False,4.751,,,"LINESTRING (5.4602869 50.7782125, 5.4602263 50.7781936)",
25587045,Elisabethwal,primary,50,True,False,26.133,1,R72,"LINESTRING (5.4602869 50.7782125, 5.460289 50.7783125, 5.4602892 50.7783174, 5.4602919 50.7784475)",
20871297,Eeuwfeestwal,residential,50,True,False,170.648,,,"LINESTRING (5.4603041 50.7805884, 5.460342 50.7806592, 5.4603636 50.7807513, 5.4603896 50.7809862, 5.4604399 50.7812202, 5.4605328 50.7813985, 5.4606798 50.7816777, 5.4607672 50.7818655, 5.4607362 50.7819449, 5.4607047 50.7819873, 5.460695 50.7820759)",
"[25587056, 337726094, 337726095]",Eeuwfeestwal,primary,50,True,False,170.23000000000002,2,R72,"LINESTRING (5.4603041 50.7805884, 5.4602663 50.7810311, 5.4602657 50.7811117, 5.4602825 50.7812285, 5.4603186 50.7813869, 5.4603798 50.781535, 5.4604793 50.7817179, 5.4605276 50.7818067, 5.460695 50.7820759)",
337726095,Eeuwfeestwal,primary,50,True,False,14.567,2,R72,"LINESTRING (5.460695 50.7820759, 5.4607176 50.7821101, 5.4607901 50.7821921)",
25378406,Sint-Maternuswal,residential,50,True,False,75.918,,,"LINESTRING (5.4623082 50.783029, 5.4623875 50.7830235, 5.4624628 50.7830247, 5.4625433 50.7830052, 5.4625896 50.7830073, 5.4626092 50.7830082, 5.4627616 50.7830327, 5.4633579 50.7831284)",
38722591,Sint-Maternuswal,primary,50,True,False,109.179,1,R72,"LINESTRING (5.4623082 50.783029, 5.4623816 50.7830413, 5.4633208 50.7831982, 5.4638097 50.7832797)",
"[521193577, 521193578, 38722605]",Elfde-Novemberwal,primary,50,True,False,143.067,1,R72,"LINESTRING (5.4649247 50.7833376, 5.4650901 50.7833333, 5.4652723 50.7833292, 5.4655314 50.7833268, 5.4655889 50.7833266, 5.4659643 50.7833254, 5.4662576 50.7833429, 5.4666424 50.7833855, 5.4669275 50.7834622)",
245059565,Sint-Truidersteenweg,primary,50,False,True,13.537,2,N79,"LINESTRING (5.4603687 50.780001, 5.4601817 50.779972)",
"[243284583, 38820759]",Eeuwfeestwal,primary,50,True,False,65.493,3,R72,"LINESTRING (5.4603687 50.780001, 5.4603614 50.7800864, 5.460356 50.780208, 5.4603041 50.7805884)",
39585909,Hasseltsesteenweg,primary,50,False,False,13.539,2,N20,"LINESTRING (5.4569824 50.7835991, 5.4571498 50.7835389)",
242755188,Hasseltsesteenweg,primary,30,False,True,8.363,2,N20,"LINESTRING (5.4607901 50.7821921, 5.4606881 50.7822308)",
25587061,Pliniuswal,primary,50,True,False,15.661000000000001,2,R72,"LINESTRING (5.4607901 50.7821921, 5.4608753 50.7822988, 5.4608931 50.7823169)",
41381217,Hemelingenstraat,residential,30,False,True,21.524,,,"LINESTRING (5.4607901 50.7821921, 5.4609109 50.7821557, 5.461066 50.7821082)",
29202545,Leopoldwal,primary,50,False,True,15.443,2,R72,"LINESTRING (5.4707609 50.7830751, 5.4706655 50.7832002)",
8159908,Jaminéstraat,primary,50,True,False,16.525,2,N79,"LINESTRING (5.4707609 50.7830751, 5.4708598 50.7830615, 5.4709919 50.7830479)",
