osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,junction,tunnel,bridge,access
31108613,True,N9a,Chaussée de Gand - Steenweg op Gent,tertiary,30,False,54.122,"LINESTRING (4.3340369 50.856819, 4.3341054 50.8567654, 4.3345175 50.8564384)",,,,,
175872981,False,N9a,Chaussée de Gand - Steenweg op Gent,tertiary,30,True,48.818999999999996,"LINESTRING (4.3340369 50.856819, 4.3339491 50.8568878, 4.3337623 50.8570101, 4.3337092 50.8570396, 4.3336371 50.8570795, 4.3335425 50.8571259)",,,,,
"[26236876, 808485710, 808485711]",False,,Rue d'Ostende - Oostendestraat,residential,30,False,141.575,"LINESTRING (4.3340369 50.856819, 4.3339587 50.8567951, 4.3338266 50.8567427, 4.3325172 50.8562236, 4.3323229 50.8561485)",,,,,
19802222,False,,Rue Jean Jacquet - Jean Jacquetstraat,tertiary,30,True,37.199000000000005,"LINESTRING (4.3266961 50.8567899, 4.3267434 50.8568825, 4.3267547 50.8569024, 4.3267765 50.8569406, 4.326808 50.8569958, 4.3268562 50.8570529, 4.3269017 50.8570964)",,,,,
41178449,False,N9a,Chaussée de Gand - Gentsesteenweg / Chaussée de Gand - Steenweg op Gent,tertiary,30,False,84.592,"LINESTRING (4.3266961 50.8567899, 4.3268807 50.85678, 4.3269234 50.8567802, 4.3269882 50.8567805, 4.3279004 50.8567914)",,,,,
"[845100721, 175872983, 245230343]",False,N9a,"['Chaussée de Gand - Steenweg op Gent', 'Chaussée de Gand - Gentsesteenweg / Chaussée de Gand - Steenweg op Gent']",tertiary,30,True,143.967,"LINESTRING (4.3266961 50.8567899, 4.3265071 50.8568001, 4.3264483 50.8568083, 4.3263835 50.8568174, 4.3258638 50.8568896, 4.325748 50.8569057, 4.3255945 50.8569282, 4.3253567 50.8569631, 4.3251234 50.8569973, 4.3248987 50.8570302, 4.3248434 50.8570383, 4.3247968 50.8570451, 4.3246918 50.8570597)","['2', '3']",,,,
"[397147461, 19797678]",False,,Avenue Mahatma Gandhi - Mahatma Gandhilaan,"['living_street', 'residential']","['20', '30']",True,160.84199999999998,"LINESTRING (4.3246918 50.8570597, 4.3247292 50.8571444, 4.3247358 50.8571677, 4.324767 50.8572771, 4.3247765 50.8573057, 4.3247853 50.8573353, 4.3247829 50.857368, 4.324771 50.8574318, 4.3247543 50.8574614, 4.3247415 50.8575001, 4.3247375 50.8575428, 4.3247519 50.857598, 4.3248044 50.8576918, 4.3249565 50.8579565, 4.3251856 50.8583563, 4.3252348 50.8584424)",,,,,
"[845100721, 245230343, 175872983]",False,N9a,"['Chaussée de Gand - Steenweg op Gent', 'Chaussée de Gand - Gentsesteenweg / Chaussée de Gand - Steenweg op Gent']",tertiary,30,False,143.967,"LINESTRING (4.3246918 50.8570597, 4.3247968 50.8570451, 4.3248434 50.8570383, 4.3248987 50.8570302, 4.3251234 50.8569973, 4.3253567 50.8569631, 4.3255945 50.8569282, 4.325748 50.8569057, 4.3258638 50.8568896, 4.3263835 50.8568174, 4.3264483 50.8568083, 4.3265071 50.8568001, 4.3266961 50.8567899)","['2', '3']",,,,
237824921,False,,Rue de Normandie - Normandiëstraat,residential,30,False,208.35199999999998,"LINESTRING (4.3250237 50.8615908, 4.3253745 50.8615052, 4.3266597 50.8611917, 4.3268932 50.8611253, 4.3269698 50.8610807, 4.3272921 50.8607027, 4.3273742 50.8606057)",,,,,
8517016,False,,Rue Félix Vande Sande - Félix Vande Sandestraat,residential,30,True,108.938,"LINESTRING (4.3272363 50.8620588, 4.3273315 50.8620781, 4.3286213 50.8623527, 4.3287067 50.8623725)",,,,,
