osmid,lanes,name,highway,maxspeed,oneway,reversed,length,bridge,geometry,access,junction
"[33465992, 33465995, 37632496, 729322998, 123122779, 10557212]",2,"['Netestraat', 'Boudewijnstraat']",tertiary,50,False,"[False, True]",178.98400000000004,yes,"LINESTRING (4.7391433 51.1876763, 4.7387589 51.1880891, 4.7387106 51.1881516, 4.7386774 51.1882117, 4.7386548 51.1882772, 4.7386532 51.1883043, 4.7386503 51.1883133, 4.7386402 51.1883437, 4.7386228 51.1885956, 4.7386057 51.1889801, 4.7386152 51.189109, 4.7386317 51.1892069)",,
32264163,,Astridplein,residential,,True,False,107.52300000000001,,"LINESTRING (4.7395746 51.1921664, 4.7380983 51.1922071, 4.7380853 51.192207, 4.7380331 51.1922068)",,
124381451,,Schransstraat,tertiary,50,False,False,85.08200000000001,,"LINESTRING (4.7395746 51.1921664, 4.7396191 51.1922385, 4.7399948 51.1928848)",,
319270956,,Astridplein,tertiary,70,False,True,89.74199999999999,,"LINESTRING (4.7395746 51.1921664, 4.7393542 51.1918003, 4.7390919 51.1914184)",,
14678607,,Vaartkom,unclassified,50,True,False,35.921,,"LINESTRING (4.7380165 51.1894019, 4.7382348 51.1893331, 4.7383014 51.1893127, 4.7383403 51.1893023, 4.738483 51.1892649)",,
32349229,,Vaartkom,unclassified,50,False,False,20.772,,"LINESTRING (4.7380165 51.1894019, 4.7378882 51.1894346, 4.7377335 51.1894591)",,
18962350,,Troon,unclassified,,True,False,33.016000000000005,,"LINESTRING (4.7392412 51.1892495, 4.7389724 51.1893123, 4.7388664 51.1893334, 4.738791 51.1893373)",,
18962701,,Troon,unclassified,,False,False,150.944,,"LINESTRING (4.7392412 51.1892495, 4.7397785 51.1891831, 4.7402563 51.1891241, 4.7406309 51.1890778, 4.7412048 51.1890069, 4.7413662 51.188987)",,
"[779881322, 35979870]",2,Nijverheidsstraat,residential,,False,False,196.689,,"LINESTRING (4.7357578 51.1946402, 4.7357694 51.1946747, 4.7357861 51.1947408, 4.7357699 51.194784, 4.7357404 51.1948134, 4.7356896 51.1948448, 4.7354904 51.1949729, 4.7348185 51.1953503, 4.7341631 51.1956932, 4.734004 51.1957803, 4.7338493 51.1958686)",,
"[201749712, 1178357052]",,Bergstraat,tertiary,"['50', '30']",False,True,74.68499999999999,,"LINESTRING (4.7357578 51.1946402, 4.7360935 51.1944973, 4.7364088 51.1941615, 4.736432 51.1941379)",,
779881322,,Nijverheidsstraat,residential,,False,False,9.05,,"LINESTRING (4.7338493 51.1958686, 4.7337825 51.1959384)",,
"[779881322, 35979870]",2,Nijverheidsstraat,residential,,False,True,196.689,,"LINESTRING (4.7338493 51.1958686, 4.734004 51.1957803, 4.7341631 51.1956932, 4.7348185 51.1953503, 4.7354904 51.1949729, 4.7356896 51.1948448, 4.7357404 51.1948134, 4.7357699 51.194784, 4.7357861 51.1947408, 4.7357694 51.1946747, 4.7357578 51.1946402)",,
32349229,,Vaartkom,unclassified,50,False,True,20.772,,"LINESTRING (4.7377335 51.1894591, 4.7378882 51.1894346, 4.7380165 51.1894019)",,
