osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry,access
376689351,2,N467,Frankrijkstraat,secondary,50,4,False,True,7.817,"LINESTRING (4.0049847 51.0220052, 4.0049102 51.0220576)",
89691663,2,N467,Frankrijkstraat,secondary,50,5,False,True,105.217,"LINESTRING (4.0049847 51.0220052, 4.0050532 51.0219479, 4.0056946 51.0214256, 4.0057491 51.0213797, 4.0058201 51.0213026, 4.005873 51.0212431)",
"[378129622, 378129623]",2,,Van Tieghemstraat,residential,50,3,False,True,212.05,"LINESTRING (4.0049847 51.0220052, 4.0050618 51.0220297, 4.0050874 51.0220378, 4.0052305 51.0220834, 4.0056564 51.0221291, 4.0058841 51.0221257, 4.0061533 51.0221126, 4.0079233 51.0218292)",
146411681,2,,Warande,residential,50,4,False,True,281.591,"LINESTRING (4.0024093 51.021617, 4.0007624 51.0224134, 3.9992194 51.023162)",
146465348,2,,Warande,residential,50,4,False,False,52.787000000000006,"LINESTRING (4.0024093 51.021617, 4.0024734 51.0216303, 4.0031586 51.0216632)",
1238957517,2,,Warande,residential,50,3,False,False,33.893,"LINESTRING (4.0024093 51.021617, 4.002635 51.0214897, 4.0027528 51.0214029)",
146411668,2,,Spinnerijstraat,residential,30,3,False,False,46.835,"LINESTRING (3.9989838 51.0267454, 3.9987812 51.0265369, 3.9987417 51.0264774, 3.9987255 51.0263655)",
432333658,1,,Schuttersweg,residential,30,3,False,False,156.908,"LINESTRING (3.9989838 51.0267454, 3.9986552 51.0268935, 3.9985328 51.0269605, 3.9984206 51.0270255, 3.9981308 51.0272048, 3.9973754 51.0277232)",
146411674,2,,Turfputstraat,residential,50,3,False,False,74.159,"LINESTRING (3.9973754 51.0277232, 3.9965719 51.027288)",
146411674,2,,Turfputstraat,residential,50,3,False,True,93.89200000000001,"LINESTRING (3.9973754 51.0277232, 3.9982836 51.0282477, 3.9983269 51.028311)",
432333658,1,,Schuttersweg,residential,30,3,False,True,156.90800000000002,"LINESTRING (3.9973754 51.0277232, 3.9981308 51.0272048, 3.9984206 51.0270255, 3.9985328 51.0269605, 3.9986552 51.0268935, 3.9989838 51.0267454)",
146411674,2,,Turfputstraat,residential,50,3,False,True,74.159,"LINESTRING (3.9965719 51.027288, 3.9973754 51.0277232)",
