osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,width,tunnel,access
"[763058418, 763058419]",2,N499,Lostraat,tertiary,50,False,False,89.069,"LINESTRING (3.4506664 51.0799154, 3.4506853 51.0800296, 3.4507377 51.0803462, 3.4507807 51.0807131)",,,,
"[43403090, 763058420]",,,Kerkem,residential,50,False,False,155.11100000000002,"LINESTRING (3.4506664 51.0799154, 3.450461 51.0799424, 3.4497655 51.080034, 3.4496981 51.0800386, 3.4493706 51.080061, 3.4491639 51.080077, 3.4489664 51.0801028, 3.4484853 51.0801697)",,,,
42769781,,,Bellemstraat,residential,30,True,False,86.396,"LINESTRING (3.4489527 51.0838707, 3.4489664 51.0838974, 3.4489847 51.083919, 3.4490092 51.0839373, 3.4490402 51.0839451, 3.4494057 51.084002, 3.4499897 51.0840442, 3.4500283 51.0840447, 3.4501066 51.0840393)",,,,
720885261,,N499,Lostraat,tertiary,30,False,False,64.232,"LINESTRING (3.4489527 51.0838707, 3.4489805 51.0838459, 3.448998 51.0838293, 3.4493041 51.0835478, 3.4494646 51.0833909)",,,,
30982988,,,Sint-Jozefstraat,residential,30,False,False,4.404,"LINESTRING (3.4437445 51.0808159, 3.4437335 51.0808549)",,,,
1119229747,1,,Brouwerijstraat,tertiary,50,True,False,12.436,"LINESTRING (3.44386 51.0834778, 3.4437974 51.0834381, 3.4437597 51.0833874)",roundabout,,,
30982998,1,,Brouwerijstraat,tertiary,50,True,False,11.951,"LINESTRING (3.4442254 51.0832537, 3.4442519 51.0832854, 3.4442668 51.08332, 3.4442692 51.0833558)",roundabout,,,
"[332491641, 30983047]",1,,,trunk_link,,True,False,392.86400000000003,"LINESTRING (3.4424212 51.0868787, 3.4424123 51.0866267, 3.4436979 51.0837005, 3.4437366 51.0836336, 3.4437766 51.0835796, 3.4438114 51.0835373, 3.4438306 51.0835192, 3.44386 51.0834778)",,3,,
"[227896152, 30983032, 30983031]",2,N44,Knokkebaan,trunk,90,True,False,669.044,"LINESTRING (3.4424212 51.0868787, 3.4425435 51.0866016, 3.4438235 51.0836907, 3.444129 51.0829983, 3.4449689 51.0810786)",,,yes,
"[30983051, 332491638]","['1', '2']",,,trunk_link,70,True,False,245.551,"LINESTRING (3.4439701 51.0831837, 3.4439896 51.0831091, 3.4439971 51.0830344, 3.4442854 51.0823537, 3.4445819 51.0817006, 3.4447996 51.0812357, 3.4449689 51.0810786)",,3,,
227742020,1,,Brouwerijstraat,tertiary,50,True,False,20.47,"LINESTRING (3.4439701 51.0831837, 3.4440433 51.0831831, 3.444114 51.0831954, 3.4441763 51.0832195, 3.4442254 51.0832537)",roundabout,,,
30982988,,,Sint-Jozefstraat,residential,30,False,True,108.056,"LINESTRING (3.4430753 51.0832964, 3.443088 51.0832646, 3.4431147 51.0831692, 3.443135 51.0830965, 3.4432233 51.0827515, 3.443292 51.0825692, 3.4433505 51.0823406)",,,,
119945189,,,Brouwerijstraat,tertiary,30,False,False,28.293,"LINESTRING (3.4430753 51.0832964, 3.4428191 51.0832557, 3.4427454 51.0832482, 3.4426793 51.0832469)",,,,
"[1220326946, 119945189]",,,Brouwerijstraat,tertiary,30,False,True,21.569,"LINESTRING (3.4430753 51.0832964, 3.4431602 51.0833064, 3.4433797 51.0833289)",,,,
"[977052355, 196011612, 42594060]",,,Brouwerijstraat,residential,30,False,True,65.027,"LINESTRING (3.4446586 51.0835359, 3.4447773 51.0835366, 3.4448142 51.0835366, 3.4449376 51.083538, 3.4450422 51.0835466, 3.4454754 51.0836508, 3.4455525 51.0836693)",,,,
"[468110928, 772434901, 417986229]",2,,Europalaan,tertiary,30,False,False,145.28699999999998,"LINESTRING (3.4446586 51.0835359, 3.4446648 51.0835701, 3.4446641 51.0836008, 3.4446496 51.0836597, 3.4445935 51.0837855, 3.4444882 51.0840177, 3.4444648 51.0840692, 3.4444521 51.0840968, 3.444413 51.0841818, 3.4441986 51.0846557, 3.4441734 51.0847044, 3.4441266 51.0847949)",,,,
"[772434900, 1220326941]",1,,Brouwerijstraat,tertiary,50,True,False,33.431,"LINESTRING (3.4446586 51.0835359, 3.4445829 51.0835148, 3.4445289 51.083484, 3.4444706 51.0834606, 3.4444159 51.0834474, 3.444343 51.0834341, 3.4442854 51.0834311, 3.4442247 51.0834367)",,,,
42687362,,,Aard,residential,30,False,False,119.92,"LINESTRING (3.4455525 51.0836693, 3.4455687 51.0836263, 3.4455892 51.083572, 3.4456481 51.0834262, 3.4457007 51.0832999, 3.4457155 51.083284, 3.445758 51.0832733, 3.4457919 51.0832701, 3.4458275 51.0832704, 3.4459329 51.0832813, 3.4459674 51.0832822, 3.4460004 51.0832797, 3.4460348 51.0832702, 3.4460628 51.0832565, 3.4460917 51.0832398, 3.4461114 51.0832191, 3.4461338 51.0831772, 3.4461542 51.0831318, 3.4461734 51.0831109, 3.4461959 51.0830967, 3.446229 51.0830839, 3.4462844 51.0830708, 3.4463244 51.0830706, 3.4463596 51.0830742, 3.4464635 51.0830895, 3.446497 51.083091, 3.4465258 51.0830876, 3.4465654 51.0830752, 3.446591 51.0830587)",,,,
"[868062264, 587096184, 587096183]",,,Brouwerijstraat,residential,30,False,True,132.727,"LINESTRING (3.4455525 51.0836693, 3.4457393 51.083709, 3.4457915 51.0837201, 3.4460167 51.0837819, 3.4462666 51.0838504, 3.4463295 51.0838677, 3.4466044 51.0839431, 3.4471888 51.0841034, 3.4473018 51.0841341)",,,,
"[977052355, 42594060, 196011612]",,,Brouwerijstraat,residential,30,False,False,65.027,"LINESTRING (3.4455525 51.0836693, 3.4454754 51.0836508, 3.4450422 51.0835466, 3.4449376 51.083538, 3.4448142 51.0835366, 3.4447773 51.0835366, 3.4446586 51.0835359)",,,,
42828801,,,Boomgaardstraat,residential,30,True,False,208.28099999999998,"LINESTRING (3.4506122 51.0841166, 3.4501971 51.0847332, 3.4500192 51.0849405, 3.4496889 51.085329, 3.4496392 51.0853864, 3.449349 51.0857237, 3.4492882 51.0857928)",,,,
207083911,,,Bellemstraat,residential,30,False,True,36.508,"LINESTRING (3.4506122 51.0841166, 3.4504141 51.084075, 3.4502052 51.0840585, 3.4501066 51.0840393)",,,,
725464493,,N499,Stationsstraat,tertiary,30,False,False,9.329,"LINESTRING (3.4482869 51.0874658, 3.4483084 51.087383)",,,,
"[725464492, 885983150]",,,Weibroekdreef,tertiary,30,False,True,51.663,"LINESTRING (3.4482869 51.0874658, 3.4483885 51.0874908, 3.4484646 51.0875107, 3.4489706 51.0876431)",,,,
119945189,,,Brouwerijstraat,tertiary,30,False,True,28.293,"LINESTRING (3.4426793 51.0832469, 3.4427454 51.0832482, 3.4428191 51.0832557, 3.4430753 51.0832964)",,,,
643135311,,,Brouwerijstraat,tertiary,30,False,False,12.32,"LINESTRING (3.4426793 51.0832469, 3.4425965 51.0832581, 3.4425079 51.0832729)",,,,
"[880575008, 51812172]",,N499,Markt,tertiary,30,True,False,45.29,"LINESTRING (3.4485539 51.0841865, 3.4485937 51.0841397, 3.4486455 51.0840881, 3.4487656 51.0839836, 3.4488038 51.0839537, 3.4488335 51.0839315, 3.4488527 51.0839171, 3.4488977 51.0838935, 3.4489527 51.0838707)",,,,
42725975,,,Biesemkerkweg,residential,30,True,False,106.711,"LINESTRING (3.4494646 51.0833909, 3.448475 51.0831802, 3.4483919 51.0831684, 3.4481477 51.0831336, 3.4480047 51.0831117)",,,,
"[744328233, 744328234, 51812174, 462771255]",2,N499,Lostraat,tertiary,30,False,False,157.54999999999998,"LINESTRING (3.4494646 51.0833909, 3.4495887 51.0832782, 3.4497428 51.0831336, 3.4499515 51.0829366, 3.4499951 51.0828955, 3.4500521 51.0828392, 3.450107 51.0827804, 3.450184 51.0826995, 3.4502387 51.0826372, 3.4502757 51.0825951, 3.4503558 51.0825003, 3.4504011 51.0824462, 3.4504369 51.0823969, 3.4505376 51.082245, 3.4505771 51.0821645)",,,,
720885261,,N499,Lostraat,tertiary,30,False,True,64.232,"LINESTRING (3.4494646 51.0833909, 3.4493041 51.0835478, 3.448998 51.0838293, 3.4489805 51.0838459, 3.4489527 51.0838707)",,,,
"[42725977, 42687362]",,,"['Aard', 'Kerkhofweg']",residential,30,False,"[False, True]",126.977,"LINESTRING (3.4480047 51.0831117, 3.4479708 51.083072, 3.4479501 51.0830464, 3.4479273 51.0830339, 3.4477999 51.0830072, 3.4476992 51.0829913, 3.4474442 51.0829496, 3.4471921 51.0829085, 3.4469326 51.0828662, 3.4466795 51.0828277, 3.4466779 51.0828552, 3.4466026 51.0830415, 3.446591 51.0830587)",,5.2,,
"[772763449, 43403093]",,,Vrijhofstraat,residential,50,False,True,96.758,"LINESTRING (3.4533711 51.0826882, 3.4532562 51.0827507, 3.4532279 51.0827661, 3.4525302 51.0832409, 3.4524383 51.0833286)",,,,
"[772763450, 468255629]",,,Loveldlaan,residential,50,False,False,132.538,"LINESTRING (3.4533711 51.0826882, 3.4535298 51.0826438, 3.4535347 51.0826407, 3.4535636 51.0826223, 3.4536723 51.0825532, 3.4538573 51.0824549, 3.4542963 51.0822294, 3.4548591 51.0819559)",,,,
"[207083835, 772763451]",,,Kestelstraat,tertiary,50,False,True,107.81200000000001,"LINESTRING (3.4533711 51.0826882, 3.4535685 51.0827771, 3.4535976 51.0827902, 3.4536447 51.0828115, 3.4540071 51.0829777, 3.4542734 51.0830995, 3.4546496 51.0832285)",,,,
"[937851745, 772763452, 1119168549]",2,,Kestelstraat,tertiary,50,False,False,184.543,"LINESTRING (3.4533711 51.0826882, 3.4532505 51.0826411, 3.4532177 51.0826348, 3.4531805 51.0826276, 3.4529608 51.082585, 3.4524906 51.0825021, 3.4522168 51.0824489, 3.451987 51.0823812, 3.4517057 51.0822508, 3.4513751 51.0820785, 3.4510765 51.0819221)",,,,
643135311,,,Brouwerijstraat,tertiary,30,False,True,12.32,"LINESTRING (3.4425079 51.0832729, 3.4425965 51.0832581, 3.4426793 51.0832469)",,,,
42769408,,,Sint-Gerolflaan,residential,30,False,False,79.074,"LINESTRING (3.4473018 51.0841341, 3.4472805 51.0841849, 3.4471673 51.0844574, 3.4471098 51.0845842, 3.4470862 51.0846522, 3.4470073 51.0848206)",,,,
42828441,,,Brouwerijstraat,residential,30,True,False,89.90899999999999,"LINESTRING (3.4473018 51.0841341, 3.447413 51.0841529, 3.4474696 51.0841627, 3.4481028 51.0842407, 3.4482055 51.0842476, 3.448314 51.0842385, 3.4483936 51.0842284, 3.4484548 51.0842165, 3.4485539 51.0841865)",,,,
43585847,,,Brevierweg,residential,30,True,False,61.086999999999996,"LINESTRING (3.4473018 51.0841341, 3.4473051 51.0840879, 3.4473126 51.0840769, 3.4474953 51.0838086, 3.4475807 51.0837099, 3.4477107 51.0836799)",,,,
