osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,access,lanes
112382777,N642,Rue Entre-deux-Villes,secondary,50,False,False,20.114,"LINESTRING (5.7191777 50.6693727, 5.7192928 50.6694029, 5.7194185 50.6694665)",,,
293069184,,Rue de Fafchamps,tertiary,50,False,True,149.197,"LINESTRING (5.7191777 50.6693727, 5.7192287 50.6693276, 5.7193727 50.6692606, 5.7199177 50.6691688, 5.720534 50.6690701, 5.7208331 50.6690377, 5.7209677 50.669028, 5.72118 50.6690252)",,,
91796492,N642,,secondary,,True,False,11.690999999999999,"LINESTRING (5.7251373 50.6726642, 5.7251785 50.6726436, 5.7252279 50.6726325, 5.7252889 50.6726322)",roundabout,,
"[353847708, 353847709]",N642,Rue Entre-deux-Villes,secondary,,False,True,30.787999999999997,"LINESTRING (5.7251373 50.6726642, 5.7250212 50.6726007, 5.7248709 50.672524, 5.7248014 50.6724872)",,,
"[218516041, 218516043, 34321171, 218578590]",,"['Rue de la Station', 'Place Sainte-Gertrude']",tertiary,"['50', '30']",False,False,305.288,"LINESTRING (5.7252807 50.6735231, 5.7252051 50.6735667, 5.7251039 50.6736311, 5.7250265 50.6737377, 5.7246085 50.6745655, 5.7244142 50.6749428, 5.7243084 50.6751413, 5.7242051 50.6753459, 5.7241629 50.6754293, 5.7238283 50.6760907)",,,
"[91796494, 995890647]",N642,Place Sainte-Gertrude,secondary,,False,True,76.589,"LINESTRING (5.7252807 50.6735231, 5.7252587 50.673442, 5.7252773 50.6729291, 5.7252823 50.6728357)",,,
"[1161167978, 1161167979, 293069188]",N642,"['Rue de la Fontaine', 'Place Sainte-Gertrude']",secondary,,False,False,264.86,"LINESTRING (5.7252807 50.6735231, 5.7253718 50.6736023, 5.7254784 50.6736628, 5.7256289 50.6737095, 5.7257118 50.6737219, 5.7258199 50.67373, 5.7259826 50.6737307, 5.7261496 50.673716, 5.7265844 50.6736753, 5.7268998 50.6736431, 5.7271171 50.6736177, 5.7272752 50.6735925, 5.7274816 50.6735544, 5.7276713 50.6735005, 5.7278649 50.6734355, 5.7279928 50.6733724, 5.7285241 50.6731202, 5.7286673 50.6730793)",,,
59852032,,Rue de Gobcé,residential,,False,False,40.144999999999996,"LINESTRING (5.7286673 50.6730793, 5.7286614 50.6729885, 5.7289383 50.6727831)",,,
"[1161167978, 1161167979, 293069188]",N642,"['Rue de la Fontaine', 'Place Sainte-Gertrude']",secondary,,False,True,264.86,"LINESTRING (5.7286673 50.6730793, 5.7285241 50.6731202, 5.7279928 50.6733724, 5.7278649 50.6734355, 5.7276713 50.6735005, 5.7274816 50.6735544, 5.7272752 50.6735925, 5.7271171 50.6736177, 5.7268998 50.6736431, 5.7265844 50.6736753, 5.7261496 50.673716, 5.7259826 50.6737307, 5.7258199 50.67373, 5.7257118 50.6737219, 5.7256289 50.6737095, 5.7254784 50.6736628, 5.7253718 50.6736023, 5.7252807 50.6735231)",,,
460372321,,Rue de Fafchamps,tertiary,,False,False,48.153,"LINESTRING (5.7292613 50.6683843, 5.7287962 50.6683931, 5.7285818 50.6684179)",,,
91796020,,Rue Grétry,residential,,False,False,65.18,"LINESTRING (5.7219648 50.6690088, 5.722026 50.6692421, 5.7220903 50.6693815, 5.7221708 50.6694495, 5.7223229 50.66952)",,destination,
293069184,,Rue de Fafchamps,tertiary,50,False,False,55.343,"LINESTRING (5.7219648 50.6690088, 5.7217248 50.6690112, 5.72118 50.6690252)",,,
293069184,,Rue de Fafchamps,tertiary,50,False,True,362.25800000000004,"LINESTRING (5.7219648 50.6690088, 5.72316 50.6689962, 5.7235155 50.6689887, 5.7237357 50.6689685, 5.7242115 50.6688869, 5.7245994 50.6688458, 5.7258122 50.6687336, 5.7258837 50.6687297, 5.7259522 50.6687247, 5.7270589 50.6686437)",,,
"[34321161, 995890646]",,Place Sainte-Gertrude,residential,,False,True,55.656,"LINESTRING (5.7259639 50.6723498, 5.7257507 50.6725415, 5.7255347 50.6726397, 5.7254072 50.6726943)",,,
59852743,,Place Sainte-Gertrude,residential,,False,False,102.636,"LINESTRING (5.7259639 50.6723498, 5.7258262 50.6723038, 5.7257263 50.6722841, 5.7247036 50.6721738, 5.7245584 50.6722145)",,,
161702479,,Rue de l'Égalité,residential,,False,True,116.882,"LINESTRING (5.7259639 50.6723498, 5.7260631 50.6723955, 5.7261794 50.6724199, 5.7262819 50.6724162, 5.726387 50.6723964, 5.7267652 50.6722887, 5.7274859 50.6720891)",,,
217943241,,Rue Julien Ghuysen,residential,,False,False,252.434,"LINESTRING (5.7259639 50.6723498, 5.7260813 50.6722411, 5.7266214 50.6717633, 5.7268198 50.6716008, 5.7274658 50.6710148, 5.7279524 50.670465)",,,
109928643,,Rue Florent Delrez,residential,,False,False,167.059,"LINESTRING (5.7279524 50.670465, 5.7256037 50.6702616)",,,
217943241,,Rue Julien Ghuysen,residential,,False,False,241.4,"LINESTRING (5.7279524 50.670465, 5.7285281 50.6697714, 5.7286826 50.6695402, 5.7287672 50.6693099, 5.7285818 50.6684179)",,,
217943241,,Rue Julien Ghuysen,residential,,False,True,252.434,"LINESTRING (5.7279524 50.670465, 5.7274658 50.6710148, 5.7268198 50.6716008, 5.7266214 50.6717633, 5.7260813 50.6722411, 5.7259639 50.6723498)",,,
164292997,,Rue de Fafchamps,tertiary,50,False,False,33.675,"LINESTRING (5.7285818 50.6684179, 5.7281183 50.6684915)",,,
217943241,,Rue Julien Ghuysen,residential,,False,True,241.40000000000003,"LINESTRING (5.7285818 50.6684179, 5.7287672 50.6693099, 5.7286826 50.6695402, 5.7285281 50.6697714, 5.7279524 50.670465)",,,
460372321,,Rue de Fafchamps,tertiary,,False,True,48.153,"LINESTRING (5.7285818 50.6684179, 5.7287962 50.6683931, 5.7292613 50.6683843)",,,
91796561,,Place Sainte-Gertrude,residential,,True,False,61.325,"LINESTRING (5.7246702 50.6729605, 5.7246535 50.6729015, 5.724623 50.672556, 5.7246515 50.6724116)",,,
"[218516042, 995890645]",,Rue de l'Institut,unclassified,50,False,False,37.021,"LINESTRING (5.7246702 50.6729605, 5.7249903 50.6728422, 5.7251252 50.6727941)",,,
