osmid,name,highway,junction,oneway,reversed,length,geometry,maxspeed,tunnel
150200400,Matkuksentie,tertiary,roundabout,True,False,26.82,"LINESTRING (27.5990848 62.8225921, 27.5991797 62.822571, 27.5992842 62.822564, 27.5993884 62.8225717, 27.5994827 62.8225935, 27.5995581 62.8226273)",,
150200400,Matkuksentie,tertiary,roundabout,True,False,5.76,"LINESTRING (27.5990038 62.8226281, 27.599041 62.8226086, 27.5990848 62.8225921)",,
150200400,Matkuksentie,tertiary,roundabout,True,False,27.456,"LINESTRING (27.5995581 62.8226273, 27.5996019 62.822663, 27.5996261 62.8227128, 27.5996141 62.8227635, 27.5995673 62.8228098, 27.5994871 62.8228481)",,
150200400,Matkuksentie,tertiary,roundabout,True,False,20.617,"LINESTRING (27.5989869 62.8228034, 27.5989475 62.8227607, 27.598937 62.8227146, 27.5989563 62.8226691, 27.5990038 62.8226281)",,
361606161,Matkuksentie,tertiary,,True,False,38.004000000000005,"LINESTRING (27.5989869 62.8228034, 27.5988604 62.8228022, 27.598598 62.8227635, 27.5982797 62.8227015)",,
150200400,Matkuksentie,tertiary,roundabout,True,False,5.133,"LINESTRING (27.5990515 62.8228389, 27.5989869 62.8228034)",,
178199210,Ratarinteenkatu,tertiary,roundabout,True,False,28.055999999999997,"LINESTRING (27.6001427 62.8249232, 27.6001967 62.8249212, 27.6002507 62.824923, 27.600343 62.8249355, 27.6004244 62.824959, 27.6004888 62.8249916, 27.6005314 62.825031, 27.6005453 62.8250573)",,
150200399,Ratarinteenkatu,tertiary,,True,False,264.341,"LINESTRING (27.5998491 62.8251015, 27.599042 62.8243369, 27.5988583 62.8240375, 27.5987725 62.8237205, 27.5987679 62.823479, 27.598869 62.8232437, 27.5989959 62.8230607, 27.5990374 62.8230008, 27.5990515 62.8228389)",50,
178199210,Ratarinteenkatu,tertiary,roundabout,True,False,27.317000000000004,"LINESTRING (27.5998491 62.8251015, 27.5998523 62.8250524, 27.599888 62.825006, 27.5999526 62.8249668, 27.6000403 62.8249383, 27.6001427 62.8249232)",,
178199210,Ratarinteenkatu,tertiary,roundabout,True,False,27.212999999999997,"LINESTRING (27.6002264 62.8252417, 27.6001372 62.8252399, 27.6000519 62.8252278, 27.5999761 62.8252063, 27.5999187 62.8251787, 27.5999145 62.8251767, 27.5998713 62.825141, 27.5998491 62.8251015)",,
547512238,Matkuksentie,tertiary,,True,False,37.762,"LINESTRING (27.5982797 62.8227015, 27.5986231 62.8226546, 27.5990038 62.8226281)",,
1119447204,Matkuksentie,tertiary,,False,True,95.756,"LINESTRING (27.5982797 62.8227015, 27.5980009 62.8226944, 27.5976296 62.8227191, 27.597172 62.8227832, 27.5965076 62.8229444)",,
547512239,Nuolimäenkatu,tertiary,,False,True,36.593,"LINESTRING (27.5909163 62.8210898, 27.5903716 62.8208744)",,
547512239,Nuolimäenkatu,tertiary,,False,False,358.831,"LINESTRING (27.5909163 62.8210898, 27.5916478 62.8213452, 27.5921011 62.8215271, 27.5924704 62.821694, 27.5931857 62.8220625, 27.5938213 62.8223756, 27.5939698 62.8224449, 27.594121 62.8224936, 27.5942846 62.8225339, 27.5945576 62.822595, 27.5947999 62.8226308, 27.5952235 62.8226883, 27.595502 62.8227375, 27.59589 62.8228166, 27.5960679 62.8228622, 27.5961965 62.8229077, 27.5962689 62.8229331, 27.5963752 62.8229472, 27.5965076 62.8229444)",,
"[682621777, 1021673691, 712234997, 712234998]",Liukontie,unclassified,,False,True,363.49899999999985,"LINESTRING (27.5909163 62.8210898, 27.5905456 62.8213119, 27.5904481 62.8213686, 27.5902508 62.821444, 27.5900677 62.8214609, 27.5885293 62.8209291, 27.5883714 62.8209137, 27.5881941 62.820924, 27.588004 62.8209569, 27.5878696 62.8209874, 27.5877754 62.8210283, 27.5876529 62.8210987, 27.5875821 62.8211548, 27.5874676 62.821288, 27.5873688 62.8213977, 27.5873088 62.8214515, 27.5872431 62.8214886, 27.5870795 62.8215508, 27.5868694 62.8216123, 27.586498 62.8216915, 27.5860465 62.8217769, 27.5856841 62.821828, 27.5855184 62.821849, 27.5853885 62.8218448)",,yes
547513002,Ratarinteenkuja,unclassified,,False,False,105.234,"LINESTRING (27.5978953 62.823645, 27.5973462 62.8233318, 27.5967891 62.8230682, 27.5965935 62.8229759, 27.5965076 62.8229444)",,
547512239,Nuolimäenkatu,tertiary,,False,True,358.831,"LINESTRING (27.5965076 62.8229444, 27.5963752 62.8229472, 27.5962689 62.8229331, 27.5961965 62.8229077, 27.5960679 62.8228622, 27.59589 62.8228166, 27.595502 62.8227375, 27.5952235 62.8226883, 27.5947999 62.8226308, 27.5945576 62.822595, 27.5942846 62.8225339, 27.594121 62.8224936, 27.5939698 62.8224449, 27.5938213 62.8223756, 27.5931857 62.8220625, 27.5924704 62.821694, 27.5921011 62.8215271, 27.5916478 62.8213452, 27.5909163 62.8210898)",,
547513002,Ratarinteenkuja,unclassified,,False,True,105.234,"LINESTRING (27.5965076 62.8229444, 27.5965935 62.8229759, 27.5967891 62.8230682, 27.5973462 62.8233318, 27.5978953 62.823645)",,
1119447204,Matkuksentie,tertiary,,False,False,95.756,"LINESTRING (27.5965076 62.8229444, 27.597172 62.8227832, 27.5976296 62.8227191, 27.5980009 62.8226944, 27.5982797 62.8227015)",,
178199210,Ratarinteenkatu,tertiary,roundabout,True,False,29.186999999999998,"LINESTRING (27.6005453 62.8250573, 27.600544 62.8251098, 27.6005057 62.8251593, 27.6004344 62.8252005, 27.6003379 62.825229, 27.6002264 62.8252417)",,
150200400,Matkuksentie,tertiary,roundabout,True,False,23.852,"LINESTRING (27.5994871 62.8228481, 27.5993822 62.8228722, 27.5992657 62.8228789, 27.599151 62.8228673, 27.5990515 62.8228389)",,
150200444,Ratarinteenkatu,tertiary,,True,False,255.065,"LINESTRING (27.5994871 62.8228481, 27.5993751 62.822965, 27.5992954 62.8230283, 27.5992229 62.8230985, 27.5989978 62.8233343, 27.5989227 62.8235156, 27.5989495 62.8237313, 27.599046 62.8240571, 27.5992177 62.8243168, 27.5997265 62.8247819, 27.599874 62.8248451, 27.6001427 62.8249232)",50,
547512239,Nuolimäenkatu,tertiary,,False,False,36.593,"LINESTRING (27.5903716 62.8208744, 27.5909163 62.8210898)",,
