osmid,oneway,lanes,highway,maxspeed,junction,reversed,length,geometry,ref,name,width
142855105,True,1,secondary,30,roundabout,False,8.911999999999999,"LINESTRING (24.7281145 60.2096443, 24.7281826 60.2096658, 24.72823 60.2096982)",,,
142855108,True,1,secondary,30,,False,11.664,"LINESTRING (24.7299638 60.2096983, 24.7300607 60.2097915)",114,Tunnelitie,
1067805347,True,2,secondary,30,,False,58.333,"LINESTRING (24.7299638 60.2096983, 24.7301524 60.2096929, 24.7308544 60.2096606, 24.7310157 60.2096532)",114,Kauniaistentie,
4923858,False,,residential,40,,True,10.602,"LINESTRING (24.7310157 60.2096532, 24.7310412 60.2097477)",,Laaksotie,
4923858,False,,residential,40,,False,185.70099999999996,"LINESTRING (24.7310157 60.2096532, 24.7309966 60.2095834, 24.7309885 60.2095558, 24.7309255 60.2093412, 24.7311366 60.2092658, 24.7319987 60.2089577, 24.7322442 60.2088243, 24.7323526 60.2087654, 24.7329467 60.2084425)",,Laaksotie,
142855101,True,2,secondary,30,,False,119.359,"LINESTRING (24.7310157 60.2096532, 24.7312041 60.2096458, 24.7319958 60.2096145, 24.7327524 60.2095846, 24.7328085 60.2095824, 24.7331695 60.2095685)",114,Kauniaistentie,
27403162,False,,residential,,,True,7.607,"LINESTRING (24.7211652 60.2137688, 24.7211337 60.2137022)",,Läntinen Koulupolku,
239427444,False,2,secondary,30,,True,74.302,"LINESTRING (24.7217905 60.2136126, 24.7228293 60.2131881)",,Asematie,
239413280,True,,secondary,30,,False,39.742,"LINESTRING (24.7217905 60.2136126, 24.7216179 60.2136942, 24.7215555 60.2137122, 24.7215115 60.2137249, 24.7213352 60.2137532, 24.7211652 60.2137688)",,Asematie,
4341699,True,1,residential,,,False,6.966,"LINESTRING (24.7244035 60.2128931, 24.7245081 60.2129281)",,Kavallintie,
239427447,True,1,secondary,30,,False,16.104,"LINESTRING (24.7244035 60.2128931, 24.7245544 60.2128825, 24.7246935 60.2128837)",,Asematie,
239427454,False,,residential,,,True,154.07399999999998,"LINESTRING (24.7280036 60.2141023, 24.7279451 60.2140662, 24.7278872 60.2140247, 24.7276943 60.2138807, 24.7276067 60.2138248, 24.7274709 60.2137433, 24.7273195 60.2136923, 24.7271642 60.2136382, 24.7269422 60.213573, 24.7267505 60.2135349, 24.7263223 60.2134878, 24.7257218 60.2134218)",,Kavallintie,
"[968132560, 4341669]",False,2,secondary,"['40', '30']",,True,193.33799999999997,"LINESTRING (24.7329118 60.2125876, 24.7326827 60.2125828, 24.7315646 60.2126122, 24.7311842 60.2126334, 24.7306367 60.2126509, 24.7303136 60.2126494, 24.7300822 60.2126439, 24.7297162 60.2126352, 24.729421 60.2126136)",,Helsingintie,
23115417,True,,secondary,30,,False,21.185,"LINESTRING (24.7288418 60.2120382, 24.7288109 60.2122281)",,Tunnelitie,
43943747,False,2,secondary,30,,True,90.90299999999999,"LINESTRING (24.7288418 60.2120382, 24.729121 60.2114902, 24.7292556 60.211247)",114,Tunnelitie,
23115416,True,,secondary,30,,False,46.314,"LINESTRING (24.729421 60.2126136, 24.7292641 60.2126219, 24.7292378 60.2126217, 24.7291853 60.2126221, 24.7288579 60.2126238, 24.7285846 60.2126115)",,Helsingintie,
"[968132560, 4341669]",False,2,secondary,"['40', '30']",,False,193.338,"LINESTRING (24.729421 60.2126136, 24.7297162 60.2126352, 24.7300822 60.2126439, 24.7303136 60.2126494, 24.7306367 60.2126509, 24.7311842 60.2126334, 24.7315646 60.2126122, 24.7326827 60.2125828, 24.7329118 60.2125876)",,Helsingintie,
35376107,True,,secondary,30,yes,False,6.936,"LINESTRING (24.7285846 60.2126115, 24.7284601 60.2126034)",,,
4341680,False,,residential,,,False,321.756,"LINESTRING (24.7384228 60.2097753, 24.7381868 60.2097352, 24.7377115 60.2097175, 24.7375073 60.2097336, 24.7369361 60.2098124, 24.7368193 60.2098389, 24.7366972 60.209902, 24.7365409 60.2101145, 24.7365126 60.2101793, 24.7365148 60.2102786, 24.7365774 60.2104066, 24.7369188 60.2111051, 24.7369092 60.2113376, 24.7368883 60.2118469)",,Kylätie,
48373789,False,,residential,,,False,250.107,"LINESTRING (24.7384228 60.2097753, 24.7383446 60.2098983, 24.7379689 60.2102846, 24.7377691 60.2105036, 24.7377409 60.2105641, 24.7377191 60.2106256, 24.7377278 60.2106784, 24.7377691 60.2107389, 24.7378364 60.2107896, 24.7382035 60.2110744, 24.7383077 60.2111618, 24.7383685 60.2112622, 24.738425 60.2113852, 24.7384858 60.2115902, 24.7385268 60.2118601)",,Fasaaninpolku,
4341680,False,,residential,,,False,23.037,"LINESTRING (24.7368883 60.2118469, 24.7365224 60.2119463)",,Kylätie,
4341680,False,,residential,,,True,321.75600000000003,"LINESTRING (24.7368883 60.2118469, 24.7369092 60.2113376, 24.7369188 60.2111051, 24.7365774 60.2104066, 24.7365148 60.2102786, 24.7365126 60.2101793, 24.7365409 60.2101145, 24.7366972 60.209902, 24.7368193 60.2098389, 24.7369361 60.2098124, 24.7375073 60.2097336, 24.7377115 60.2097175, 24.7381868 60.2097352, 24.7384228 60.2097753)",,Kylätie,
4923903,False,,residential,,,False,90.525,"LINESTRING (24.7368883 60.2118469, 24.7369824 60.2118477, 24.7376001 60.2118526, 24.7385268 60.2118601)",,Koivuhaanpolku,
4923903,False,,residential,,,True,90.52499999999999,"LINESTRING (24.7385268 60.2118601, 24.7376001 60.2118526, 24.7369824 60.2118477, 24.7368883 60.2118469)",,Koivuhaanpolku,
48373789,False,,residential,,,False,70.085,"LINESTRING (24.7385268 60.2118601, 24.738567 60.2119717, 24.7386282 60.2121407, 24.7386221 60.2122685, 24.7386012 60.2123562, 24.7385399 60.2124816)",,Fasaaninpolku,
48373789,False,,residential,,,True,250.107,"LINESTRING (24.7385268 60.2118601, 24.7384858 60.2115902, 24.738425 60.2113852, 24.7383685 60.2112622, 24.7383077 60.2111618, 24.7382035 60.2110744, 24.7378364 60.2107896, 24.7377691 60.2107389, 24.7377278 60.2106784, 24.7377191 60.2106256, 24.7377409 60.2105641, 24.7377691 60.2105036, 24.7379689 60.2102846, 24.7383446 60.2098983, 24.7384228 60.2097753)",,Fasaaninpolku,
4341681,False,,residential,,,False,289.02799999999996,"LINESTRING (24.7318386 60.2108632, 24.7319803 60.210903, 24.7331637 60.2112316, 24.7332977 60.2112733, 24.7334362 60.2113152, 24.7336334 60.2113697, 24.734547 60.2116499, 24.7350888 60.2118002, 24.7352664 60.2118292, 24.7354157 60.2118447, 24.7356222 60.211853, 24.7363883 60.2119109, 24.7365224 60.2119463)",,Forsellesintie,
4341682,False,,residential,,,False,149.77800000000002,"LINESTRING (24.7318386 60.2108632, 24.7322544 60.2104254, 24.7325002 60.2101841, 24.7328896 60.2097841, 24.7329083 60.2097649, 24.733043 60.2096572)",,Gresantie,
4341682,False,,residential,,,True,122.495,"LINESTRING (24.7318386 60.2108632, 24.7318091 60.2108928, 24.7314451 60.2112762, 24.7313569 60.2113491, 24.731262 60.2114092, 24.7311926 60.2114326, 24.7311015 60.2114499, 24.7309921 60.2114499, 24.730381 60.211399, 24.7303201 60.2113925)",,Gresantie,
142855098,False,,tertiary,40,,False,12.088,"LINESTRING (24.7331695 60.2095685, 24.733043 60.2096572)",,Gresantie,
4434520,False,2,tertiary,40,,False,124.905,"LINESTRING (24.7331695 60.2095685, 24.7332393 60.2094564, 24.733257 60.2094353, 24.7338446 60.2085637, 24.7338854 60.2085031)",,Gresantie,
142855100,True,2,secondary,40,,False,94.359,"LINESTRING (24.7331695 60.2095685, 24.7338564 60.2095376, 24.7345408 60.2095072, 24.7348708 60.209521)",114,Kauniaistentie,
"[4434520, 27443427]",False,2,tertiary,40,,True,146.918,"LINESTRING (24.7352646 60.2055264, 24.7350229 60.2056097, 24.7348224 60.2056989, 24.7346198 60.2058006, 24.7344465 60.2059127, 24.7343065 60.2060279, 24.7341917 60.2061337, 24.7341339 60.2062135, 24.7341045 60.2062557, 24.7340288 60.2063724, 24.7339932 60.2064629, 24.7339745 60.2065395, 24.7339566 60.2066197)",,"['Gresantie', 'Stensintie']",
