osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,bridge,junction
291782400,True,14,Savonlinnantie,trunk,60,False,175.978,"LINESTRING (29.3939415 61.7542784, 29.3939191 61.7544802, 29.393747 61.7549476, 29.3936743 61.7550889, 29.3935832 61.7552454, 29.3933949 61.7555399, 29.3932825 61.7556757, 29.393243 61.755754, 29.3932417 61.7558183)",,,
26006898,False,,Kauppatie,residential,40,False,53.61,"LINESTRING (29.3907947 61.7557854, 29.3907979 61.7558817, 29.3907445 61.7559755, 29.3906805 61.7560391, 29.3903948 61.7562104)",2,,
"[291782402, 77884892, 77884908]",False,4403,Tehtaantie,tertiary,,False,155.275,"LINESTRING (29.3907947 61.7557854, 29.3903914 61.755814, 29.3900713 61.755849, 29.3894939 61.7559405, 29.3890808 61.7560173, 29.3887825 61.7560813, 29.388458 61.75617, 29.3883941 61.756189, 29.3883095 61.7562142, 29.3880825 61.756295)",,yes,
291782402,False,4403,Tehtaantie,tertiary,,True,40.719,"LINESTRING (29.3907947 61.7557854, 29.3909644 61.7557793, 29.3911689 61.7557745, 29.3913705 61.7557766, 29.3915667 61.7557862)",,,
26006898,False,,Kauppatie,residential,40,True,228.295,"LINESTRING (29.387244 61.7591243, 29.3873294 61.7590479, 29.3874265 61.7589449, 29.3875105 61.7588479, 29.3875758 61.7587556, 29.3876541 61.7586448, 29.3878065 61.7583743, 29.3880323 61.7580233, 29.3882013 61.7578098, 29.3883539 61.7576619, 29.3888693 61.7572306)",2,,
29491765,False,,,residential,40,False,110.69400000000002,"LINESTRING (29.387244 61.7591243, 29.3874459 61.7591684, 29.3875939 61.7591971, 29.3877526 61.759208, 29.3878847 61.7592059, 29.3880436 61.7591898, 29.3882021 61.7591617, 29.3884518 61.7591006, 29.3886773 61.7590608, 29.3887624 61.7590524, 29.3889644 61.75905, 29.3891367 61.759065, 29.3892428 61.7590808)",2,,
26006898,False,,Kauppatie,residential,40,False,228.29500000000002,"LINESTRING (29.3888693 61.7572306, 29.3883539 61.7576619, 29.3882013 61.7578098, 29.3880323 61.7580233, 29.3878065 61.7583743, 29.3876541 61.7586448, 29.3875758 61.7587556, 29.3875105 61.7588479, 29.3874265 61.7589449, 29.3873294 61.7590479, 29.387244 61.7591243)",2,,
26006898,False,,Kauppatie,residential,40,True,139.301,"LINESTRING (29.3888693 61.7572306, 29.3895417 61.7567101, 29.3896201 61.7566612, 29.3896918 61.756617, 29.3899286 61.7564712, 29.3902221 61.7563018, 29.3902778 61.7562748, 29.3903948 61.7562104)",2,,
26006941,False,,Puutarhatie,residential,,False,113.139,"LINESTRING (29.3888693 61.7572306, 29.3889766 61.7572604, 29.3899119 61.7574998, 29.3899629 61.7575071, 29.3901248 61.7575075, 29.3902609 61.7574935, 29.3903252 61.7574661, 29.3905787 61.7572505)",,,
26007043,True,479,Kesälahdentie,secondary,40,False,33.662,"LINESTRING (29.3933449 61.7558852, 29.3934139 61.7559259, 29.3935451 61.7559803, 29.3936603 61.7560195, 29.3938035 61.7560942)",,,
