osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,ref,maxspeed,bridge
4960357,Kauppakatu,secondary,False,False,109.885,"LINESTRING (25.2604912 62.7046483, 25.2604403 62.7047765, 25.2604194 62.7048111, 25.2601718 62.7052634, 25.2601186 62.705333, 25.2599285 62.7056011)",,,,,
12481610,Paavontie,secondary,False,False,117.98400000000001,"LINESTRING (25.2604912 62.7046483, 25.2602307 62.7046208, 25.2592463 62.7044909, 25.2588631 62.7044508, 25.2585556 62.704417, 25.2582444 62.7044022)",,,,,
12481610,Paavontie,secondary,False,True,108.555,"LINESTRING (25.2604912 62.7046483, 25.2608687 62.7046597, 25.2624086 62.7046865, 25.2626181 62.7046843)",,,,,
4960357,Kauppakatu,secondary,False,False,12.186,"LINESTRING (25.2599285 62.7056011, 25.2597758 62.7056854)",,,,,
4960357,Kauppakatu,secondary,False,True,109.88499999999999,"LINESTRING (25.2599285 62.7056011, 25.2601186 62.705333, 25.2601718 62.7052634, 25.2604194 62.7048111, 25.2604403 62.7047765, 25.2604912 62.7046483)",,,,,
10233604,Paavonaukio,residential,False,True,103.95400000000001,"LINESTRING (25.2599285 62.7056011, 25.2598257 62.7055411, 25.2597507 62.7054938, 25.2595519 62.7054421, 25.2593422 62.7054344, 25.2591641 62.7054667, 25.258996 62.7055244, 25.2589352 62.7055824, 25.2589157 62.7056506, 25.2589609 62.7057282, 25.2590727 62.7058045, 25.2591159 62.7058334, 25.2592123 62.7058931)",,,,,
4960357,Kauppakatu,secondary,False,True,32.474,"LINESTRING (25.256542 62.7066976, 25.257128 62.7065832)",,,,,
43541302,Kauppakatu,secondary,True,False,36.265,"LINESTRING (25.256542 62.7066976, 25.2563734 62.7067319, 25.2561025 62.7067516, 25.2559631 62.7067608, 25.2558588 62.7067791)",1,,,,
4960356,,secondary,True,False,12.241,"LINESTRING (25.2558588 62.7067791, 25.255835 62.7067985, 25.2557646 62.7068283, 25.2556795 62.7068484)",,roundabout,,,
4960356,,secondary,True,False,17.057,"LINESTRING (25.2556795 62.7068484, 25.2555699 62.7068578, 25.2554593 62.7068513, 25.2553585 62.7068294)",,roundabout,,,
