osmid,oneway,name,highway,reversed,length,lanes,geometry,maxspeed,ref,junction
29253015,True,Keskväljak,tertiary,False,16.0,,"LINESTRING (25.5692578 58.8866214, 25.5695355 58.886632)",,,
29253012,False,Pärnu,tertiary,False,76.207,2,"LINESTRING (25.5692578 58.8866214, 25.5691139 58.8866218, 25.5689151 58.8866239, 25.5681445 58.886629, 25.5680993 58.8866288, 25.5679316 58.8866283)",,,
24012912,True,Keskväljak,tertiary,False,20.38,,"LINESTRING (25.5696687 58.8872048, 25.5696595 58.8870596, 25.5696583 58.8870216)",,,
24012912,True,Keskväljak,tertiary,False,67.524,,"LINESTRING (25.5695312 58.8878069, 25.5695566 58.8876501, 25.5696272 58.8874715, 25.5696651 58.8872588, 25.5696687 58.8872048)",,,
29253011,False,Tallinna,tertiary,False,42.466,,"LINESTRING (25.5695312 58.8878069, 25.5694891 58.8879866, 25.5694681 58.8881258, 25.5694593 58.8881869)",50,,
29253014,True,Keskväljak,residential,False,26.897999999999996,,"LINESTRING (25.5701104 58.8872547, 25.5699071 58.8872623, 25.5698191 58.8872479, 25.5696687 58.8872048)",,,
247817424,True,Keskväljak,tertiary,False,70.57900000000001,,"LINESTRING (25.5701104 58.8872547, 25.5698161 58.8874592, 25.5696788 58.8875784, 25.5696384 58.8876273, 25.5696142 58.8876615, 25.5695312 58.8878069)",,,
60035670,False,Posti,residential,True,18.712,,"LINESTRING (25.5709077 58.888027, 25.5705916 58.8880675)",,,
29253018,False,Keskväljak,residential,True,89.88900000000001,,"LINESTRING (25.5709077 58.888027, 25.5707661 58.8876417, 25.5707322 58.8875445, 25.5705986 58.8874336, 25.5703188 58.8873153)",,,
60035670,False,Posti,residential,False,63.136,,"LINESTRING (25.5709077 58.888027, 25.5715571 58.8879451, 25.5718327 58.8879121, 25.5719764 58.8878949)",,,
24012912,True,Keskväljak,tertiary,False,53.842,,"LINESTRING (25.5696583 58.8870216, 25.5696174 58.8868909, 25.5696077 58.8868241, 25.5695713 58.8867594, 25.5695133 58.8867117, 25.569463 58.8866841, 25.5694028 58.8866646, 25.5692578 58.8866214)",,,
59959331,True,Keskväljak,residential,False,14.841999999999999,,"LINESTRING (25.5696583 58.8870216, 25.5696944 58.8869365, 25.5697359 58.8868954)",,,
29253013,True,Keskväljak,residential,False,33.891999999999996,,"LINESTRING (25.570213 58.8866351, 25.5702067 58.8866795, 25.5701944 58.8867668, 25.5701863 58.8869395)",,,
211285008,True,Pikk,residential,False,133.32600000000002,,"LINESTRING (25.570213 58.8866351, 25.5702552 58.8865898, 25.5702261 58.886356, 25.5702441 58.8861681, 25.5702763 58.8858364, 25.5703165 58.8857148, 25.5703413 58.8855177, 25.5703569 58.8854448)",,,
29253011,False,Tallinna,tertiary,True,117.65200000000002,,"LINESTRING (25.5692443 58.8905264, 25.5692453 58.8904532, 25.569248 58.8904203, 25.5692823 58.8896734, 25.5692874 58.8894686)",50,,
33689715,True,Veski,residential,False,236.176,,"LINESTRING (25.5692443 58.8905264, 25.569376 58.8905265, 25.5703382 58.8905193, 25.57118 58.8904997, 25.5721618 58.8902866, 25.573253 58.8901835)",,,
59959330,False,Veski,residential,False,10.041,,"LINESTRING (25.573253 58.8901835, 25.5733069 58.8900976)",,,
"[33689715, 59959326]",True,"['Parkali', 'Veski']",residential,False,256.53000000000003,,"LINESTRING (25.573253 58.8901835, 25.5740047 58.8902553, 25.5740239 58.8902045, 25.5741686 58.8898217, 25.5742678 58.8890183, 25.5742792 58.8887929, 25.5741825 58.888356)",,,
