osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,access
8258902,Carl Robert Jakobsoni,secondary,50,False,True,103.124,"LINESTRING (25.5916658 58.3677606, 25.5919408 58.367723, 25.5920347 58.3677099, 25.5924538 58.3676555, 25.5928087 58.367607, 25.5929184 58.367592, 25.593382 58.3675375)",,,
8258903,Carl Robert Jakobsoni,secondary,50,False,False,284.057,"LINESTRING (25.5916658 58.3677606, 25.5913687 58.3677977, 25.5875466 58.3682426, 25.587128 58.3682907, 25.5870963 58.3682957, 25.5869192 58.3683299)",,,
8258910,Leola,tertiary,50,False,True,81.155,"LINESTRING (25.5916658 58.3677606, 25.591719 58.3678698, 25.5917725 58.3680041, 25.5918036 58.3680889, 25.5918527 58.3682016, 25.5919124 58.3683383, 25.5919277 58.3683822, 25.5919644 58.3684733)",,,
23581194,Leola,tertiary,50,False,False,135.71,"LINESTRING (25.5916658 58.3677606, 25.5916115 58.3676413, 25.5915102 58.3674012, 25.5914876 58.3673369, 25.5914774 58.3673153, 25.5913812 58.3670928, 25.5913464 58.367012, 25.5913415 58.3670005, 25.5912029 58.3666865, 25.591153 58.3665702)",,,
8258902,Carl Robert Jakobsoni,secondary,50,False,False,103.124,"LINESTRING (25.593382 58.3675375, 25.5929184 58.367592, 25.5928087 58.367607, 25.5924538 58.3676555, 25.5920347 58.3677099, 25.5919408 58.367723, 25.5916658 58.3677606)",,,
142408198,Carl Robert Jakobsoni,secondary,50,False,True,106.22399999999999,"LINESTRING (25.593382 58.3675375, 25.5941111 58.367456, 25.5945361 58.3674081, 25.595164 58.3673398)",,,
8258903,Carl Robert Jakobsoni,secondary,50,False,True,284.05699999999996,"LINESTRING (25.5869192 58.3683299, 25.5870963 58.3682957, 25.587128 58.3682907, 25.5875466 58.3682426, 25.5913687 58.3677977, 25.5916658 58.3677606)",,,
8258904,Valuoja pst,secondary,50,False,False,38.909,"LINESTRING (25.5869192 58.3683299, 25.5867712 58.3683718, 25.5863728 58.3685294)",,,
27479780,Valuoja pst,tertiary,50,False,True,48.37,"LINESTRING (25.5869192 58.3683299, 25.5868684 58.3682141, 25.5868606 58.3681928, 25.5867916 58.3679731, 25.5867665 58.3679025)",,,
23581194,Leola,tertiary,50,False,False,260.801,"LINESTRING (25.591153 58.3665702, 25.5911084 58.3664639, 25.5910518 58.3663388, 25.590951 58.366116, 25.590915 58.3660264, 25.5908738 58.3659282, 25.5907161 58.3655462, 25.5906731 58.3654452, 25.5905791 58.3652234, 25.5905271 58.3651008, 25.5901642 58.3642829)",,,
23581194,Leola,tertiary,50,False,True,135.71,"LINESTRING (25.591153 58.3665702, 25.5912029 58.3666865, 25.5913415 58.3670005, 25.5913464 58.367012, 25.5913812 58.3670928, 25.5914774 58.3673153, 25.5914876 58.3673369, 25.5915102 58.3674012, 25.5916115 58.3676413, 25.5916658 58.3677606)",,,
23596804,Turu,residential,,False,False,158.375,"LINESTRING (25.591153 58.3665702, 25.5912935 58.3665503, 25.5915192 58.3665179, 25.5917107 58.3664903, 25.5920293 58.3664445, 25.5922953 58.3664057, 25.5924068 58.36639, 25.5927359 58.3663435, 25.592775 58.3663377, 25.5928901 58.3663203, 25.5932398 58.3662698, 25.593485 58.3662354, 25.5936023 58.366208, 25.5937391 58.3661556)",,,
23596804,Turu,residential,,False,True,158.37499999999997,"LINESTRING (25.5937391 58.3661556, 25.5936023 58.366208, 25.593485 58.3662354, 25.5932398 58.3662698, 25.5928901 58.3663203, 25.592775 58.3663377, 25.5927359 58.3663435, 25.5924068 58.36639, 25.5922953 58.3664057, 25.5920293 58.3664445, 25.5917107 58.3664903, 25.5915192 58.3665179, 25.5912935 58.3665503, 25.591153 58.3665702)",,,
23598554,Kaalu,residential,50,False,False,188.06500000000003,"LINESTRING (25.5937391 58.3661556, 25.593716 58.3660983, 25.5936305 58.3658785, 25.5935594 58.36569, 25.5935299 58.365614, 25.593495 58.3655247, 25.5934199 58.3653284, 25.5933998 58.3652792, 25.5933394 58.3651188, 25.5933118 58.365051, 25.5932026 58.3647706, 25.5931788 58.364708, 25.5930987 58.364498)",,,
