osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,junction,bridge
85416532,True,2,улица Винокурова,secondary,False,75.773,,"LINESTRING (47.4881376 56.1146859, 47.4870477 56.1143775)",,
119417167,False,4,улица Винокурова,secondary,False,298.164,50,"LINESTRING (47.4881376 56.1146859, 47.4882231 56.1147315, 47.4886228 56.1149605, 47.4890682 56.1152142, 47.4891811 56.1152818, 47.4894258 56.1154205, 47.4898872 56.1157004, 47.4905062 56.1160991, 47.4910499 56.1164807, 47.4913175 56.1166927)",,
314126554,False,4,улица Винокурова,secondary,True,143.312,50,"LINESTRING (47.4924143 56.1178255, 47.4922773 56.1176483, 47.4919989 56.1173424, 47.4915672 56.1169125, 47.4913175 56.1166927)",,
53795722,True,2,улица Винокурова,secondary,False,72.123,,"LINESTRING (47.485812 56.1133747, 47.4861059 56.1134788, 47.4863278 56.1135466, 47.4866472 56.1136247, 47.4868447 56.1136697)",,
"[985584426, 985584427]",False,4,улица Винокурова,secondary,False,349.399,40,"LINESTRING (47.485812 56.1133747, 47.4856587 56.1132845, 47.4851163 56.1129752, 47.4844579 56.1125981, 47.4843601 56.1125429, 47.484126 56.1124109, 47.4833648 56.1119687, 47.4831134 56.1118227, 47.4823335 56.1113735, 47.4821176 56.1112485, 47.4818866 56.1111202)",,
452125766,False,,Парковая улица,primary,True,13.878,,"LINESTRING (47.4806649 56.1174773, 47.4805214 56.1173815)",,
"[985584426, 985584427]",False,4,улица Винокурова,secondary,True,349.399,40,"LINESTRING (47.4818866 56.1111202, 47.4821176 56.1112485, 47.4823335 56.1113735, 47.4831134 56.1118227, 47.4833648 56.1119687, 47.484126 56.1124109, 47.4843601 56.1125429, 47.4844579 56.1125981, 47.4851163 56.1129752, 47.4856587 56.1132845, 47.485812 56.1133747)",,
119417167,False,4,улица Винокурова,secondary,True,298.164,50,"LINESTRING (47.4913175 56.1166927, 47.4910499 56.1164807, 47.4905062 56.1160991, 47.4898872 56.1157004, 47.4894258 56.1154205, 47.4891811 56.1152818, 47.4890682 56.1152142, 47.4886228 56.1149605, 47.4882231 56.1147315, 47.4881376 56.1146859)",,
314126554,False,4,улица Винокурова,secondary,False,143.31199999999998,50,"LINESTRING (47.4913175 56.1166927, 47.4915672 56.1169125, 47.4919989 56.1173424, 47.4922773 56.1176483, 47.4924143 56.1178255)",,
452125766,False,,Парковая улица,primary,False,13.878,,"LINESTRING (47.4805214 56.1173815, 47.4806649 56.1174773)",,
985584419,True,2,Советская улица,primary,False,32.985,RU:urban,"LINESTRING (47.4805214 56.1173815, 47.480933 56.1171935)",,
176037963,False,2,,residential,True,99.84700000000001,RU:urban,"LINESTRING (47.480933 56.1171935, 47.4806394 56.1170094, 47.4805224 56.1169396, 47.4801357 56.1167089, 47.4799521 56.1165994, 47.4798347 56.116537)",,
"[362095387, 985584419, 985584421, 985584422]",True,2,Советская улица,primary,False,485.35499999999996,"['20', '40', 'RU:urban']","LINESTRING (47.480933 56.1171935, 47.4811539 56.1170837, 47.4812743 56.1170239, 47.4814823 56.1169123, 47.4831214 56.1160342, 47.483332 56.1159213, 47.4837381 56.115699, 47.4838394 56.1156434, 47.4843068 56.115394, 47.485457 56.11478, 47.4856757 56.1146559, 47.4857461 56.1146148, 47.4857649 56.1146038, 47.4858646 56.1145346, 47.4859863 56.1144277, 47.4860763 56.1143358, 47.4861544 56.1142503, 47.4861991 56.1141989, 47.4863089 56.1140569)",,
176037963,False,2,,residential,False,99.847,RU:urban,"LINESTRING (47.4798347 56.116537, 47.4799521 56.1165994, 47.4801357 56.1167089, 47.4805224 56.1169396, 47.4806394 56.1170094, 47.480933 56.1171935)",,
314113393,True,2,,primary,False,7.487,,"LINESTRING (47.4942876 56.1096207, 47.4941669 56.1096228)",roundabout,
175774155,True,2,Советская улица,primary,False,77.388,RU:urban,"LINESTRING (47.4941669 56.1096228, 47.4940658 56.1096327, 47.4939608 56.1096535, 47.493854 56.1096858, 47.4937215 56.1097329, 47.4936303 56.1097728, 47.4935244 56.1098257, 47.4934074 56.1099032, 47.493211 56.110041)",,
175774152,False,4,Советская улица,primary,True,29.083,RU:urban,"LINESTRING (47.493211 56.110041, 47.4929398 56.1102544)",,yes
175774152,False,4,Советская улица,primary,False,29.083,RU:urban,"LINESTRING (47.4929398 56.1102544, 47.493211 56.110041)",,yes
175774151,True,2,Советская улица,primary,False,536.3340000000001,RU:urban,"LINESTRING (47.4929398 56.1102544, 47.4923935 56.1107444, 47.4923125 56.1108164, 47.4922096 56.1108969, 47.4920918 56.1109885, 47.4910667 56.1117862, 47.4908856 56.1119196, 47.4906892 56.1120546, 47.4904973 56.1121803, 47.4902769 56.1123156, 47.4901478 56.1123897, 47.4884009 56.1133449, 47.4881904 56.1134589, 47.4881065 56.1135115, 47.4880376 56.1135656, 47.4879721 56.1136292, 47.4875915 56.1140127)",,
"[1070622029, 136317397]",True,2,Советская улица,primary,False,538.088,RU:urban,"LINESTRING (47.4869483 56.1136649, 47.4876706 56.1135073, 47.487737 56.113488, 47.4878437 56.1134569, 47.4879526 56.1134174, 47.488068 56.1133644, 47.4881513 56.1133215, 47.4883411 56.1132269, 47.4885878 56.1130908, 47.4891841 56.112772, 47.4900167 56.1123267, 47.4901407 56.1122455, 47.4903581 56.1121121, 47.4905466 56.1119887, 47.4907398 56.1118559, 47.4909182 56.1117243, 47.4917671 56.111054, 47.4919192 56.1109344, 47.4920488 56.1108327, 47.4921385 56.1107696, 47.4922559 56.1106884, 47.492742 56.1103799, 47.4929398 56.1102544)",,
314113401,True,2,,primary,False,61.315999999999995,,"LINESTRING (47.4869483 56.1136649, 47.4870941 56.1136742, 47.4872382 56.1137033, 47.4873619 56.1137487, 47.4874561 56.1138031, 47.4875163 56.1138549, 47.4875566 56.1139064, 47.4875915 56.1140127)",roundabout,
175774170,True,2,,primary,False,54.68900000000001,,"LINESTRING (47.4863064 56.1140114, 47.4863259 56.113936, 47.4863717 56.1138656, 47.4864397 56.1138046, 47.4865225 56.1137551, 47.4866174 56.1137162, 47.4867169 56.1136891, 47.4868447 56.1136697)",roundabout,
178494898,True,2,улица Винокурова,secondary,False,77.477,40,"LINESTRING (47.4863064 56.1140114, 47.486242 56.1138801, 47.4862141 56.1138409, 47.4861026 56.1136777, 47.4859736 56.1135295, 47.485812 56.1133747)",,
175774164,True,2,улица Винокурова,secondary,False,77.44500000000001,,"LINESTRING (47.4875871 56.1140663, 47.4877008 56.1142329, 47.4878227 56.1144162, 47.4878687 56.1144686, 47.4879505 56.1145454, 47.4880484 56.1146233, 47.4881376 56.1146859)",,
314113398,True,2,,primary,False,51.497,,"LINESTRING (47.4875871 56.1140663, 47.4875652 56.1141252, 47.4875348 56.1141708, 47.4874807 56.1142247, 47.4874081 56.1142742, 47.4873095 56.1143167, 47.4871927 56.1143535, 47.4870477 56.1143775)",roundabout,
314113399,True,2,,primary,False,58.21300000000001,,"LINESTRING (47.4869402 56.1143817, 47.4867836 56.1143696, 47.486656 56.1143424, 47.4865423 56.1143009, 47.4864642 56.1142588, 47.4863833 56.1141937, 47.486334 56.1141279, 47.4863089 56.1140569)",roundabout,
"[985584424, 985584425, 452125765, 985584423]",True,2,Советская улица,primary,False,522.297,"['20', '40', 'RU:urban']","LINESTRING (47.4869402 56.1143817, 47.4864435 56.114516, 47.4864012 56.1145287, 47.4862711 56.1145582, 47.4861214 56.1145967, 47.4859495 56.1146592, 47.4856837 56.1147913, 47.4848224 56.1152529, 47.4843918 56.1154837, 47.484088 56.1156465, 47.4839604 56.1157149, 47.4834506 56.1159897, 47.4822996 56.1166144, 47.4814808 56.1170664, 47.4814107 56.1171051, 47.4810471 56.1173, 47.4806649 56.1174773)",,
314113391,True,2,,primary,False,5.966,,"LINESTRING (47.4875915 56.1140127, 47.4875871 56.1140663)",roundabout,
314113392,True,2,,primary,False,6.445,,"LINESTRING (47.4868447 56.1136697, 47.4869483 56.1136649)",roundabout,
314113395,True,2,,primary,False,5.062,,"LINESTRING (47.4863089 56.1140569, 47.4863064 56.1140114)",roundabout,
314113389,True,2,,primary,False,6.681,,"LINESTRING (47.4870477 56.1143775, 47.4869402 56.1143817)",roundabout,
