osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,ref,width
648741130,Садовая улица,residential,False,False,39.947,,,"LINESTRING (80.1823705 51.3567444, 80.1822865 51.356389)",,
"[46722113, 649552227]",Садовая улица,residential,False,"[False, True]",447.94100000000003,2,60,"LINESTRING (80.1823705 51.3567444, 80.1837415 51.3579549, 80.1842701 51.3585224, 80.1851718 51.3594841, 80.1858373 51.3601381)",,
130636977,,unclassified,False,False,52.324,,,"LINESTRING (80.1839802 51.3641353, 80.1833794 51.3644194)",,
139497823,улица 40 лет Победы,secondary,False,False,112.362,2,60,"LINESTRING (80.1839802 51.3641353, 80.1832456 51.3632349)",01К-21,
139497823,улица 40 лет Победы,secondary,False,True,108.69,2,60,"LINESTRING (80.1839802 51.3641353, 80.1847666 51.3649805)",01К-21,
139497823,улица 40 лет Победы,secondary,False,True,7.774,2,60,"LINESTRING (80.1831948 51.3631726, 80.1832456 51.3632349)",01К-21,
127356546,переулок Урицкого,tertiary,False,True,107.799,2,60,"LINESTRING (80.1831948 51.3631726, 80.1838549 51.3629215, 80.1840027 51.3628635, 80.184515 51.3626624)",,4
130636977,,unclassified,False,True,52.324,,,"LINESTRING (80.1833794 51.3644194, 80.1839802 51.3641353)",,
649552232,,residential,False,True,120.362,,,"LINESTRING (80.1833794 51.3644194, 80.1833291 51.3641621, 80.1830344 51.3637617, 80.1827706 51.3634164)",,
649552234,,residential,False,False,131.65699999999998,,,"LINESTRING (80.1833794 51.3644194, 80.1838981 51.3649734, 80.1847666 51.3649805)",,
127356546,переулок Урицкого,tertiary,False,True,106.828,2,60,"LINESTRING (80.184515 51.3626624, 80.1858034 51.3621372)",,4
130636982,Степная улица,residential,False,False,297.064,,,"LINESTRING (80.184515 51.3626624, 80.1867058 51.3649572)",,
127356546,переулок Урицкого,tertiary,False,False,107.799,2,60,"LINESTRING (80.184515 51.3626624, 80.1840027 51.3628635, 80.1838549 51.3629215, 80.1831948 51.3631726)",,4
130636982,Степная улица,residential,False,True,297.064,,,"LINESTRING (80.1867058 51.3649572, 80.184515 51.3626624)",,
649552235,,residential,False,False,101.33500000000001,,,"LINESTRING (80.1867058 51.3649572, 80.1874658 51.364708, 80.1879671 51.3645008)",,
130636991,Молодёжная улица,residential,False,True,304.32800000000003,,,"LINESTRING (80.1879671 51.3645008, 80.1878142 51.3641411, 80.1858034 51.3621372)",,
649552235,,residential,False,True,101.33500000000001,,,"LINESTRING (80.1879671 51.3645008, 80.1874658 51.364708, 80.1867058 51.3649572)",,
127356546,переулок Урицкого,tertiary,False,False,106.828,2,60,"LINESTRING (80.1858034 51.3621372, 80.184515 51.3626624)",,4
127356546,переулок Урицкого,tertiary,False,True,25.943,2,60,"LINESTRING (80.1858034 51.3621372, 80.1861331 51.3620274)",,4
130636991,Молодёжная улица,residential,False,False,304.32800000000003,,,"LINESTRING (80.1858034 51.3621372, 80.1878142 51.3641411, 80.1879671 51.3645008)",,
46722113,Садовая улица,residential,False,False,192.464,2,60,"LINESTRING (80.1873613 51.3615839, 80.1858373 51.3601381)",,
127356546,переулок Урицкого,tertiary,False,False,98.507,2,60,"LINESTRING (80.1873613 51.3615839, 80.1861331 51.3620274)",,4
127356546,переулок Урицкого,tertiary,False,True,100.991,2,60,"LINESTRING (80.1873613 51.3615839, 80.1886419 51.3611532)",,4
46722113,Садовая улица,residential,False,True,429.404,2,60,"LINESTRING (80.1873613 51.3615839, 80.1889247 51.3633093, 80.1899164 51.3640373, 80.1909566 51.364694)",,
46722113,Садовая улица,residential,False,False,69.37700000000001,2,60,"LINESTRING (80.1916627 51.3651355, 80.1911218 51.3647973, 80.1909566 51.364694)",,
