osmid,oneway,name,highway,reversed,length,geometry,maxspeed,tunnel,access,lanes
25397400,True,переулок Семашко,residential,False,61.54900000000001,"LINESTRING (39.7143706 47.2186057, 39.7144032 47.2185442, 39.7145911 47.2181406, 39.7146141 47.2180916, 39.7146196 47.2180787)",,,,
137724523,False,Московская улица,residential,True,14.758000000000001,"LINESTRING (39.7087209 47.217442, 39.7087903 47.2174532, 39.708829 47.2174594, 39.7089108 47.2174733)",60,,,
131409776,True,Будённовский проспект,secondary,False,59.861,"LINESTRING (39.707833 47.2194602, 39.7080374 47.2190167, 39.7080686 47.2189462)",60,,,
131467611,True,переулок Семашко,tertiary,False,57.284,"LINESTRING (39.7134284 47.2206234, 39.7134439 47.2205878, 39.7136269 47.2201685, 39.7136464 47.22013)",60,,,
"[141797201, 25777345, 292612741]",False,улица Шаумяна,residential,True,426.76699999999994,"LINESTRING (39.7134284 47.2206234, 39.7133812 47.2206146, 39.7117383 47.2202803, 39.7108612 47.2200981, 39.7107837 47.2200836, 39.7106981 47.2200643, 39.7084416 47.2195871, 39.7084263 47.2195839, 39.708183 47.219533, 39.7081766 47.2195316, 39.7081404 47.219524, 39.7080252 47.2194999)",60,building_passage,no,
478988008,False,улица Шаумяна,residential,False,212.968,"LINESTRING (39.7134284 47.2206234, 39.713527 47.2206435, 39.7160469 47.2211847, 39.7161176 47.2211999)",60,,,
"[316466329, 316466330, 316466331, 131409813]",True,Пушкинская улица,tertiary,False,431.37200000000007,"LINESTRING (39.7063523 47.2232321, 39.706505 47.2232646, 39.7071005 47.2233911, 39.7075708 47.2234887, 39.7081818 47.223621, 39.7088126 47.2237551, 39.7090982 47.2238209, 39.7092542 47.2238548, 39.7108636 47.2241913, 39.7112577 47.2242737, 39.7116956 47.2243653, 39.7117288 47.2243722, 39.7118049 47.2243882)","['60', '40']",,,1
199202536,True,Будённовский проспект,secondary,False,25.295,"LINESTRING (39.7063523 47.2232321, 39.7063062 47.2233345, 39.7062537 47.2234495)",60,,,
"[199202532, 131409780]",True,Будённовский проспект,secondary,False,360.40799999999996,"LINESTRING (39.7061639 47.2231928, 39.7062194 47.2230739, 39.7064551 47.2225405, 39.7066323 47.222141, 39.7069545 47.2214149, 39.7075416 47.2201501, 39.707565 47.2200945)",60,,,3
131409820,True,Пушкинская улица,residential,False,14.884,"LINESTRING (39.7061639 47.2231928, 39.7062309 47.2232068, 39.7062688 47.2232147, 39.7063523 47.2232321)",60,,,
319122305,True,Будённовский проспект,secondary,False,59.792,"LINESTRING (39.7082568 47.2189857, 39.7082249 47.2190581, 39.7080252 47.2194999)",60,,,
386078683,True,Социалистическая улица,tertiary,False,14.876,"LINESTRING (39.7082568 47.2189857, 39.7081869 47.218971, 39.708149 47.2189631, 39.7080686 47.2189462)",60,,,
131409776,True,Будённовский проспект,secondary,False,58.256,"LINESTRING (39.7080686 47.2189462, 39.7080983 47.2188787, 39.7082853 47.2184434)",60,,,
319127198,True,Социалистическая улица,tertiary,False,196.793,"LINESTRING (39.7080686 47.2189462, 39.7079454 47.2189166, 39.7056445 47.2184577, 39.7055708 47.2184426)",60,,,
318488789,True,Халтуринский переулок,tertiary,False,57.681,"LINESTRING (39.7031134 47.2179276, 39.7031378 47.2178639, 39.7032014 47.2177171, 39.7033038 47.2174713, 39.7033219 47.2174286)",60,,,1
131409822,False,Темерницкая улица,residential,True,14.888,"LINESTRING (39.708516 47.2179449, 39.7085861 47.2179591, 39.7086073 47.2179634, 39.708624 47.2179671, 39.7087042 47.2179847)",60,,,
131530856,True,Будённовский проспект,secondary,False,58.028999999999996,"LINESTRING (39.708516 47.2179449, 39.7086285 47.2176849, 39.7087209 47.217442)",60,,,
319127196,True,Газетный переулок,tertiary,False,69.571,"LINESTRING (39.7161176 47.2211999, 39.7160896 47.221256, 39.7158636 47.2217086, 39.7158208 47.2217922)",,,,1
478988008,False,улица Шаумяна,residential,True,212.968,"LINESTRING (39.7161176 47.2211999, 39.7160469 47.2211847, 39.713527 47.2206435, 39.7134284 47.2206234)",60,,,
"[216594873, 142915746]",True,Московская улица,residential,False,202.043,"LINESTRING (39.7118124 47.2180749, 39.7119873 47.2181137, 39.7120972 47.2181316, 39.7134012 47.2183987, 39.7137946 47.2184823, 39.7143706 47.2186057)",,,,3
