osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,junction
144393424,Молодёжная улица,residential,False,False,162.296,"LINESTRING (41.4916289 45.2946054, 41.492326 45.2946865, 41.4930363 45.2947692, 41.4936751 45.294847)",,,
144393424,Молодёжная улица,residential,False,True,372.683,"LINESTRING (41.4916289 45.2946054, 41.4908598 45.2948208, 41.4893119 45.2952389, 41.4871944 45.2958309)",,,
144393424,Молодёжная улица,residential,False,True,74.49,"LINESTRING (41.4953693 45.2947068, 41.4944738 45.2949347)",,,
144393424,Молодёжная улица,residential,False,False,326.415,"LINESTRING (41.4953693 45.2947068, 41.4968992 45.2942884, 41.4979971 45.2939848, 41.4985031 45.2938496, 41.4985876 45.2938267, 41.4992014 45.2936593, 41.4992562 45.2936394)",,,
"[144460658, 144460661]",улица Строителей,"['unclassified', 'residential']",False,False,405.251,"LINESTRING (41.4953693 45.2947068, 41.495538 45.2950095, 41.4957366 45.2953659, 41.4972695 45.2949655, 41.498665 45.2946065, 41.4988893 45.2945424, 41.4996499 45.2943438)",20,,
144393424,Молодёжная улица,residential,False,False,74.49,"LINESTRING (41.4944738 45.2949347, 41.4953693 45.2947068)",,,
144393424,Молодёжная улица,residential,False,True,63.232,"LINESTRING (41.4944738 45.2949347, 41.4936751 45.294847)",,,
144393421,Солнечный бульвар,residential,True,False,560.278,"LINESTRING (41.4944738 45.2949347, 41.4939154 45.2973693, 41.4938947 45.297449, 41.4938837 45.297514, 41.4938536 45.2976387, 41.493392 45.2996511, 41.4933329 45.299909)",,,
144399112,,residential,True,False,17.871,"LINESTRING (41.4925209 45.300031, 41.492581 45.3000726, 41.4927251 45.3000758)",,,
144876057,Солнечный бульвар,residential,True,False,583.496,"LINESTRING (41.4925209 45.300031, 41.4926948 45.2992382, 41.4930515 45.2977596, 41.4931212 45.2974721, 41.4935576 45.2953495, 41.4936751 45.294847)",,,
"[144876061, 77259518]",Набережная улица,"['residential', 'unclassified']",True,False,53.366,"LINESTRING (41.4935286 45.2998607, 41.4934413 45.2999443, 41.493343 45.3001015, 41.4932446 45.3002939)",,,
144399081,,secondary,True,False,30.357,"LINESTRING (41.4931155 45.3010297, 41.4928407 45.3008369)",,07К-038,
144393424,Молодёжная улица,residential,False,False,63.232,"LINESTRING (41.4936751 45.294847, 41.4944738 45.2949347)",,,
144393424,Молодёжная улица,residential,False,True,162.296,"LINESTRING (41.4936751 45.294847, 41.4930363 45.2947692, 41.492326 45.2946865, 41.4916289 45.2946054)",,,
144524184,улица Энергетиков,secondary,False,False,670.9710000000001,"LINESTRING (41.4905086 45.3013065, 41.4903239 45.3012717, 41.4902004 45.3012174, 41.4900491 45.3010806, 41.4898855 45.3008764, 41.4898443 45.3008024, 41.4896786 45.3005051, 41.4889527 45.2990419, 41.4887439 45.298664, 41.4873868 45.2961956, 41.4871944 45.2958309)",,07К-038,
144524184,улица Энергетиков,secondary,False,True,132.494,"LINESTRING (41.4905086 45.3013065, 41.4908055 45.3012695, 41.4914724 45.3010936, 41.4920943 45.3008997)",,07К-038,
144807062,,unclassified,False,True,63.634,"LINESTRING (41.4905086 45.3013065, 41.4902775 45.3013955, 41.4902189 45.3015149, 41.4901815 45.3017742)",,,
144393424,Молодёжная улица,residential,False,False,372.683,"LINESTRING (41.4871944 45.2958309, 41.4893119 45.2952389, 41.4908598 45.2948208, 41.4916289 45.2946054)",,,
144524184,улица Энергетиков,secondary,False,True,670.9710000000001,"LINESTRING (41.4871944 45.2958309, 41.4873868 45.2961956, 41.4887439 45.298664, 41.4889527 45.2990419, 41.4896786 45.3005051, 41.4898443 45.3008024, 41.4898855 45.3008764, 41.4900491 45.3010806, 41.4902004 45.3012174, 41.4903239 45.3012717, 41.4905086 45.3013065)",,07К-038,
78437528,,unclassified,False,True,84.163,"LINESTRING (41.4996499 45.2943438, 41.4992562 45.2936394)",20,,
"[144460658, 144460661]",улица Строителей,"['residential', 'unclassified']",False,True,405.251,"LINESTRING (41.4996499 45.2943438, 41.4988893 45.2945424, 41.498665 45.2946065, 41.4972695 45.2949655, 41.4957366 45.2953659, 41.495538 45.2950095, 41.4953693 45.2947068)",20,,
78437528,,unclassified,False,False,84.163,"LINESTRING (41.4992562 45.2936394, 41.4996499 45.2943438)",20,,
144393424,Молодёжная улица,residential,False,True,326.41499999999996,"LINESTRING (41.4992562 45.2936394, 41.4992014 45.2936593, 41.4985876 45.2938267, 41.4985031 45.2938496, 41.4979971 45.2939848, 41.4968992 45.2942884, 41.4953693 45.2947068)",,,
"[144393430, 77261407]",Солнечный бульвар,"['secondary', 'tertiary']",True,False,41.8,"LINESTRING (41.4920943 45.3008997, 41.4922072 45.3007787, 41.4922816 45.3006896, 41.4923568 45.3005732)",,07К-038,
144524184,улица Энергетиков,secondary,False,False,132.494,"LINESTRING (41.4920943 45.3008997, 41.4914724 45.3010936, 41.4908055 45.3012695, 41.4905086 45.3013065)",,07К-038,
144399112,,residential,True,False,51.039,"LINESTRING (41.4927251 45.3000758, 41.4931596 45.2999611, 41.4933329 45.299909)",,,
144900350,,secondary,True,False,53.919999999999995,"LINESTRING (41.4927251 45.3000758, 41.4929412 45.3000699, 41.4930323 45.3000876, 41.4931126 45.3001259, 41.4932113 45.300201, 41.4932446 45.3002939)",,07К-038,roundabout
144900350,,secondary,True,False,19.124000000000002,"LINESTRING (41.4928407 45.3008369, 41.4927111 45.3008325, 41.492603 45.3008054)",,07К-038,roundabout
144399082,,secondary,True,False,41.145,"LINESTRING (41.492603 45.3008054, 41.4920943 45.3008997)",,07К-038,
144900350,,secondary,True,False,34.766,"LINESTRING (41.492603 45.3008054, 41.4924621 45.3007559, 41.4923852 45.3006802, 41.4923568 45.3005732)",,07К-038,roundabout
144900350,,secondary,True,False,45.804,"LINESTRING (41.4932446 45.3002939, 41.4932274 45.3004774, 41.4931916 45.3006101, 41.4931521 45.3006988)",,07К-038,roundabout
144899634,,secondary,True,False,36.906,"LINESTRING (41.4931521 45.3006988, 41.4931155 45.3010297)",,07К-038,
144900350,,secondary,True,False,29.956000000000003,"LINESTRING (41.4931521 45.3006988, 41.4930752 45.3007634, 41.4929643 45.3008205, 41.4928407 45.3008369)",,07К-038,roundabout
144876057,Солнечный бульвар,residential,True,False,21.057000000000002,"LINESTRING (41.4924734 45.3002174, 41.4925002 45.3001084, 41.4925209 45.300031)",,,
144900350,,secondary,True,False,25.791999999999998,"LINESTRING (41.4924734 45.3002174, 41.4925154 45.3001742, 41.4925633 45.3001392, 41.4926458 45.3000988, 41.4927251 45.3000758)",,07К-038,roundabout
144900350,,secondary,True,False,40.634,"LINESTRING (41.4923568 45.3005732, 41.4923924 45.3004424, 41.4924315 45.3003166, 41.4924734 45.3002174)",,07К-038,roundabout
144457902,,unclassified,False,False,123.262,"LINESTRING (41.4882202 45.2999569, 41.4885056 45.3002788, 41.4887803 45.3007232, 41.4888059 45.3009671)",,,
144457902,,unclassified,False,False,67.21300000000001,"LINESTRING (41.4888059 45.3009671, 41.4887978 45.3011841, 41.489038 45.3015327)",,,
144457902,,unclassified,False,True,123.262,"LINESTRING (41.4888059 45.3009671, 41.4887803 45.3007232, 41.4885056 45.3002788, 41.4882202 45.2999569)",,,
144457902,,unclassified,False,True,111.14299999999999,"LINESTRING (41.4901815 45.3017742, 41.4896802 45.3018841, 41.4894953 45.3018843, 41.4893264 45.3018466, 41.4891869 45.3017277, 41.489038 45.3015327)",,,
144807062,,unclassified,False,False,63.634,"LINESTRING (41.4901815 45.3017742, 41.4902189 45.3015149, 41.4902775 45.3013955, 41.4905086 45.3013065)",,,
144393421,Солнечный бульвар,residential,True,False,43.353,"LINESTRING (41.4933329 45.299909, 41.4932446 45.3002939)",,,
144399112,,residential,True,False,16.221,"LINESTRING (41.4933329 45.299909, 41.4935286 45.2998607)",,,
144457902,,unclassified,False,False,111.143,"LINESTRING (41.489038 45.3015327, 41.4891869 45.3017277, 41.4893264 45.3018466, 41.4894953 45.3018843, 41.4896802 45.3018841, 41.4901815 45.3017742)",,,
144457902,,unclassified,False,True,67.21300000000001,"LINESTRING (41.489038 45.3015327, 41.4887978 45.3011841, 41.4888059 45.3009671)",,,
