osmid,lanes,ref,highway,oneway,reversed,length,geometry,maxspeed,name,bridge
317497909,2,А-108,trunk,False,False,52.581,"LINESTRING (36.7318898 56.3344089, 36.7317076 56.3345037, 36.7315275 56.3345936, 36.7312613 56.3347286)",,,
427433152,1,,tertiary,True,False,75.30900000000001,"LINESTRING (36.7318898 56.3344089, 36.7320858 56.3343013, 36.7321646 56.3342542, 36.7322797 56.3341918, 36.7324121 56.3341312, 36.732683 56.3340071, 36.7327402 56.3339882, 36.7327924 56.3339776, 36.7328121 56.3339703)",,,
1076832052,2,А-108,trunk,False,True,43.025999999999996,"LINESTRING (36.7318898 56.3344089, 36.7322245 56.3342787, 36.7323245 56.3342442, 36.7324139 56.3342275, 36.7324891 56.3342183)",RU:urban,,
792900090,2,А-108,trunk,False,True,154.173,"LINESTRING (36.7278915 56.3325818, 36.7280187 56.3326381, 36.7284755 56.3328967, 36.7285603 56.3329506, 36.7291674 56.3333364, 36.7295834 56.3336008)",RU:urban,,
162381761,2,,tertiary,False,True,51.993,"LINESTRING (36.7286406 56.3313199, 36.7289916 56.3315247, 36.7291111 56.3315998, 36.7292095 56.3316649)",,улица Гагарина,
"[108904961, 427433165, 108904977, 108904967]","['2', '3']",46Н-03884,tertiary,False,True,283.624,"LINESTRING (36.7352264 56.3355885, 36.7354914 56.3354649, 36.7357503 56.3353582, 36.7361071 56.3352042, 36.7371205 56.334759, 36.7377824 56.3344798, 36.7388043 56.3340315, 36.7388446 56.3340131)",RU:urban,улица Чайковского,yes
108904970,4,А-108,trunk,False,False,109.05799999999999,"LINESTRING (36.7352264 56.3355885, 36.7348362 56.335355, 36.7347261 56.3352805, 36.7346495 56.3352305, 36.7343824 56.3350562, 36.7342489 56.334969, 36.7341108 56.334879, 36.7340648 56.334849)",RU:urban,улица Гагарина,
"[872023850, 872023851, 872023852, 83350804]",2,А-108,trunk,False,True,365.086,"LINESTRING (36.7352264 56.3355885, 36.7353483 56.3356303, 36.7354348 56.3356793, 36.7355038 56.3357185, 36.735752 56.3358848, 36.7360202 56.3360556, 36.7363079 56.3362565, 36.7391273 56.3380538)",RU:urban,улица Папивина,
"[76051560, 792900092]",,,residential,False,False,123.466,"LINESTRING (36.7295834 56.3336008, 36.7296479 56.3335646, 36.7309441 56.3329512, 36.7310112 56.3329194, 36.7311014 56.3328767)",,Ленинградская улица,
228951138,2,А-108,trunk,False,True,162.562,"LINESTRING (36.7295834 56.3336008, 36.729743 56.3337067, 36.7303328 56.3340981, 36.7306316 56.3343051, 36.7308696 56.3344699, 36.7312613 56.3347286)",RU:urban,,
792900090,2,А-108,trunk,False,False,154.173,"LINESTRING (36.7295834 56.3336008, 36.7291674 56.3333364, 36.7285603 56.3329506, 36.7284755 56.3328967, 36.7280187 56.3326381, 36.7278915 56.3325818)",RU:urban,,
