osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry
31376199,False,2,улица Радищева,primary_link,True,25.175,,"LINESTRING (31.2760496 58.5620787, 31.2764444 58.5619846)"
199404217,True,3,Большая Санкт-Петербургская улица,primary,False,208.97000000000003,60,"LINESTRING (31.2760496 58.5620787, 31.2758339 58.5618193, 31.2757335 58.5616382, 31.2755156 58.5612502, 31.2753631 58.5609785, 31.2751715 58.5606358, 31.2750152 58.5602814)"
31376199,False,2,улица Радищева,primary_link,False,25.175,,"LINESTRING (31.2764444 58.5619846, 31.2760496 58.5620787)"
31395706,True,3,Большая Санкт-Петербургская улица,primary,False,343.24699999999996,60,"LINESTRING (31.2764444 58.5619846, 31.2765883 58.5621567, 31.2768597 58.5624816, 31.2770617 58.5627385, 31.278182 58.5641214, 31.2786717 58.5647255, 31.2787499 58.5648276)"
31395706,True,3,Большая Санкт-Петербургская улица,primary,False,112.023,60,"LINESTRING (31.2756809 58.5610592, 31.2764444 58.5619846)"
152368983,False,,,residential,True,445.716,,"LINESTRING (31.2756809 58.5610592, 31.2758237 58.5610262, 31.2769105 58.5607772, 31.2770307 58.5607473, 31.27861 58.5603824, 31.2789101 58.5603128, 31.2790382 58.5602834, 31.2798569 58.5600913, 31.2806596 58.5599088, 31.2817958 58.5596418, 31.2827054 58.5594338)"
"[207576321, 942377340]",False,4,Большая Санкт-Петербургская улица,primary,True,92.994,"['60', 'RU:urban']","LINESTRING (31.2750152 58.5602814, 31.2747934 58.5599895, 31.2746684 58.559822, 31.2744203 58.5595048)"
"[31395706, 665630221]",True,"['2', '3']",Большая Санкт-Петербургская улица,primary,False,94.715,60,"LINESTRING (31.2750152 58.5602814, 31.2755719 58.5609353, 31.2756809 58.5610592)"
152368983,False,,,residential,False,445.716,,"LINESTRING (31.2827054 58.5594338, 31.2817958 58.5596418, 31.2806596 58.5599088, 31.2798569 58.5600913, 31.2790382 58.5602834, 31.2789101 58.5603128, 31.27861 58.5603824, 31.2770307 58.5607473, 31.2769105 58.5607772, 31.2758237 58.5610262, 31.2756809 58.5610592)"
152368983,False,,,residential,True,126.71100000000001,,"LINESTRING (31.2827054 58.5594338, 31.2826413 58.5593519, 31.28211 58.5586671, 31.2818793 58.5583789)"
551099557,False,,,residential,True,159.371,,"LINESTRING (31.2827054 58.5594338, 31.2839277 58.5591681, 31.2845312 58.5598406)"
207880172,False,,,primary_link,False,24.741,,"LINESTRING (31.2787499 58.5648276, 31.2783588 58.5649165)"
207880172,False,,,primary_link,True,24.741,,"LINESTRING (31.2783588 58.5649165, 31.2787499 58.5648276)"
199404217,True,3,Большая Санкт-Петербургская улица,primary,False,342.792,60,"LINESTRING (31.2783588 58.5649165, 31.2782962 58.5648422, 31.2766486 58.5628212, 31.2761875 58.5622478, 31.2760496 58.5620787)"
152368983,False,,,residential,False,126.711,,"LINESTRING (31.2818793 58.5583789, 31.28211 58.5586671, 31.2826413 58.5593519, 31.2827054 58.5594338)"
551099557,False,,,residential,False,159.371,,"LINESTRING (31.2845312 58.5598406, 31.2839277 58.5591681, 31.2827054 58.5594338)"
"[207576321, 942377340]",False,4,Большая Санкт-Петербургская улица,primary,False,92.994,"['60', 'RU:urban']","LINESTRING (31.2744203 58.5595048, 31.2746684 58.559822, 31.2747934 58.5599895, 31.2750152 58.5602814)"
