osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,junction,name,tunnel
978067661,True,1,tertiary,RU:urban,False,35.803,"LINESTRING (33.1219414 45.3832075, 33.122344 45.3833615)",,,
978067659,True,1,tertiary,RU:urban,False,34.152,"LINESTRING (33.1229653 45.3835199, 33.1227225 45.3835713, 33.1226286 45.3836822)",,,
101318587,True,2,tertiary,RU:urban,False,45.251,"LINESTRING (33.1225279 45.3838197, 33.1223649 45.3838924, 33.1221722 45.3839021, 33.1219961 45.3838464)",roundabout,,
101318587,True,2,tertiary,RU:urban,False,17.193,"LINESTRING (33.1226286 45.3836822, 33.1225279 45.3838197)",roundabout,,
101318587,True,2,tertiary,RU:urban,False,39.799,"LINESTRING (33.1219961 45.3838464, 33.1218786 45.3837387, 33.1218478 45.3836516, 33.1218779 45.3835208)",roundabout,,
101318590,True,,residential,,False,168.04,"LINESTRING (33.1219961 45.3838464, 33.121612 45.3837631, 33.120522 45.3839999, 33.120167 45.3840718, 33.1199371 45.3841183)",,,
101318587,True,2,tertiary,RU:urban,False,14.738,"LINESTRING (33.1218779 45.3835208, 33.121991 45.3834147)",roundabout,,
101318587,True,2,tertiary,RU:urban,False,29.012,"LINESTRING (33.121991 45.3834147, 33.1221614 45.3833576, 33.122344 45.3833615)",roundabout,,
978067660,True,1,tertiary,RU:urban,False,23.558,"LINESTRING (33.121991 45.3834147, 33.1219876 45.3833188, 33.1219414 45.3832075)",,,
101318587,True,2,tertiary,RU:urban,False,14.277,"LINESTRING (33.122344 45.3833615, 33.1225047 45.3834227)",roundabout,,
978067662,True,1,tertiary,RU:urban,False,37.561,"LINESTRING (33.1225047 45.3834227, 33.1229653 45.3835199)",,,
101318587,True,2,tertiary,RU:urban,False,31.468999999999998,"LINESTRING (33.1225047 45.3834227, 33.1226088 45.3835281, 33.1226286 45.3836822)",roundabout,,
101428318,False,,residential,,False,36.94,"LINESTRING (33.1199493 45.3837862, 33.1199371 45.3841183)",,,
101318589,True,,residential,,False,156.738,"LINESTRING (33.1199493 45.3837862, 33.1216012 45.3836671, 33.1218779 45.3835208)",,проспект Героев Десантников,
101350682,False,,residential,,False,36.467,"LINESTRING (33.1144355 45.3840376, 33.1144572 45.3843652)",,Парковая улица,
101318589,True,,residential,,False,431.52599999999995,"LINESTRING (33.1144355 45.3840376, 33.1146924 45.384028, 33.1170423 45.3839196, 33.1172415 45.3839104, 33.1196954 45.3837978, 33.1199493 45.3837862)",,проспект Героев Десантников,
101350682,False,,residential,,True,278.251,"LINESTRING (33.1144355 45.3840376, 33.1143881 45.3835221, 33.1141992 45.3833392, 33.1145141 45.3830706, 33.1153513 45.3823563, 33.1157918 45.3819806)",,Парковая улица,
101428318,False,,residential,,True,36.94,"LINESTRING (33.1199371 45.3841183, 33.1199493 45.3837862)",,,
101318590,True,,residential,,False,245.23899999999998,"LINESTRING (33.1199371 45.3841183, 33.1197039 45.3841288, 33.1192779 45.384148, 33.1172587 45.3842376, 33.1170593 45.3842467, 33.1168033 45.3842584)",,,
101428318,False,,residential,,False,204.534,"LINESTRING (33.1199371 45.3841183, 33.11995 45.3842536, 33.1200033 45.384812, 33.1200479 45.3852794, 33.1201122 45.3859536)",,,
101350682,False,,residential,,True,36.467,"LINESTRING (33.1144572 45.3843652, 33.1144355 45.3840376)",,Парковая улица,
"[101350682, 361403430]",False,,residential,,"[False, True]",760.1750000000001,"LINESTRING (33.1144572 45.3843652, 33.1144648 45.3844344, 33.114684 45.3864086, 33.1146944 45.3865019, 33.1147659 45.3866776, 33.1152268 45.3872772, 33.1169244 45.3872019, 33.1187144 45.3871226, 33.1189933 45.3869794, 33.1190377 45.3869083, 33.1196403 45.3859424)",,"['улица Кантура', 'Парковая улица']",
101318591,False,,residential,,False,162.51399999999998,"LINESTRING (33.1157918 45.3819806, 33.1161068 45.3821191, 33.1165568 45.3826783, 33.1166122 45.3832351)",,Морская улица,
101350682,False,,residential,,False,278.251,"LINESTRING (33.1157918 45.3819806, 33.1153513 45.3823563, 33.1145141 45.3830706, 33.1141992 45.3833392, 33.1143881 45.3835221, 33.1144355 45.3840376)",,Парковая улица,
101318591,False,,residential,,True,162.514,"LINESTRING (33.1166122 45.3832351, 33.1165568 45.3826783, 33.1161068 45.3821191, 33.1157918 45.3819806)",,Морская улица,
101428318,False,,residential,,True,204.534,"LINESTRING (33.1201122 45.3859536, 33.1200479 45.3852794, 33.1200033 45.384812, 33.11995 45.3842536, 33.1199371 45.3841183)",,,
968324063,False,,residential,,False,46.628,"LINESTRING (33.1168453 45.3846767, 33.1168033 45.3842584)",,,yes
"[101350682, 361403430]",False,,residential,,"[False, True]",760.1749999999998,"LINESTRING (33.1196403 45.3859424, 33.1190377 45.3869083, 33.1189933 45.3869794, 33.1187144 45.3871226, 33.1169244 45.3872019, 33.1152268 45.3872772, 33.1147659 45.3866776, 33.1146944 45.3865019, 33.114684 45.3864086, 33.1144648 45.3844344, 33.1144572 45.3843652)",,"['улица Кантура', 'Парковая улица']",
968324063,False,,residential,,True,46.628,"LINESTRING (33.1168033 45.3842584, 33.1168453 45.3846767)",,,yes
101318590,True,,residential,,False,183.609,"LINESTRING (33.1168033 45.3842584, 33.1150524 45.3843384, 33.1147216 45.3843533, 33.1144572 45.3843652)",,,
