osmid,oneway,name,highway,reversed,length,geometry,maxspeed
117399587,False,улица Шевченко,residential,True,158.911,"LINESTRING (38.9515927 46.3150368, 38.9526741 46.3138184)",
147033396,False,улица Чапаева,tertiary,True,141.784,"LINESTRING (38.9515927 46.3150368, 38.9531812 46.3156865)",
117907097,False,Культурная улица,residential,False,211.00599999999997,"LINESTRING (38.9515927 46.3150368, 38.9514934 46.3149953, 38.9496326 46.3142224, 38.9491905 46.3141347)",
117399587,False,улица Шевченко,residential,False,158.911,"LINESTRING (38.9526741 46.3138184, 38.9515927 46.3150368)",
149427883,False,улица Космонавтов,residential,False,141.05,"LINESTRING (38.9526741 46.3138184, 38.9541833 46.3144295, 38.9542597 46.3144584)",
119456788,False,улица Гусько,residential,False,148.509,"LINESTRING (38.9594522 46.3166026, 38.9584469 46.3177435)",
"[119456788, 117401181]",False,"['Партизанская улица', 'улица Гусько']",residential,"[False, True]",347.93100000000004,"LINESTRING (38.9594522 46.3166026, 38.9596651 46.3162958, 38.9598411 46.3159669, 38.9599131 46.315824, 38.960022 46.3155619, 38.9601258 46.3152612, 38.9579902 46.314406)",
147033413,False,улица Космонавтов,residential,True,198.916,"LINESTRING (38.9594522 46.3166026, 38.9583611 46.3160475, 38.9572887 46.3156246)",
71716956,False,улица Чапаева,residential,False,163.511,"LINESTRING (38.9584469 46.3177435, 38.9566341 46.3169723)",
119456788,False,улица Гусько,residential,True,148.509,"LINESTRING (38.9584469 46.3177435, 38.9594522 46.3166026)",
119456788,False,улица Гусько,residential,False,207.392,"LINESTRING (38.9584469 46.3177435, 38.9572883 46.3191292, 38.9571949 46.3193862)",
150289208,False,Советская улица,tertiary,True,133.312,"LINESTRING (38.9571949 46.3193862, 38.9558653 46.3186154)",
119456788,False,улица Гусько,residential,True,207.392,"LINESTRING (38.9571949 46.3193862, 38.9572883 46.3191292, 38.9584469 46.3177435)",
150289208,False,Советская улица,tertiary,False,407.23599999999993,"LINESTRING (38.9571949 46.3193862, 38.9577391 46.3196867, 38.958314 46.3199572, 38.9590855 46.3203243, 38.9598622 46.3206647, 38.9604131 46.3208714, 38.9609728 46.321062, 38.9616381 46.3212875, 38.9616949 46.3213041)",
147021855,False,улица Котовского,tertiary,False,241.856,"LINESTRING (38.9614974 46.3142416, 38.9587806 46.3131418)",60
147052748,False,улица Ленина,tertiary,True,7.628,"LINESTRING (38.9519994 46.317282, 38.9519941 46.3172135)",
147052748,False,улица Ленина,tertiary,False,284.917,"LINESTRING (38.9519994 46.317282, 38.9520081 46.3174186, 38.9525139 46.319656, 38.9525318 46.3197424, 38.9525239 46.319816)",
150289208,False,Советская улица,tertiary,False,196.289,"LINESTRING (38.9519994 46.317282, 38.9521299 46.3173155, 38.9534399 46.3176809, 38.9543724 46.3179377)",
71716956,False,улица Чапаева,residential,True,143.142,"LINESTRING (38.9549841 46.3163736, 38.9566341 46.3169723)",
149707593,False,переулок Ленина,residential,True,180.153,"LINESTRING (38.9549841 46.3163736, 38.9543724 46.3179377)",
"[71716956, 147033396]",False,улица Чапаева,"['residential', 'tertiary']",False,158.17700000000002,"LINESTRING (38.9549841 46.3163736, 38.9536682 46.3158871, 38.9531812 46.3156865)",
