osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,ref
130424122,улица Ленина,tertiary,False,False,83.773,,"LINESTRING (20.1300947 54.6761546, 20.1303987 54.675422)",,
193107196,Энергетическая улица,residential,False,False,45.944,,"LINESTRING (20.1300947 54.6761546, 20.1307995 54.6760864)",,
193107196,Энергетическая улица,residential,False,True,134.409,,"LINESTRING (20.1300947 54.6761546, 20.1280529 54.6764142)",,
96223500,Центральная улица,residential,False,False,393.111,2,"LINESTRING (20.1300947 54.6761546, 20.1294844 54.6757481, 20.1270582 54.6741406, 20.1260764 54.67349)",,
130424122,улица Ленина,tertiary,False,True,193.912,,"LINESTRING (20.1300947 54.6761546, 20.1299389 54.6765274, 20.1298609 54.676714, 20.1293432 54.6778434)",,
96223500,Центральная улица,residential,False,True,393.111,2,"LINESTRING (20.1260764 54.67349, 20.1270582 54.6741406, 20.1294844 54.6757481, 20.1300947 54.6761546)",,
96223503,Коммунистическая улица,residential,False,False,337.073,2,"LINESTRING (20.1260764 54.67349, 20.126039 54.6733995, 20.1260808 54.6733014, 20.1261875 54.6731488, 20.1267781 54.6723108, 20.1268376 54.6721674, 20.1268793 54.672067, 20.1270299 54.6715763, 20.1271492 54.67151, 20.1282289 54.6709104, 20.128306 54.6708743)",,
193108320,улица Калинина,residential,False,True,89.08099999999999,2,"LINESTRING (20.1260764 54.67349, 20.1251343 54.6735406, 20.1250159 54.673547, 20.1248689 54.67356, 20.124701 54.6735807)",,
193108321,улица Калинина,residential,False,False,149.466,2,"LINESTRING (20.1260764 54.67349, 20.1266287 54.6734518, 20.128117 54.673349, 20.1283846 54.6733305)",,
96223503,Коммунистическая улица,residential,False,True,337.073,2,"LINESTRING (20.128306 54.6708743, 20.1282289 54.6709104, 20.1271492 54.67151, 20.1270299 54.6715763, 20.1268793 54.672067, 20.1268376 54.6721674, 20.1267781 54.6723108, 20.1261875 54.6731488, 20.1260808 54.6733014, 20.126039 54.6733995, 20.1260764 54.67349)",,
191707109,Советская улица,tertiary,False,False,345.06699999999995,4,"LINESTRING (20.128306 54.6708743, 20.1280992 54.6707476, 20.1278878 54.6706181, 20.1275146 54.6703836, 20.1274306 54.6703315, 20.1273452 54.6702785, 20.1266563 54.6701416, 20.125375 54.6699807, 20.1246431 54.669887, 20.1245515 54.6698753, 20.1240099 54.6697958, 20.1239338 54.6697854, 20.1237004 54.6697608, 20.123505 54.6697354)",60,
"[191707106, 1214026449, 1214026450, 344612239]",Советская улица,tertiary,False,True,139.45600000000002,4,"LINESTRING (20.128306 54.6708743, 20.1284781 54.6709798, 20.1286959 54.6711133, 20.1287867 54.6711689, 20.1289195 54.6712503, 20.1297714 54.6717773, 20.1297912 54.6717882)",30,
191704976,Советская улица,secondary,False,False,39.071,4,"LINESTRING (20.1317681 54.6731488, 20.1313927 54.6728725)",30,
