osmid,ref,name,highway,oneway,reversed,length,geometry,access
203332440,22К-0016,Большая Садовая улица,secondary,False,False,86.666,"LINESTRING (43.8173289 57.1273971, 43.8186498 57.1270914)",
204973086,,,tertiary,False,True,82.984,"LINESTRING (43.8173289 57.1273971, 43.8160667 57.1276931)",
57841557,22К-0029,улица Коммунистов,tertiary,True,False,277.67,"LINESTRING (43.8173289 57.1273971, 43.8178275 57.1280057, 43.8191984 57.1296788)",
"[53146963, 204973111]",,"['улица Большая Ильинка', 'Большая Садовая улица']",tertiary,False,False,156.764,"LINESTRING (43.8116687 57.1286574, 43.8127502 57.1284073, 43.8129964 57.1284227, 43.8134912 57.1290006)",
53146963,,Большая Садовая улица,tertiary,False,True,98.35300000000001,"LINESTRING (43.8116687 57.1286574, 43.8111745 57.1288321, 43.8103247 57.1291574)",
53146963,,Большая Садовая улица,tertiary,False,False,62.291,"LINESTRING (43.8086794 57.1296281, 43.8095778 57.1293523)",
137506986,22К-0015,улица Коммунистов,secondary,True,False,125.581,"LINESTRING (43.8133383 57.1251628, 43.8143792 57.1251388, 43.8147664 57.1251931, 43.8153129 57.1253727)",
204973154,,улица Карла Маркса,residential,False,False,158.776,"LINESTRING (43.8133383 57.1251628, 43.8144457 57.1259744, 43.8148509 57.1263298)",destination
204986959,22К-0015,улица 50 лет ВЛКСМ,secondary,False,False,75.13900000000001,"LINESTRING (43.8133383 57.1251628, 43.8127873 57.1249525, 43.8123617 57.1247456)",
204986960,,улица Коммунистов,residential,False,True,17.442,"LINESTRING (43.8153129 57.1253727, 43.8154337 57.1252302)",
137506986,22К-0015,улица Коммунистов,secondary,True,False,78.903,"LINESTRING (43.8153129 57.1253727, 43.8159549 57.1258875, 43.8160311 57.1259651)",
204986959,22К-0015,улица 50 лет ВЛКСМ,secondary,False,False,83.118,"LINESTRING (43.8115514 57.123461, 43.8112405 57.1227328)",
204986959,22К-0015,улица 50 лет ВЛКСМ,secondary,False,True,48.667,"LINESTRING (43.8115514 57.123461, 43.8117886 57.1238793)",
252429152,,1-я Луговая улица,residential,False,True,157.954,"LINESTRING (43.8115514 57.123461, 43.8105885 57.1236286, 43.8090871 57.1239376)",
137506986,22К-0015,улица Коммунистов,secondary,True,False,108.416,"LINESTRING (43.8160311 57.1259651, 43.8168431 57.1268348)",
204973108,,,residential,False,False,81.966,"LINESTRING (43.8160311 57.1259651, 43.8148509 57.1263298)",
53146963,,Большая Садовая улица,tertiary,False,True,50.015,"LINESTRING (43.8103247 57.1291574, 43.8095778 57.1293523)",
53146963,,Большая Садовая улица,tertiary,False,False,98.35300000000001,"LINESTRING (43.8103247 57.1291574, 43.8111745 57.1288321, 43.8116687 57.1286574)",
204973074,,Южная улица,residential,False,True,117.096,"LINESTRING (43.8108023 57.1217864, 43.8091264 57.1220895, 43.8089619 57.1221193)",
204986959,22К-0015,улица 50 лет ВЛКСМ,secondary,False,True,108.50800000000001,"LINESTRING (43.8108023 57.1217864, 43.8109865 57.1221842, 43.8112405 57.1227328)",
204973136,,Рыбновский переулок,residential,False,False,43.537,"LINESTRING (43.8156745 57.122354, 43.8163938 57.1223251)",
204973136,,Рыбновский переулок,residential,False,True,166.007,"LINESTRING (43.8156745 57.122354, 43.813976 57.1235282)",
