osmid,oneway,name,highway,reversed,length,geometry,est_width
101977757,True,Красноармейская улица,secondary,False,159.001,"LINESTRING (48.7841709 53.9614544, 48.7865829 53.9616305)",
101926079,False,,secondary_link,True,32.525999999999996,"LINESTRING (48.7841709 53.9614544, 48.7841333 53.9616024, 48.7840974 53.9617437)",
108120600,False,улица 8 Марта,residential,False,114.023,"LINESTRING (48.7841709 53.9614544, 48.7842023 53.9613325, 48.7844327 53.9604406)",
104390223,True,Красноармейская улица,secondary,False,37.523,"LINESTRING (48.7840974 53.9617437, 48.783528 53.961703)",
101926079,False,,secondary_link,False,32.525999999999996,"LINESTRING (48.7840974 53.9617437, 48.7841333 53.9616024, 48.7841709 53.9614544)",
104390223,True,Красноармейская улица,secondary,False,41.842000000000006,"LINESTRING (48.7807968 53.9614839, 48.7803275 53.9613482, 48.780218 53.9613245)",
110021898,True,,secondary,False,34.811,"LINESTRING (48.7807968 53.9614839, 48.7807229 53.9614538, 48.7806742 53.9614122, 48.7806596 53.9613606, 48.7806888 53.9613047, 48.7807491 53.9612721, 48.7808287 53.9612527)",
104390223,True,Красноармейская улица,secondary,False,132.155,"LINESTRING (48.783528 53.961703, 48.781519 53.9615784)",
102822158,False,улица Щорса,tertiary,False,78.972,"LINESTRING (48.783528 53.961703, 48.7834919 53.9618349, 48.7833322 53.9624038)",4
102822158,False,улица Щорса,tertiary,True,83.25200000000001,"LINESTRING (48.7831812 53.963239, 48.7831724 53.9631017, 48.7831901 53.9628865, 48.7833044 53.9624964)",4
252108613,False,улица Олега Кошевого,residential,False,132.223,"LINESTRING (48.7831812 53.963239, 48.7818061 53.9631468, 48.7812786 53.9630964, 48.7811975 53.9630592)",
101977757,True,Красноармейская улица,secondary,False,169.213,"LINESTRING (48.7816026 53.9612738, 48.7841709 53.9614544)",
110021901,False,Комсомольская улица,residential,False,115.148,"LINESTRING (48.7816026 53.9612738, 48.7816385 53.9611391, 48.7818758 53.9602508)",
229051412,False,Комсомольская улица,residential,False,34.309,"LINESTRING (48.7816026 53.9612738, 48.7815613 53.9614242, 48.781519 53.9615784)",
