osmid,ref,highway,oneway,reversed,length,bridge,geometry,lanes,name,maxspeed
"[128779560, 137334970, 119009356, 119009373]",22К-0026,secondary,False,False,525.964,yes,"LINESTRING (43.1877328 56.2209567, 43.1868866 56.2209443, 43.1862459 56.2210793, 43.1856198 56.2213249, 43.1843917 56.2220226, 43.1836987 56.2224339, 43.1831748 56.2227279, 43.1828476 56.2228439, 43.1825466 56.2228689, 43.1817062 56.2228844, 43.1814116 56.2228896, 43.1810584 56.2229726, 43.1806432 56.2231114)",,,
137334939,,residential,False,True,143.118,,"LINESTRING (43.1877328 56.2209567, 43.1878658 56.2207625, 43.1893342 56.2200566)",1,Стадионная улица,
"[129774809, 857633799]",22К-0026,secondary,False,True,126.713,,"LINESTRING (43.1877328 56.2209567, 43.1895024 56.2211853, 43.1897214 56.2212293)",,улица Фрунзе,40
119009364,22К-0024,secondary,False,True,33.532,,"LINESTRING (43.1806432 56.2231114, 43.1803718 56.2233725)",,,
"[128779560, 137334970, 119009356, 119009373]",22К-0026,secondary,False,True,525.964,yes,"LINESTRING (43.1806432 56.2231114, 43.1810584 56.2229726, 43.1814116 56.2228896, 43.1817062 56.2228844, 43.1825466 56.2228689, 43.1828476 56.2228439, 43.1831748 56.2227279, 43.1836987 56.2224339, 43.1843917 56.2220226, 43.1856198 56.2213249, 43.1862459 56.2210793, 43.1868866 56.2209443, 43.1877328 56.2209567)",,,
172642327,22К-0026,tertiary,False,False,38.364999999999995,,"LINESTRING (43.1806432 56.2231114, 43.1804613 56.2231301, 43.1800428 56.2231973)",,,
39180483,,tertiary,False,False,28.164,,"LINESTRING (43.1800428 56.2231973, 43.1803718 56.2233725)",,,
137334933,22К-0026,tertiary,False,False,19.542,,"LINESTRING (43.1800428 56.2231973, 43.1797815 56.2230984)",,Калининская улица,
172642327,22К-0026,tertiary,False,True,38.364999999999995,,"LINESTRING (43.1800428 56.2231973, 43.1804613 56.2231301, 43.1806432 56.2231114)",,,
54226489,,residential,False,True,112.625,,"LINESTRING (43.1769094 56.2220084, 43.1759096 56.2228551)",,Кооперативная улица,
137334933,22К-0026,tertiary,False,False,62.047,,"LINESTRING (43.1769094 56.2220084, 43.1760566 56.2217142)",,Калининская улица,
137334933,22К-0026,tertiary,False,True,128.808,,"LINESTRING (43.1769094 56.2220084, 43.1770509 56.2220581, 43.1786338 56.2226585)",,Калининская улица,
54226489,,residential,False,False,105.998,,"LINESTRING (43.1746491 56.2242165, 43.1747569 56.2240568, 43.1751897 56.2235568, 43.1753684 56.2233518)",,Кооперативная улица,
"[259244851, 259244869]",,residential,False,False,348.31100000000004,,"LINESTRING (43.1746491 56.2242165, 43.1754446 56.2243238, 43.1779049 56.2244673, 43.1780647 56.2242119, 43.1783804 56.2235656, 43.1787866 56.2235205, 43.1790043 56.2234687)",,"['Базарная улица', 'Советская улица']",
54226489,,residential,False,False,112.625,,"LINESTRING (43.1759096 56.2228551, 43.1769094 56.2220084)",,Кооперативная улица,
54226489,,residential,False,True,64.574,,"LINESTRING (43.1759096 56.2228551, 43.1753684 56.2233518)",,Кооперативная улица,
327830812,,residential,False,True,131.8,,"LINESTRING (43.1759096 56.2228551, 43.1779928 56.2231072)",,Первомайская улица,
119009370,,tertiary,False,False,233.057,,"LINESTRING (43.1781365 56.2268058, 43.1794817 56.2272224, 43.1809422 56.2277085, 43.181349 56.2278958)",,Полевая улица,
