osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,lanes,junction
196723714,03К-003,Рабочая улица,residential,False,False,89.064,"LINESTRING (39.5425573 44.4232862, 39.5429392 44.4225331)",,,
196723714,03К-003,Рабочая улица,residential,False,True,31.755,"LINESTRING (39.5425573 44.4232862, 39.5424299 44.4235569)",,,
31152258,,,unclassified,False,True,72.181,"LINESTRING (39.5424879 44.4247689, 39.5422752 44.4243407, 39.5420802 44.4242045)",,,
196723714,03К-003,Рабочая улица,residential,False,True,89.064,"LINESTRING (39.5429392 44.4225331, 39.5425573 44.4232862)",,,
196723714,03К-003,Рабочая улица,residential,False,False,31.755,"LINESTRING (39.5424299 44.4235569, 39.5425573 44.4232862)",,,
196723714,03К-003,Рабочая улица,residential,False,True,77.179,"LINESTRING (39.5424299 44.4235569, 39.5420802 44.4242045)",,,
31152211,,улица О.Кошевого,residential,False,True,331.865,"LINESTRING (39.5384218 44.4191146, 39.5384697 44.4193809, 39.5384834 44.4195438, 39.5384811 44.4196253, 39.5384495 44.419724, 39.5382808 44.4200419, 39.5377484 44.4206899, 39.5373658 44.4211071, 39.5372233 44.4212028, 39.5367038 44.4213949, 39.5364019 44.42145)",,,
"[278479532, 31152213]",,"['Советская улица', 'Береговая улица']",residential,False,"[False, True]",114.21100000000001,"LINESTRING (39.5384218 44.4191146, 39.5393101 44.419105, 39.5393948 44.4194929)",,,
31152213,,Советская улица,residential,False,True,78.217,"LINESTRING (39.5384218 44.4191146, 39.5376495 44.4191656, 39.5374539 44.4191125)",,,
31152194,,улица Ленина,residential,False,False,107.047,"LINESTRING (39.5364019 44.42145, 39.5364247 44.4212997, 39.5364896 44.4211372, 39.5366015 44.4209347, 39.5366318 44.4207583, 39.5366005 44.4205122)",,,
31152194,,улица Ленина,residential,False,True,37.722,"LINESTRING (39.5364019 44.42145, 39.5364062 44.4215855, 39.5364574 44.4217859)",,,
31152211,,улица О.Кошевого,residential,False,False,331.865,"LINESTRING (39.5364019 44.42145, 39.5367038 44.4213949, 39.5372233 44.4212028, 39.5373658 44.4211071, 39.5377484 44.4206899, 39.5382808 44.4200419, 39.5384495 44.419724, 39.5384811 44.4196253, 39.5384834 44.4195438, 39.5384697 44.4193809, 39.5384218 44.4191146)",,,
31152213,,Советская улица,residential,False,False,78.217,"LINESTRING (39.5374539 44.4191125, 39.5376495 44.4191656, 39.5384218 44.4191146)",,,
130895462,,Школьная улица,residential,False,True,171.87699999999998,"LINESTRING (39.5374539 44.4191125, 39.5373944 44.4192304, 39.5371484 44.4197808, 39.5369185 44.4202292, 39.5367681 44.4203952, 39.5366005 44.4205122)",,,
31152194,,улица Ленина,residential,False,True,107.047,"LINESTRING (39.5366005 44.4205122, 39.5366318 44.4207583, 39.5366015 44.4209347, 39.5364896 44.4211372, 39.5364247 44.4212997, 39.5364019 44.42145)",,,
130895462,,Школьная улица,residential,False,False,171.877,"LINESTRING (39.5366005 44.4205122, 39.5367681 44.4203952, 39.5369185 44.4202292, 39.5371484 44.4197808, 39.5373944 44.4192304, 39.5374539 44.4191125)",,,
31152170,,Профсоюзная улица,residential,False,True,360.94800000000004,"LINESTRING (39.5333457 44.419215, 39.5338667 44.4196473, 39.5342782 44.4203207, 39.5349157 44.4212185, 39.5354088 44.4216543, 39.5357122 44.4219591)",,,
"[1249433800, 1255032959]",,"['улица Карла Маркса', 'улица Кирова']",residential,False,True,180.61900000000003,"LINESTRING (39.5333457 44.419215, 39.5324846 44.4197264, 39.5324504 44.4198073, 39.5324825 44.4199275, 39.5325657 44.4200731, 39.5327602 44.4203116, 39.53284 44.4204869)",,,
1255032962,,улица О.Кошевого,residential,False,False,62.236,"LINESTRING (39.5357122 44.4219591, 39.5364574 44.4217859)",,,
1255032962,,улица О.Кошевого,residential,False,True,39.641,"LINESTRING (39.5357122 44.4219591, 39.5352586 44.4221079)",,,
31152170,,Профсоюзная улица,residential,False,False,360.94800000000004,"LINESTRING (39.5357122 44.4219591, 39.5354088 44.4216543, 39.5349157 44.4212185, 39.5342782 44.4203207, 39.5338667 44.4196473, 39.5333457 44.419215)",,,
31152186,,Хадажный переулок,residential,False,False,281.204,"LINESTRING (39.54136 44.4235648, 39.5412447 44.4234507, 39.5409689 44.4230903, 39.5397434 44.4219499, 39.5396198 44.421942, 39.5391605 44.4221155, 39.5390499 44.4221014)",,,
31152186,,Хадажный переулок,residential,False,True,101.974,"LINESTRING (39.54136 44.4235648, 39.5413073 44.4242082, 39.5414885 44.4244481)",,,
278479533,,Береговая улица,residential,False,False,259.504,"LINESTRING (39.54136 44.4235648, 39.5414064 44.4234274, 39.5414748 44.4230323, 39.5415082 44.4228159, 39.541518 44.4212393)",,,
131249824,03К-003,Рабочая улица,residential,False,False,63.528,"LINESTRING (39.5397015 44.4251086, 39.5404166 44.4248525)",,,
131249824,03К-003,Рабочая улица,residential,False,True,153.14100000000002,"LINESTRING (39.5397015 44.4251086, 39.5388062 44.42544, 39.5379894 44.4257424)",,,
278479533,,Береговая улица,residential,False,True,259.504,"LINESTRING (39.541518 44.4212393, 39.5415082 44.4228159, 39.5414748 44.4230323, 39.5414064 44.4234274, 39.54136 44.4235648)",,,
