osmid,name,highway,oneway,reversed,length,bridge,geometry,lanes
151940716,улица Баумана,tertiary,False,True,121.564,,"LINESTRING (46.0759705 52.1329186, 46.0759407 52.1340117)",
"[402768954, 151940716, 191449741, 191449742]","['улица Баумана', 'Почтовая улица']",tertiary,False,False,476.977,yes,"LINESTRING (46.0759705 52.1329186, 46.0761097 52.1324427, 46.0761403 52.1321408, 46.0761464 52.1320004, 46.0761696 52.131666, 46.0761528 52.1309868, 46.0761393 52.1307237, 46.0761341 52.1306228, 46.0761591 52.1304389, 46.0761781 52.1302999, 46.0762277 52.1301248, 46.0763579 52.1300933, 46.0785248 52.1305211)",
187805371,улица Мичурина,residential,False,True,188.50199999999998,,"LINESTRING (46.0759705 52.1329186, 46.0765163 52.132901, 46.076916 52.132919, 46.0771158 52.1329818, 46.0772377 52.1330297, 46.0772572 52.1330895, 46.0772279 52.1332421, 46.0772523 52.1334246, 46.0772621 52.1338136, 46.0772913 52.1339123)",1
"[143784760, 143784746, 118338235]","['улица Баумана', 'Советская улица']","['residential', 'unclassified']",False,"[False, True]",733.645,,"LINESTRING (46.077582 52.1266965, 46.0775749 52.127094, 46.0774697 52.1278214, 46.0774072 52.1282237, 46.0773334 52.1285208, 46.0772159 52.128816, 46.0762776 52.1288444, 46.0759906 52.1288635, 46.0747526 52.1288426, 46.0746777 52.1293907, 46.074621 52.12953, 46.0728141 52.1295192, 46.0727119 52.1295207, 46.0709504 52.1295462)",2
185568125,,tertiary,False,True,49.908,,"LINESTRING (46.077582 52.1266965, 46.0779315 52.1267525, 46.0783011 52.1267436)",
185142628,,tertiary,False,True,84.423,,"LINESTRING (46.0783011 52.1267436, 46.0783131 52.1275028)",
186651190,Первомайская улица,residential,False,True,82.131,,"LINESTRING (46.0783011 52.1267436, 46.0794746 52.1265807)",2
185568125,,tertiary,False,False,49.908,,"LINESTRING (46.0783011 52.1267436, 46.0779315 52.1267525, 46.077582 52.1266965)",
186651191,улица Пушкина,residential,False,False,98.581,,"LINESTRING (46.0698985 52.1273632, 46.0711593 52.1269309)",2
"[203982369, 143784742, 203982367]",3-й Советская переулок,residential,False,True,253.893,yes,"LINESTRING (46.0698985 52.1273632, 46.0701304 52.1278138, 46.0702202 52.1279418, 46.0703796 52.1281566, 46.0705485 52.1284421, 46.0707233 52.1288673, 46.0709504 52.1295462)",
118338235,Советская улица,unclassified,False,False,109.768,,"LINESTRING (46.0709504 52.1295462, 46.069344 52.1295914)",2
"[143784760, 143784746, 118338235]","['улица Баумана', 'Советская улица']","['unclassified', 'residential']",False,"[False, True]",733.645,,"LINESTRING (46.0709504 52.1295462, 46.0727119 52.1295207, 46.0728141 52.1295192, 46.074621 52.12953, 46.0746777 52.1293907, 46.0747526 52.1288426, 46.0759906 52.1288635, 46.0762776 52.1288444, 46.0772159 52.128816, 46.0773334 52.1285208, 46.0774072 52.1282237, 46.0774697 52.1278214, 46.0775749 52.127094, 46.077582 52.1266965)",2
"[203982369, 143784742, 203982367]",3-й Советская переулок,residential,False,False,253.89300000000003,yes,"LINESTRING (46.0709504 52.1295462, 46.0707233 52.1288673, 46.0705485 52.1284421, 46.0703796 52.1281566, 46.0702202 52.1279418, 46.0701304 52.1278138, 46.0698985 52.1273632)",
185142628,,tertiary,False,False,335.955,,"LINESTRING (46.0785248 52.1305211, 46.0783981 52.1289445, 46.0783184 52.1278406, 46.0783131 52.1275028)",
185142629,Почтовая улица,unclassified,False,False,84.382,,"LINESTRING (46.0785248 52.1305211, 46.0789903 52.1305484, 46.0793565 52.1305898, 46.079742 52.130646)",
"[402768954, 151940716, 191449741, 191449742]","['улица Баумана', 'Почтовая улица']",tertiary,False,True,476.977,yes,"LINESTRING (46.0785248 52.1305211, 46.0763579 52.1300933, 46.0762277 52.1301248, 46.0761781 52.1302999, 46.0761591 52.1304389, 46.0761341 52.1306228, 46.0761393 52.1307237, 46.0761528 52.1309868, 46.0761696 52.131666, 46.0761464 52.1320004, 46.0761403 52.1321408, 46.0761097 52.1324427, 46.0759705 52.1329186)",
151940716,улица Баумана,tertiary,False,False,121.564,,"LINESTRING (46.0759407 52.1340117, 46.0759705 52.1329186)",
143784738,Кирпичная улица,unclassified,False,True,320.412,,"LINESTRING (46.0759407 52.1340117, 46.0756816 52.1339971, 46.0749296 52.1339549, 46.0744054 52.1339204, 46.0741557 52.1338974, 46.073851 52.1338714, 46.0733132 52.1338131, 46.0727453 52.133725, 46.0713411 52.1334799)",
186651191,улица Пушкина,residential,False,True,101.435,,"LINESTRING (46.0737688 52.1260705, 46.072456 52.1264978)",2
186651191,улица Пушкина,residential,False,False,134.546,,"LINESTRING (46.0737688 52.1260705, 46.0754289 52.1255762, 46.0755453 52.1255468)",2
118338235,Советская улица,unclassified,False,True,109.768,,"LINESTRING (46.069344 52.1295914, 46.0709504 52.1295462)",2
727193552,4-й Советская переулок,residential,False,False,134.121,,"LINESTRING (46.069344 52.1295914, 46.0690802 52.1293817, 46.0690159 52.1292105, 46.0689676 52.1289404, 46.0688496 52.1286902, 46.0687637 52.1284629)",
143784738,Кирпичная улица,unclassified,False,False,104.45,,"LINESTRING (46.0698745 52.1332117, 46.0713411 52.1334799)",
143784738,Кирпичная улица,unclassified,False,True,104.45,,"LINESTRING (46.0713411 52.1334799, 46.0698745 52.1332117)",
143784738,Кирпичная улица,unclassified,False,False,320.41200000000003,,"LINESTRING (46.0713411 52.1334799, 46.0727453 52.133725, 46.0733132 52.1338131, 46.073851 52.1338714, 46.0741557 52.1338974, 46.0744054 52.1339204, 46.0749296 52.1339549, 46.0756816 52.1339971, 46.0759407 52.1340117)",
185142629,Почтовая улица,unclassified,False,False,94.178,,"LINESTRING (46.079742 52.130646, 46.0809128 52.130924, 46.081014 52.1309684)",
185142629,Почтовая улица,unclassified,False,True,84.382,,"LINESTRING (46.079742 52.130646, 46.0793565 52.1305898, 46.0789903 52.1305484, 46.0785248 52.1305211)",
202151572,улица Гоголя,residential,False,False,245.049,,"LINESTRING (46.079742 52.130646, 46.0797885 52.1304027, 46.0797728 52.1300197, 46.0797413 52.1295884, 46.0797308 52.1293116, 46.0796836 52.129022, 46.0797099 52.1286583, 46.0796957 52.1284465)",1
185142629,Почтовая улица,unclassified,False,False,62.361,,"LINESTRING (46.081014 52.1309684, 46.0818331 52.1312168)",
185142629,Почтовая улица,unclassified,False,True,94.178,,"LINESTRING (46.081014 52.1309684, 46.0809128 52.130924, 46.079742 52.130646)",
202151570,Пионерская улица,residential,False,False,282.045,,"LINESTRING (46.081014 52.1309684, 46.0810311 52.1307181, 46.0810154 52.1303062, 46.0809525 52.1298298, 46.0809645 52.1295822, 46.0809787 52.1294114, 46.0809262 52.1292408, 46.0808738 52.1289415, 46.0808476 52.12861, 46.0808333 52.1284395)",1
185142629,Почтовая улица,unclassified,False,True,62.361,,"LINESTRING (46.0818331 52.1312168, 46.081014 52.1309684)",
185142629,Почтовая улица,unclassified,False,False,74.935,,"LINESTRING (46.0818331 52.1312168, 46.0821222 52.131344, 46.0827534 52.1315836)",
202151571,Новая улица,residential,False,False,314.86699999999996,,"LINESTRING (46.0818331 52.1312168, 46.082022 52.1310722, 46.0820954 52.1308115, 46.0820535 52.1304188, 46.0820378 52.1298845, 46.082043 52.1295208, 46.0819644 52.129244, 46.0818071 52.1287838, 46.0817143 52.1284497)",1
185142629,Почтовая улица,unclassified,False,True,74.935,,"LINESTRING (46.0827534 52.1315836, 46.0821222 52.131344, 46.0818331 52.1312168)",
187805371,улица Мичурина,residential,False,False,188.502,,"LINESTRING (46.0772913 52.1339123, 46.0772621 52.1338136, 46.0772523 52.1334246, 46.0772279 52.1332421, 46.0772572 52.1330895, 46.0772377 52.1330297, 46.0771158 52.1329818, 46.076916 52.132919, 46.0765163 52.132901, 46.0759705 52.1329186)",1
186651190,Первомайская улица,residential,False,False,107.946,,"LINESTRING (46.0825727 52.1261647, 46.0810331 52.1263861)",2
202151587,,unclassified,False,True,92.34299999999999,,"LINESTRING (46.0825727 52.1261647, 46.08267 52.126474, 46.0828452 52.1269781)",
186651190,Первомайская улица,residential,False,False,108.569,,"LINESTRING (46.0810331 52.1263861, 46.0794746 52.1265807)",2
186651190,Первомайская улица,residential,False,True,107.946,,"LINESTRING (46.0810331 52.1263861, 46.0825727 52.1261647)",2
202151571,Новая улица,residential,False,True,98.90899999999999,,"LINESTRING (46.0810331 52.1263861, 46.0811097 52.1266015, 46.0811779 52.126991, 46.0812513 52.1272646)",1
186651190,Первомайская улица,residential,False,False,82.131,,"LINESTRING (46.0794746 52.1265807, 46.0783011 52.1267436)",2
186651190,Первомайская улица,residential,False,True,108.569,,"LINESTRING (46.0794746 52.1265807, 46.0810331 52.1263861)",2
202151572,улица Гоголя,residential,False,True,100.85,,"LINESTRING (46.0794746 52.1265807, 46.0795054 52.1266948, 46.079563 52.1270553, 46.0795998 52.1273225, 46.079605 52.1274834)",1
202151574,Комсомольская улица,residential,False,True,113.843,,"LINESTRING (46.0828452 52.1269781, 46.0824729 52.1270521, 46.0815135 52.1271841, 46.0812513 52.1272646)",1
202151587,,unclassified,False,False,92.34299999999999,,"LINESTRING (46.0828452 52.1269781, 46.08267 52.126474, 46.0825727 52.1261647)",
202151574,Комсомольская улица,residential,False,True,35.204,,"LINESTRING (46.0812513 52.1272646, 46.0807585 52.1273579)",1
202151571,Новая улица,residential,False,False,98.90899999999999,,"LINESTRING (46.0812513 52.1272646, 46.0811779 52.126991, 46.0811097 52.1266015, 46.0810331 52.1263861)",1
202151571,Новая улица,residential,False,True,135.522,,"LINESTRING (46.0812513 52.1272646, 46.0814086 52.1276411, 46.0815502 52.1280177, 46.0817143 52.1284497)",1
202151574,Комсомольская улица,residential,False,False,113.843,,"LINESTRING (46.0812513 52.1272646, 46.0815135 52.1271841, 46.0824729 52.1270521, 46.0828452 52.1269781)",1
202151574,Комсомольская улица,residential,False,False,35.204,,"LINESTRING (46.0807585 52.1273579, 46.0812513 52.1272646)",1
202151570,Пионерская улица,residential,False,True,120.42999999999999,,"LINESTRING (46.0807585 52.1273579, 46.0807742 52.1277023, 46.0808004 52.1281014, 46.0808161 52.1283718, 46.0808333 52.1284395)",1
202151574,Комсомольская улица,residential,False,True,80.084,,"LINESTRING (46.0807585 52.1273579, 46.0801083 52.127448, 46.079605 52.1274834)",1
202151572,улица Гоголя,residential,False,False,100.85000000000001,,"LINESTRING (46.079605 52.1274834, 46.0795998 52.1273225, 46.079563 52.1270553, 46.0795054 52.1266948, 46.0794746 52.1265807)",1
202151572,улица Гоголя,residential,False,True,107.988,,"LINESTRING (46.079605 52.1274834, 46.0796102 52.1276411, 46.0795683 52.127992, 46.079605 52.1281787, 46.0796957 52.1284465)",1
202151574,Комсомольская улица,residential,False,False,80.084,,"LINESTRING (46.079605 52.1274834, 46.0801083 52.127448, 46.0807585 52.1273579)",1
202151574,Комсомольская улица,residential,False,True,88.355,,"LINESTRING (46.079605 52.1274834, 46.0795211 52.1274931, 46.0791279 52.1274834, 46.0786875 52.1274931, 46.0783131 52.1275028)",1
185142628,,tertiary,False,False,84.423,,"LINESTRING (46.0783131 52.1275028, 46.0783011 52.1267436)",
185142628,,tertiary,False,True,335.95500000000004,,"LINESTRING (46.0783131 52.1275028, 46.0783184 52.1278406, 46.0783981 52.1289445, 46.0785248 52.1305211)",
202151574,Комсомольская улица,residential,False,False,88.355,,"LINESTRING (46.0783131 52.1275028, 46.0786875 52.1274931, 46.0791279 52.1274834, 46.0795211 52.1274931, 46.079605 52.1274834)",1
