osmid,lanes,name,highway,oneway,reversed,length,geometry,ref,maxspeed,junction,access
73008454,2,улица 30 лет ВЛКСМ,residential,False,False,66.463,"LINESTRING (59.6023806 56.0535139, 59.6025469 56.0534168, 59.602678 56.0532997, 59.602794 56.0531589, 59.6028856 56.0529965)",,,,
294891844,2,улица Свердлова,primary,False,False,165.494,"LINESTRING (59.6023806 56.0535139, 59.6022596 56.0534997, 59.601866 56.0534533, 59.6007488 56.0534182, 59.6005244 56.0534112, 59.599902 56.0534246, 59.5997294 56.0534283)",75К-011,60,,
"[294891846, 294891847]",2,улица Свердлова,primary,False,True,262.925,"LINESTRING (59.6023806 56.0535139, 59.6025508 56.0535714, 59.6027039 56.0536523, 59.6030481 56.0538799, 59.6039178 56.0544846, 59.6050574 56.0552989, 59.6050846 56.0553234)",75К-011,"['20', '40']",,
34403504,,,secondary,True,False,50.779,"LINESTRING (59.5938244 56.0542696, 59.5931937 56.0545603)",75К-011,30,,
73008471,,,primary,True,False,33.238,"LINESTRING (59.5938244 56.0542696, 59.5937504 56.0542973, 59.5936648 56.0543113, 59.5935756 56.0543102, 59.5934911 56.0542941, 59.5934194 56.0542645, 59.593367 56.0542241)",75К-011,,roundabout,
207946613,,,secondary,True,False,39.638,"LINESTRING (59.5931937 56.0545603, 59.5932846 56.0544545, 59.5933417 56.0543809, 59.5933641 56.054335, 59.5933744 56.0542716, 59.593367 56.0542241)",75К-011,30,,
73008454,2,улица 30 лет ВЛКСМ,residential,False,False,142.63,"LINESTRING (59.6028931 56.0525676, 59.6028876 56.0512849)",,,,
73008454,2,улица 30 лет ВЛКСМ,residential,False,True,47.694,"LINESTRING (59.6028931 56.0525676, 59.6028856 56.0529965)",,,,
82437998,,улица Коминтерна,residential,False,True,209.049,"LINESTRING (59.6028931 56.0525676, 59.60229 56.0525334, 59.602139 56.0525248, 59.6015439 56.0524239, 59.6011281 56.0523534, 59.6007405 56.0522877, 59.6006764 56.0522835, 59.6002932 56.0522582, 59.6001875 56.0522956, 59.5996176 56.0523198)",,,,
73008454,2,улица 30 лет ВЛКСМ,residential,False,True,142.63,"LINESTRING (59.6028876 56.0512849, 59.6028931 56.0525676)",,,,
82438034,,улица Калинина,residential,True,False,209.64100000000002,"LINESTRING (59.6028876 56.0512849, 59.6020708 56.0512641, 59.6009321 56.051336, 59.600304 56.0513237, 59.5997528 56.0513176, 59.5996804 56.0513016, 59.599576 56.0512378)",,,,
48517441,,улица Щербакова,residential,True,False,90.80799999999999,"LINESTRING (59.6011132 56.0539092, 59.6015542 56.0538142, 59.6020246 56.0536694, 59.6021957 56.0535865, 59.6022758 56.0535571, 59.6023806 56.0535139)",,,,
