osmid,ref,name,highway,oneway,reversed,length,lanes,bridge,geometry
"[422884681, 78231433, 422884682, 62104177, 744138995, 35895092, 744138996]",46К-8061,"['Первомайская улица', 'Заречная улица']",secondary,False,True,774.7409999999999,"['1', '2']",yes,"LINESTRING (37.9141 55.9739501, 37.9149638 55.9735828, 37.9150775 55.9735345, 37.915191 55.9734862, 37.9153348 55.973408, 37.9154797 55.9733099, 37.9155857 55.9731796, 37.9159179 55.9726747, 37.9162618 55.9721552, 37.916394 55.9720497, 37.9164795 55.9720157, 37.9167241 55.9719319, 37.9169152 55.9718678, 37.9171655 55.9718257, 37.9176411 55.9717501, 37.9181448 55.9717416, 37.9184691 55.9717864, 37.9191164 55.9718845, 37.9194752 55.9719146, 37.920516 55.9719525, 37.9222464 55.9719391, 37.9231223 55.9719102, 37.923278 55.971902, 37.9234162 55.9718915, 37.9235489 55.9718795, 37.9236797 55.9718628, 37.9239456 55.9718244, 37.9242016 55.9717838, 37.9244094 55.9717483)"
23893317,46Н-02787,улица Новая Слобода,secondary,False,False,16.563,2,,"LINESTRING (37.9244094 55.9717483, 37.9241496 55.9717159)"
"[422884681, 422884682, 78231433, 62104177, 744138995, 744138996, 35895092]",46К-8061,"['Первомайская улица', 'Заречная улица']",secondary,False,False,774.7409999999999,"['1', '2']",yes,"LINESTRING (37.9244094 55.9717483, 37.9242016 55.9717838, 37.9239456 55.9718244, 37.9236797 55.9718628, 37.9235489 55.9718795, 37.9234162 55.9718915, 37.923278 55.971902, 37.9231223 55.9719102, 37.9222464 55.9719391, 37.920516 55.9719525, 37.9194752 55.9719146, 37.9191164 55.9718845, 37.9184691 55.9717864, 37.9181448 55.9717416, 37.9176411 55.9717501, 37.9171655 55.9718257, 37.9169152 55.9718678, 37.9167241 55.9719319, 37.9164795 55.9720157, 37.916394 55.9720497, 37.9162618 55.9721552, 37.9159179 55.9726747, 37.9155857 55.9731796, 37.9154797 55.9733099, 37.9153348 55.973408, 37.915191 55.9734862, 37.9150775 55.9735345, 37.9149638 55.9735828, 37.9141 55.9739501)"
"[23893317, 35895094, 35895095, 422884923, 422884924]",46Н-02787,улица Новая Слобода,secondary,False,True,831.984,"['1', '2']",yes,"LINESTRING (37.9123436 55.9682238, 37.912467 55.9682628, 37.9125872 55.9683022, 37.9132623 55.9685239, 37.9133326 55.9685481, 37.913657 55.9686547, 37.913902 55.9687343, 37.913969 55.9687546, 37.9147971 55.969019, 37.9170563 55.9697367, 37.9173238 55.9698208, 37.9174479 55.9698632, 37.917694 55.9699415, 37.9184753 55.970195, 37.9187014 55.9702751, 37.9194427 55.9705072, 37.9204533 55.9707881, 37.9216764 55.9711086, 37.922924 55.971431, 37.9231884 55.9714981, 37.9232459 55.9715137, 37.9233691 55.9715462, 37.9236653 55.9716175, 37.923907 55.9716706, 37.9241496 55.9717159)"
23893317,46Н-02787,улица Новая Слобода,secondary,False,True,16.563,2,,"LINESTRING (37.9241496 55.9717159, 37.9244094 55.9717483)"
"[23893317, 35895094, 35895095, 422884923, 422884924]",46Н-02787,улица Новая Слобода,secondary,False,False,831.9839999999998,"['1', '2']",yes,"LINESTRING (37.9241496 55.9717159, 37.923907 55.9716706, 37.9236653 55.9716175, 37.9233691 55.9715462, 37.9232459 55.9715137, 37.9231884 55.9714981, 37.922924 55.971431, 37.9216764 55.9711086, 37.9204533 55.9707881, 37.9194427 55.9705072, 37.9187014 55.9702751, 37.9184753 55.970195, 37.917694 55.9699415, 37.9174479 55.9698632, 37.9173238 55.9698208, 37.9170563 55.9697367, 37.9147971 55.969019, 37.913969 55.9687546, 37.913902 55.9687343, 37.913657 55.9686547, 37.9133326 55.9685481, 37.9132623 55.9685239, 37.9125872 55.9683022, 37.912467 55.9682628, 37.9123436 55.9682238)"
