osmid,lanes,highway,oneway,reversed,length,name,geometry,maxspeed,bridge
160110614,1,residential,False,True,60.76,,"LINESTRING (86.8002874 55.0031858, 86.7994842 55.0034797)",,
226827343,1,secondary,False,True,47.214,Советская улица,"LINESTRING (86.8002874 55.0031858, 86.799555 55.0031238)",,
226827343,1,secondary,False,False,41.76,Советская улица,"LINESTRING (86.8002874 55.0031858, 86.8006879 55.0032149, 86.800939 55.0032149)",,
160110614,1,residential,False,False,27.013,,"LINESTRING (86.7981309 55.0041136, 86.7984328 55.0039432)",,
190026127,,residential,False,False,63.714000000000006,улица Кирова,"LINESTRING (86.7981309 55.0041136, 86.7985036 55.0042145, 86.7989781 55.0043431, 86.7990329 55.0043599)",,
190028572,,residential,False,False,64.524,Кооперативная улица,"LINESTRING (86.8018346 55.0002997, 86.8025356 55.0007181)",,
190028572,,residential,False,True,174.59300000000002,Кооперативная улица,"LINESTRING (86.8018346 55.0002997, 86.8006405 55.0001311, 86.7995121 55.0000596, 86.7991521 55.0000048)",,
205871812,,residential,False,True,84.645,,"LINESTRING (86.8018346 55.0002997, 86.8018816 55.0001702, 86.8015704 54.9995671)",,
190028572,,residential,False,True,257.65,Кооперативная улица,"LINESTRING (86.8060552 55.0023845, 86.805418 55.0022442, 86.8048764 55.0020887, 86.8046219 55.0020156, 86.803387 55.0012264, 86.8029587 55.0009707)",,
226827343,1,secondary,False,True,26.830000000000002,Советская улица,"LINESTRING (86.8060552 55.0023845, 86.8058472 55.0024447, 86.8057113 55.0024841, 86.8056796 55.0024932)",,
226827346,2,residential,False,False,159.049,Школьная улица,"LINESTRING (86.8060552 55.0023845, 86.8065269 55.0025559, 86.807916 55.0030606, 86.8081546 55.0031563)",40,
551546794,1,secondary,False,False,241.16500000000002,Советская улица,"LINESTRING (86.8060552 55.0023845, 86.8073262 55.0020165, 86.8080586 55.0018044, 86.8094309 55.0014071)",,
