osmid,oneway,name,highway,maxspeed,access,width,reversed,length,geometry
108518945,False,Юбилейная улица,tertiary,60,yes,5,False,226.75300000000001,"LINESTRING (61.6823473 57.0910263, 61.6824501 57.0908252, 61.6824609 57.0898332, 61.6824965 57.0891822, 61.682502 57.088995)"
108731061,False,улица Гагарина,tertiary,60,,,False,175.12599999999998,"LINESTRING (61.6823473 57.0910263, 61.6821326 57.0909792, 61.6820788 57.0909674, 61.6817872 57.0909014, 61.6812806 57.0908526, 61.6802204 57.0907791, 61.6799151 57.0907737, 61.6796301 57.0907727, 61.6795105 57.0907728)"
58494832,False,Молодёжная улица,tertiary,60,,,True,322.61,"LINESTRING (61.6744386 57.0913047, 61.6735141 57.0906436, 61.6729304 57.0902318, 61.6727594 57.090104, 61.6726493 57.0900252, 61.6712081 57.0889946)"
108731061,False,улица Гагарина,tertiary,60,,,False,101.221,"LINESTRING (61.6744386 57.0913047, 61.6736969 57.091509, 61.6733657 57.0916165, 61.6730781 57.0917199, 61.6729852 57.0917551)"
108731061,False,улица Гагарина,tertiary,60,,,True,313.785,"LINESTRING (61.6744386 57.0913047, 61.674575 57.0912754, 61.6755759 57.0910955, 61.6761119 57.0910148, 61.6769315 57.0909164, 61.6777886 57.0908324, 61.6784746 57.0907928, 61.6785456 57.0907892, 61.6786046 57.0907877, 61.6795105 57.0907728)"
58498583,False,улица Гагарина,secondary,40,,,True,49.198,"LINESTRING (61.6729852 57.0917551, 61.6724597 57.0914171)"
108731061,False,улица Гагарина,tertiary,60,,,True,101.221,"LINESTRING (61.6729852 57.0917551, 61.6730781 57.0917199, 61.6733657 57.0916165, 61.6736969 57.091509, 61.6744386 57.0913047)"
"[163198050, 109212931]",False,,unclassified,,,,"[False, True]",436.2289999999999,"LINESTRING (61.6729852 57.0917551, 61.6726173 57.0919309, 61.6725598 57.0920163, 61.6724877 57.0921234, 61.6724042 57.092327, 61.6723728 57.0925433, 61.6723315 57.0927966, 61.6722994 57.0929933, 61.6722639 57.0931938, 61.6722289 57.0933913, 61.6722172 57.0934575, 61.6721556 57.0936817, 61.6720504 57.0939138, 61.6720175 57.0941727, 61.6719627 57.0946032, 61.6719449 57.0947425, 61.6712863 57.0949474, 61.6709257 57.0949616, 61.6705527 57.0949761)"
362798296,False,улица Гагарина,secondary,40,,,False,522.155,"LINESTRING (61.6729852 57.0917551, 61.673675 57.0923013, 61.6756218 57.0936023, 61.6783584 57.095431)"
58494832,False,Молодёжная улица,tertiary,60,,,False,322.61,"LINESTRING (61.6712081 57.0889946, 61.6726493 57.0900252, 61.6727594 57.090104, 61.6729304 57.0902318, 61.6735141 57.0906436, 61.6744386 57.0913047)"
