osmid,lanes,ref,highway,oneway,reversed,length,geometry,maxspeed,name
152677106,2,46К-0520,tertiary,False,False,126.177,"LINESTRING (37.2352072 56.0358164, 37.2349311 56.0363279, 37.2348983 56.0363887, 37.2348347 56.0365018, 37.2346383 56.0367875, 37.2345364 56.0368844)",,
"[135156120, 196693253]",2,46К-0520,tertiary,False,True,593.803,"LINESTRING (37.2352072 56.0358164, 37.2359216 56.0359193, 37.2359974 56.0359534, 37.2361774 56.0360343, 37.2362003 56.0360483, 37.2363252 56.0361245, 37.2366003 56.0362677, 37.2367877 56.0363458, 37.2369906 56.0363973, 37.2377025 56.0364784, 37.238172 56.0365498, 37.2387881 56.0366763, 37.239166 56.0367886, 37.2393527 56.0369052, 37.2398593 56.0373679, 37.2404326 56.0381847, 37.2405236 56.0383926, 37.2405891 56.0386665, 37.2406098 56.0390232, 37.2406155 56.0390618, 37.2405761 56.0394726)",,
40483376,,,residential,False,False,127.198,"LINESTRING (37.2342685 56.0370336, 37.2343399 56.0373303, 37.2343219 56.0374519, 37.2343735 56.0375898, 37.2343411 56.0377324, 37.2343308 56.0378291, 37.234472 56.0380071, 37.2345744 56.0381418)",,
152677106,2,46К-0520,tertiary,False,False,73.15500000000002,"LINESTRING (37.2342685 56.0370336, 37.2341799 56.0370605, 37.2340403 56.037092, 37.2337478 56.0371395, 37.2336121 56.0371591, 37.2334194 56.0371791, 37.2332474 56.0371785, 37.2331343 56.0371734)",,
152677106,2,46К-0520,tertiary,False,True,23.741999999999997,"LINESTRING (37.2342685 56.0370336, 37.2343912 56.0369839, 37.2344999 56.0369174, 37.2345364 56.0368844)",,
40483378,,,residential,False,True,15.076,"LINESTRING (37.2345744 56.0381418, 37.2343486 56.0381915)",,
40483376,,,residential,False,True,127.198,"LINESTRING (37.2345744 56.0381418, 37.234472 56.0380071, 37.2343308 56.0378291, 37.2343411 56.0377324, 37.2343735 56.0375898, 37.2343219 56.0374519, 37.2343399 56.0373303, 37.2342685 56.0370336)",,
"[40483378, 185486386]",,,residential,False,False,170.714,"LINESTRING (37.2345744 56.0381418, 37.2350379 56.0380763, 37.2350502 56.0374772, 37.2350234 56.0373488, 37.2348711 56.0371645, 37.234583 56.0369234, 37.2345364 56.0368844)",,
152677106,2,46К-0520,tertiary,False,False,23.741999999999997,"LINESTRING (37.2345364 56.0368844, 37.2344999 56.0369174, 37.2343912 56.0369839, 37.2342685 56.0370336)",,
152677106,2,46К-0520,tertiary,False,True,126.17699999999999,"LINESTRING (37.2345364 56.0368844, 37.2346383 56.0367875, 37.2348347 56.0365018, 37.2348983 56.0363887, 37.2349311 56.0363279, 37.2352072 56.0358164)",,
