osmid,oneway,lanes,highway,junction,reversed,length,geometry,name,maxspeed
44213924,True,1,tertiary,roundabout,False,59.423,"LINESTRING (44.1963537 56.1462493, 44.1963359 56.146154, 44.1963723 56.1460704, 44.1964612 56.1460043, 44.1966226 56.1459571, 44.1967648 56.1459533, 44.1969147 56.1459844)",,
44213907,True,2,tertiary,,False,71.133,"LINESTRING (44.1970799 56.1461195, 44.1974761 56.1464853, 44.1976618 56.1466709)",,
955867113,True,1,tertiary,roundabout,False,50.114000000000004,"LINESTRING (44.1970799 56.1461195, 44.1970697 56.1462235, 44.1969945 56.1462981, 44.1968676 56.1463508, 44.1967373 56.1463693, 44.1965617 56.1463659)",,
44213916,True,2,tertiary,,False,72.216,"LINESTRING (44.1985806 56.1474531, 44.1977485 56.1469982)",,
"[85277995, 955867109]",False,4,tertiary,,True,293.955,"LINESTRING (44.1985806 56.1474531, 44.1986269 56.1474772, 44.1987254 56.1475284, 44.1997852 56.1480883, 44.200866 56.1486402, 44.2019355 56.1491956, 44.2020515 56.1492559)",улица 40 лет Октября,
117592942,True,,tertiary,,False,5.785,"LINESTRING (44.1977485 56.1469982, 44.1976809 56.1469623)",,
955867115,True,2,tertiary,roundabout,False,6.892,"LINESTRING (44.1969147 56.1459844, 44.1969983 56.1460253)",,
955867114,True,2,tertiary,roundabout,False,9.375,"LINESTRING (44.1965617 56.1463659, 44.1964907 56.1463442, 44.1964327 56.146322)",,
85277978,False,,residential,,False,319.169,"LINESTRING (44.2020515 56.1492559, 44.20219 56.1491759, 44.2024332 56.1490354, 44.2033054 56.1485295, 44.2036021 56.1483599, 44.2045538 56.14781, 44.2047973 56.1477889, 44.2050868 56.1477598, 44.2054998 56.1477208, 44.205915 56.1476817, 44.2060797 56.147667)",Театральная улица,
"[85277995, 955867109]",False,4,tertiary,,False,293.95500000000004,"LINESTRING (44.2020515 56.1492559, 44.2019355 56.1491956, 44.200866 56.1486402, 44.1997852 56.1480883, 44.1987254 56.1475284, 44.1986269 56.1474772, 44.1985806 56.1474531)",улица 40 лет Октября,
85277995,False,4,tertiary,,True,200.058,"LINESTRING (44.2020515 56.1492559, 44.2021209 56.1492926, 44.2024864 56.1494862, 44.2030431 56.1497811, 44.2033526 56.149945, 44.2042607 56.1504259, 44.2043449 56.1504705, 44.2043923 56.1504956)",улица 40 лет Октября,
388524902,False,2,residential,,True,307.306,"LINESTRING (44.2020515 56.1492559, 44.2018942 56.1493442, 44.2016536 56.1494793, 44.2012952 56.1496805, 44.2009094 56.1498971, 44.2002934 56.150243, 44.1993225 56.1507882, 44.1992195 56.150846, 44.1986638 56.151158, 44.1985572 56.1512179)",Театральная улица,40
