osmid,name,highway,oneway,reversed,length,maxspeed,width,geometry
226112649,улица Тарараева,residential,False,True,153.554,,,"LINESTRING (57.8579968 58.562745, 57.8571133 58.5640468)"
42839421,улица Ленина,tertiary,False,True,136.346,RU:urban,8,"LINESTRING (57.8520778 58.5631575, 57.8520237 58.5632403, 57.8513192 58.5643181)"
226112671,Школьная улица,residential,False,True,308.319,,,"LINESTRING (57.8520778 58.5631575, 57.8532734 58.5633726, 57.8571133 58.5640468)"
226112649,улица Тарараева,residential,False,False,153.554,,,"LINESTRING (57.8571133 58.5640468, 57.8579968 58.562745)"
226112671,Школьная улица,residential,False,True,25.235,,,"LINESTRING (57.8571133 58.5640468, 57.8573758 58.5642278)"
226112671,Школьная улица,residential,False,False,308.319,,,"LINESTRING (57.8571133 58.5640468, 57.8532734 58.5633726, 57.8520778 58.5631575)"
226112671,Школьная улица,residential,False,False,25.235,,,"LINESTRING (57.8573758 58.5642278, 57.8571133 58.5640468)"
"[226112656, 428860067, 226112630]","['Первомайская улица', 'улица Толстого']",residential,False,False,479.86199999999997,,,"LINESTRING (57.8573758 58.5642278, 57.8584609 58.5639952, 57.8586138 58.5638806, 57.859107 58.5629767, 57.8601918 58.5631038, 57.8601644 58.5632394, 57.8589788 58.5650444)"
226112671,Школьная улица,residential,False,True,62.803000000000004,,,"LINESTRING (57.8573758 58.5642278, 57.8575068 58.5643478, 57.8575557 58.5645904, 57.8575179 58.5647721)"
42839421,улица Ленина,tertiary,False,False,136.346,RU:urban,8,"LINESTRING (57.8513192 58.5643181, 57.8520237 58.5632403, 57.8520778 58.5631575)"
42839421,улица Ленина,tertiary,False,True,265.653,RU:urban,8,"LINESTRING (57.8513192 58.5643181, 57.8505425 58.565511, 57.8502788 58.5659349, 57.8501611 58.5661119, 57.8498494 58.5665808)"
226112671,Школьная улица,residential,False,False,308.668,,,"LINESTRING (57.8513192 58.5643181, 57.8515677 58.5643624, 57.8533477 58.5646794, 57.8563584 58.5652118)"
226112495,,residential,False,False,89.968,,,"LINESTRING (57.8575179 58.5647721, 57.8589788 58.5650444)"
226112671,Школьная улица,residential,False,False,62.803,,,"LINESTRING (57.8575179 58.5647721, 57.8575557 58.5645904, 57.8575068 58.5643478, 57.8573758 58.5642278)"
226112671,Школьная улица,residential,False,True,58.085,,,"LINESTRING (57.8575179 58.5647721, 57.8573364 58.5649543, 57.857219 58.5650222, 57.8571276 58.5650623, 57.856858 58.5651454)"
226112495,,residential,False,True,89.968,,,"LINESTRING (57.8589788 58.5650444, 57.8575179 58.5647721)"
226112630,Первомайская улица,residential,False,False,210.718,,,"LINESTRING (57.8589788 58.5650444, 57.8577635 58.5668303)"
"[226112656, 428860067, 226112630]","['Первомайская улица', 'улица Толстого']",residential,False,True,479.86199999999997,,,"LINESTRING (57.8589788 58.5650444, 57.8601644 58.5632394, 57.8601918 58.5631038, 57.859107 58.5629767, 57.8586138 58.5638806, 57.8584609 58.5639952, 57.8573758 58.5642278)"
226112671,Школьная улица,residential,False,True,29.898,,,"LINESTRING (57.856858 58.5651454, 57.8563584 58.5652118)"
226112655,улица Толстого,residential,False,False,172.33999999999997,,,"LINESTRING (57.856858 58.5651454, 57.8569777 58.5653145, 57.8571797 58.565977, 57.8567137 58.5666322)"
226112671,Школьная улица,residential,False,False,58.08500000000001,,,"LINESTRING (57.856858 58.5651454, 57.8571276 58.5650623, 57.857219 58.5650222, 57.8573364 58.5649543, 57.8575179 58.5647721)"
226112651,улица Тарараева,residential,False,False,133.284,,,"LINESTRING (57.8563584 58.5652118, 57.8556054 58.5663443)"
226112671,Школьная улица,residential,False,False,29.898,,,"LINESTRING (57.8563584 58.5652118, 57.856858 58.5651454)"
226112671,Школьная улица,residential,False,True,308.668,,,"LINESTRING (57.8563584 58.5652118, 57.8533477 58.5646794, 57.8515677 58.5643624, 57.8513192 58.5643181)"
226112651,улица Тарараева,residential,False,False,126.007,,,"LINESTRING (57.8556054 58.5663443, 57.8547437 58.5673846)"
226112651,улица Тарараева,residential,False,True,133.284,,,"LINESTRING (57.8556054 58.5663443, 57.8563584 58.5652118)"
"[226112608, 226112611]","['Восточная улица', 'улица 8 Марта']",residential,False,"[False, True]",316.88300000000004,,,"LINESTRING (57.8556054 58.5663443, 57.8540105 58.565909, 57.8530452 58.5656969, 57.8529097 58.5657386, 57.8528358 58.565839, 57.8521507 58.5669585)"
226112608,улица 8 Марта,residential,False,True,71.975,,,"LINESTRING (57.8556054 58.5663443, 57.8560334 58.5664801, 57.8567137 58.5666322)"
42839421,улица Ленина,tertiary,False,True,123.075,RU:urban,8,"LINESTRING (57.8498494 58.5665808, 57.8492284 58.5676392)"
42839421,улица Ленина,tertiary,False,False,265.653,RU:urban,8,"LINESTRING (57.8498494 58.5665808, 57.8501611 58.5661119, 57.8502788 58.5659349, 57.8505425 58.565511, 57.8513192 58.5643181)"
226112607,улица 40 лет Октября,residential,False,False,139.903,,,"LINESTRING (57.8498494 58.5665808, 57.8500939 58.5666214, 57.8521507 58.5669585)"
226112608,улица 8 Марта,residential,False,True,64.739,,,"LINESTRING (57.8567137 58.5666322, 57.8577635 58.5668303)"
226112608,улица 8 Марта,residential,False,False,71.975,,,"LINESTRING (57.8567137 58.5666322, 57.8560334 58.5664801, 57.8556054 58.5663443)"
226112655,улица Толстого,residential,False,True,172.34,,,"LINESTRING (57.8567137 58.5666322, 57.8571797 58.565977, 57.8569777 58.5653145, 57.856858 58.5651454)"
226112608,улица 8 Марта,residential,False,False,64.739,,,"LINESTRING (57.8577635 58.5668303, 57.8567137 58.5666322)"
