osmid,oneway,lanes,highway,reversed,length,geometry,ref,maxspeed,name,bridge
41792277,True,2,tertiary_link,False,111.132,"LINESTRING (20.9737085 54.6713562, 20.9729081 54.6706548, 20.9727395 54.6705291)",,,,
41792369,False,2,tertiary,False,133.613,"LINESTRING (20.9737085 54.6713562, 20.9735985 54.6711643, 20.9735831 54.6709685, 20.973654 54.6706874, 20.9737815 54.6703899, 20.9738701 54.6701833)",27К-202,70,,
41792369,False,2,tertiary,True,133.613,"LINESTRING (20.9738701 54.6701833, 20.9737815 54.6703899, 20.973654 54.6706874, 20.9735831 54.6709685, 20.9735985 54.6711643, 20.9737085 54.6713562)",27К-202,70,,
119311520,False,2,secondary,False,142.171,"LINESTRING (20.9738701 54.6701833, 20.9741366 54.6695012, 20.974345 54.6689346)",27К-202,70,,
977008884,True,2,secondary_link,False,90.113,"LINESTRING (20.9738701 54.6701833, 20.9737495 54.670317, 20.9735771 54.6704246, 20.9733823 54.6704958, 20.9731479 54.6705418, 20.9727395 54.6705291)",27К-047,,,
119311520,False,2,secondary,True,142.171,"LINESTRING (20.974345 54.6689346, 20.9741366 54.6695012, 20.9738701 54.6701833)",27К-202,70,,
322293208,False,2,tertiary,True,81.533,"LINESTRING (20.974345 54.6689346, 20.9742169 54.6688676, 20.9738973 54.6687005, 20.9734947 54.6685272, 20.9733644 54.6684711)",27К-202,,Калининградская улица,
"[119311532, 41792269]",True,2,trunk,False,674.49,"LINESTRING (20.9641141 54.6706127, 20.9655941 54.6705537, 20.9660259 54.670532, 20.9663961 54.6705103, 20.9667351 54.6704901, 20.9670505 54.6704669, 20.9673362 54.6704467, 20.9679209 54.670389, 20.9699045 54.6701763, 20.9735384 54.6697798, 20.9744667 54.6696769)",А-229,RU:rural,,yes
"[1110426694, 321899378, 322293205, 322293206, 41792057]",True,"['1', '2']",secondary_link,False,650.13,"LINESTRING (20.9641141 54.6706127, 20.9660581 54.6704653, 20.9669988 54.6703413, 20.9676996 54.6702311, 20.9683216 54.6701029, 20.969296 54.6698787, 20.9701079 54.6696461, 20.9705791 54.6695112, 20.9711221 54.6693324, 20.9714266 54.6692322, 20.9717441 54.6691133, 20.9719885 54.6690218, 20.9733644 54.6684711)",27К-047,,,
"[278527563, 83273260]",False,2,"['residential', 'tertiary']",True,915.0469999999999,"LINESTRING (20.9733644 54.6684711, 20.9731933 54.6684053, 20.971771 54.6678583, 20.9713215 54.6677095, 20.9711098 54.6676527, 20.9707966 54.667625, 20.9705246 54.6676719, 20.9701436 54.6677377, 20.9700695 54.6677519, 20.9696784 54.6678188, 20.9695024 54.6678489, 20.9676156 54.6681539, 20.9656385 54.6684548, 20.9654062 54.668505, 20.9652472 54.6685831, 20.9648943 54.668735, 20.964218 54.6691173, 20.9641011 54.6691699, 20.9639238 54.6692151, 20.9636902 54.6692598, 20.9631727 54.6693051, 20.9628925 54.6693278, 20.9626078 54.6693556, 20.9620858 54.6694068, 20.9615516 54.669492, 20.9610008 54.6695859, 20.9602968 54.6696417)",27К-202,,Калининградская улица,
322293208,False,2,tertiary,False,81.533,"LINESTRING (20.9733644 54.6684711, 20.9734947 54.6685272, 20.9738973 54.6687005, 20.9742169 54.6688676, 20.974345 54.6689346)",27К-202,,Калининградская улица,
41792059,True,2,secondary_link,False,241.55300000000003,"LINESTRING (20.9727395 54.6705291, 20.9724078 54.6704581, 20.9719954 54.6703891, 20.9713388 54.6703145, 20.970846 54.6702993, 20.9704604 54.6703186, 20.9690461 54.6704137)",27К-047,,,
"[41792275, 41792276]",True,2,trunk,False,355.995,"LINESTRING (20.9744774 54.6697932, 20.9735668 54.6698964, 20.9690461 54.6704137)",А-229,RU:rural,,yes
"[278527563, 83273260]",False,2,"['residential', 'tertiary']",False,915.0469999999999,"LINESTRING (20.9602968 54.6696417, 20.9610008 54.6695859, 20.9615516 54.669492, 20.9620858 54.6694068, 20.9626078 54.6693556, 20.9628925 54.6693278, 20.9631727 54.6693051, 20.9636902 54.6692598, 20.9639238 54.6692151, 20.9641011 54.6691699, 20.964218 54.6691173, 20.9648943 54.668735, 20.9652472 54.6685831, 20.9654062 54.668505, 20.9656385 54.6684548, 20.9676156 54.6681539, 20.9695024 54.6678489, 20.9696784 54.6678188, 20.9700695 54.6677519, 20.9701436 54.6677377, 20.9705246 54.6676719, 20.9707966 54.667625, 20.9711098 54.6676527, 20.9713215 54.6677095, 20.971771 54.6678583, 20.9731933 54.6684053, 20.9733644 54.6684711)",27К-202,,Калининградская улица,
