osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,junction,bridge,access,width
471573493,True,2,проспект Кирова,primary,False,54.209,"LINESTRING (34.1021332 44.9515655, 34.1022766 44.9516791, 34.1023944 44.9517496, 34.1026433 44.9518912)",,,,,
"[76157024, 373323004, 1078119895]",False,"['4', '3']",проспект Кирова,primary,True,201.101,"LINESTRING (34.1021332 44.9515655, 34.1019899 44.9512774, 34.101969 44.9512354, 34.10164 44.9505945, 34.1012811 44.9498605)",,,,,
28133122,True,4,проспект Кирова,primary,False,192.244,"LINESTRING (34.1012811 44.9498605, 34.1003352 44.9491009, 34.1000404 44.9488646, 34.0996707 44.9485605)",60,,,,
"[76157024, 373323004, 1078119895]",False,"['4', '3']",проспект Кирова,primary,False,201.101,"LINESTRING (34.1012811 44.9498605, 34.10164 44.9505945, 34.101969 44.9512354, 34.1019899 44.9512774, 34.1021332 44.9515655)",,,,,
505215298,False,4,проспект Кирова,primary,True,31.455,"LINESTRING (34.1026006 44.9527437, 34.1027401 44.9530088)",,,,,
471573487,True,2,проспект Кирова,primary,False,45.005,"LINESTRING (34.1026006 44.9527437, 34.102498 44.952605, 34.102424 44.9525, 34.1023118 44.952396)",,,,,
72098631,False,,улица Менделеева,unclassified,False,123.548,"LINESTRING (34.1038242 44.95496, 34.1037326 44.955007, 34.1034114 44.9551561, 34.1031361 44.9552923, 34.1026059 44.9555545, 34.1025245 44.9555818)",,,,,
"[817105372, 411579413]",False,4,проспект Кирова,primary,False,42.650999999999996,"LINESTRING (34.1038242 44.95496, 34.1037549 44.9548693, 34.1035764 44.9546189)",60,,,,
448494103,False,4,проспект Кирова,primary,True,108.285,"LINESTRING (34.1038242 44.95496, 34.1040496 44.9552365, 34.1043135 44.9554977, 34.1045481 44.955686, 34.104624 44.9557486)",60,,,,
"[505855450, 72783883]",False,,улица Зои Жильцовой,residential,False,58.516,"LINESTRING (34.104624 44.9557486, 34.1047179 44.9556968, 34.1051918 44.9554089)",,,,,
448494103,False,4,проспект Кирова,primary,False,108.285,"LINESTRING (34.104624 44.9557486, 34.1045481 44.955686, 34.1043135 44.9554977, 34.1040496 44.9552365, 34.1038242 44.95496)",60,,,,
694638274,False,4,проспект Кирова,primary,True,132.802,"LINESTRING (34.104624 44.9557486, 34.1047194 44.9558067, 34.104951 44.9559305, 34.1060073 44.9564315)",60,,,,
949422998,False,,улица Шмидта,primary,True,16.135,"LINESTRING (34.1067395 44.9508982, 34.106893 44.9509944)",,,,,
"[471573480, 702094633]",False,4,улица Ленина,primary,True,293.60200000000003,"LINESTRING (34.1067395 44.9508982, 34.1065133 44.9509694, 34.1055036 44.9513292, 34.1045143 44.951668, 34.1035358 44.9519993, 34.1033835 44.9520514)",60,,,,
935839956,False,,Кавказская улица,secondary,True,103.74799999999999,"LINESTRING (34.1067395 44.9508982, 34.1066165 44.9507789, 34.1059869 44.9501322)",60,,,,
471573490,True,2,улица Ленина,primary,False,50.492000000000004,"LINESTRING (34.1027651 44.9519499, 34.102913 44.9519904, 34.1030156 44.9520181, 34.1030691 44.9520307, 34.1031659 44.952043, 34.1032664 44.9520525, 34.1033835 44.9520514)",,,,,
"[627584067, 627584076]",True,,Советская площадь,primary,False,42.449,"LINESTRING (34.1027651 44.9519499, 34.1028122 44.9519902, 34.1028478 44.9520361, 34.1028707 44.952086, 34.1028799 44.9521379, 34.1028741 44.9521952, 34.1028517 44.9522504, 34.1028138 44.9523012)",,roundabout,,,
264416904,True,,Советская площадь,primary,False,43.596,"LINESTRING (34.1021549 44.9519969, 34.102227 44.9519374, 34.1023198 44.9518944, 34.1024257 44.9518715, 34.1025365 44.9518704, 34.1026433 44.9518912)",,roundabout,,,
471573496,True,,проспект Кирова,primary,False,48.379000000000005,"LINESTRING (34.1021549 44.9519969, 34.1021829 44.951791, 34.1021332 44.9515655)",,,,,
627584058,True,,Советская площадь,primary,False,3.861,"LINESTRING (34.1021312 44.9520273, 34.1021549 44.9519969)",,roundabout,,,
471642076,True,2,Совнаркомовский переулок,primary,False,37.911,"LINESTRING (34.1022067 44.9523422, 34.1021241 44.9523187, 34.1020587 44.9523093, 34.1019768 44.9522975, 34.1018678 44.9522954, 34.1017345 44.9522925)",,,,,
508518939,True,,Советская площадь,primary,False,37.731,"LINESTRING (34.1022067 44.9523422, 34.1021482 44.9522885, 34.1021097 44.9522263, 34.1020937 44.9521594, 34.102101 44.9520917, 34.1021312 44.9520273)",,roundabout,,,
471573475,True,2,улица Ленина,primary,False,52.757,"LINESTRING (34.1033835 44.9520514, 34.1029719 44.9522253, 34.1029295 44.9522454, 34.1028138 44.9523012)",60,,,,
"[471573480, 702094633]",False,4,улица Ленина,primary,False,293.602,"LINESTRING (34.1033835 44.9520514, 34.1035358 44.9519993, 34.1045143 44.951668, 34.1055036 44.9513292, 34.1065133 44.9509694, 34.1067395 44.9508982)",60,,,,
94849905,False,2,улица Александра Невского,primary,False,25.733,"LINESTRING (34.0967153 44.9544421, 34.0964707 44.9545957)",,,,,
73564996,False,2,Суворовский спуск,tertiary,True,73.06899999999999,"LINESTRING (34.0967153 44.9544421, 34.0967877 44.9544973, 34.0973332 44.9549326)",RU:urban,,,,
"[770834416, 365682175]",False,4,"['Совнаркомовский переулок', 'улица Александра Невского']",primary,True,216.509,"LINESTRING (34.1017345 44.9522925, 34.1007138 44.9524438, 34.1003145 44.9525084, 34.1000977 44.9525446, 34.0999658 44.9525738, 34.0998837 44.9525978, 34.0997913 44.9526345, 34.0996399 44.9527187, 34.0992158 44.9529672)",60,,,,
471573498,True,2,Совнаркомовский переулок,primary,False,43.400000000000006,"LINESTRING (34.1017345 44.9522925, 34.1018213 44.952259, 34.1018789 44.95223, 34.1019258 44.9521959, 34.1019753 44.952152, 34.1020748 44.9520692, 34.1021312 44.9520273)",,,,,
94849905,False,2,улица Александра Невского,primary,True,25.733,"LINESTRING (34.0964707 44.9545957, 34.0967153 44.9544421)",,,,,
94849906,True,2,улица Александра Невского,primary,False,18.137,"LINESTRING (34.0964707 44.9545957, 34.0963838 44.9546512, 34.0963 44.9547053)",60,,,,
94849753,True,,улица Жуковского,primary,False,63.708,"LINESTRING (34.0968803 44.9525963, 34.0974158 44.953026)",,,,,
935839956,False,,Кавказская улица,secondary,False,35.698,"LINESTRING (34.1057482 44.9498592, 34.1059869 44.9501322)",60,,,,
1225591194,False,,Кавказская улица,secondary,True,62.624,"LINESTRING (34.1057482 44.9498592, 34.1054161 44.9493474)",60,,,,
41073153,False,,Петропавловская улица,residential,False,151.346,"LINESTRING (34.1057482 44.9498592, 34.1050594 44.9500683, 34.1046162 44.9503573, 34.1042961 44.9505276, 34.1041598 44.9506002)",,,,,
41073153,False,,Петропавловская улица,residential,True,151.346,"LINESTRING (34.1041598 44.9506002, 34.1042961 44.9505276, 34.1046162 44.9503573, 34.1050594 44.9500683, 34.1057482 44.9498592)",,,,,
