osmid,oneway,lanes,ref,name,highway,reversed,length,bridge,geometry
"[55225186, 771767694, 31373334]",True,2,05А-608,улица Фрунзе,secondary,False,311.641,yes,"LINESTRING (132.1816123 43.3531908, 132.1827377 43.3531772, 132.1831507 43.3531755, 132.1853015 43.3531768, 132.1854665 43.3531773)"
144543981,True,2,,Интернациональная улица,secondary,False,146.344,,"LINESTRING (132.1913113 43.3531258, 132.1912882 43.3534261, 132.1912876 43.3539357, 132.1912966 43.3541209, 132.1913128 43.3544411)"
77885709,False,,,Интернациональная улица,tertiary,True,203.212,,"LINESTRING (132.1913649 43.3557643, 132.1913597 43.3558687, 132.1913686 43.35645, 132.1913744 43.3565746, 132.191376 43.3569331, 132.1913812 43.3571274, 132.1913785 43.3574254, 132.1913788 43.3575916)"
771767691,True,3,05А-608,улица Кирова,secondary,False,261.587,,"LINESTRING (132.1913649 43.3557643, 132.1911799 43.3557657, 132.1900238 43.3557684, 132.1900071 43.3557684, 132.1888835 43.3557722, 132.1883056 43.3557734, 132.1881295 43.3557734)"
77885709,False,,,Интернациональная улица,tertiary,False,47.984,,"LINESTRING (132.1911201 43.3608469, 132.1911547 43.3604161)"
77885720,False,,,Вокзальная улица,tertiary,True,231.503,,"LINESTRING (132.1911201 43.3608469, 132.1910413 43.3608356, 132.1908774 43.3608066, 132.1907959 43.3607911, 132.1903224 43.3607259, 132.189508 43.360607, 132.189004 43.3605257, 132.1888104 43.360499, 132.1885609 43.3604653, 132.1883153 43.3604288)"
108848752,False,,,Вокзальная улица,residential,False,176.13199999999998,,"LINESTRING (132.1839029 43.3598357, 132.183988 43.3598182, 132.1840874 43.3597958, 132.1842743 43.3597614, 132.1843845 43.3597625, 132.1844889 43.3597861, 132.1848653 43.3598938, 132.1853035 43.3600135, 132.1857046 43.3601128, 132.1859765 43.360153)"
108848752,False,,,Вокзальная улица,residential,True,151.289,,"LINESTRING (132.1839029 43.3598357, 132.1836733 43.3597976, 132.1830108 43.3596963, 132.1827126 43.3596464, 132.1825616 43.3596135, 132.1824272 43.3595747, 132.1821018 43.3594798)"
55329030,False,,,Лесозаводская улица,residential,False,27.664,,"LINESTRING (132.1863554 43.3601884, 132.1862897 43.3602182, 132.1862597 43.360244, 132.1862276 43.3602752, 132.1862115 43.3603173, 132.1862087 43.3603571, 132.1862013 43.3603929)"
77885720,False,,,Вокзальная улица,tertiary,False,160.801,,"LINESTRING (132.1863554 43.3601884, 132.1865019 43.3602009, 132.1867224 43.3602128, 132.1870863 43.3602604, 132.1875365 43.3603207, 132.1882078 43.360415, 132.1883153 43.3604288)"
108848752,False,,,Вокзальная улица,residential,True,30.947000000000003,,"LINESTRING (132.1863554 43.3601884, 132.1861353 43.3601767, 132.1859765 43.360153)"
