osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,access,ref
127621113,4,Большая Московская улица,primary,50,False,True,24.367,"LINESTRING (40.4150985 56.1323415, 40.4154699 56.1324135)",,,
127622545,4,Большая Московская улица,primary,50,False,False,58.631,"LINESTRING (40.4150985 56.1323415, 40.414784 56.1322754, 40.4142139 56.1321544)",,,
"[369132530, 205435316, 45062935]","['4', '5']",Ерофеевский спуск,primary,,False,True,319.266,"LINESTRING (40.4044667 56.1333028, 40.4044445 56.1332334, 40.404415 56.1331182, 40.4043981 56.1329732, 40.4044075 56.1328642, 40.4044421 56.1326606, 40.4044842 56.1325152, 40.4045275 56.1324144, 40.4051505 56.1307718, 40.4052026 56.1305732, 40.4052272 56.1304793)",,,
"[409108210, 152176667]",1,улица Урицкого,tertiary,40,True,False,252.08999999999997,"LINESTRING (40.4089608 56.1248969, 40.4091417 56.1249663, 40.4095049 56.1251508, 40.4097811 56.1252912, 40.4104633 56.1256345, 40.4108435 56.1258258, 40.4115175 56.1261447, 40.4116831 56.1262565, 40.4117615 56.1263351, 40.4118021 56.1264061, 40.4118344 56.1264659)",,,
45062889,2,улица Урицкого,tertiary,40,False,True,61.059,"LINESTRING (40.4081173 56.1247927, 40.4075507 56.1247979, 40.4073798 56.1247865, 40.4072767 56.1247541, 40.4071686 56.1247159)",,,
45062939,2,улица Урицкого,residential,40,False,False,33.667,"LINESTRING (40.4081173 56.1247927, 40.4083162 56.1247797, 40.4083909 56.1247346, 40.4083945 56.1246683, 40.408374 56.1246059)",,,
45062940,2,улица Урицкого,tertiary,40,True,False,54.181999999999995,"LINESTRING (40.4081173 56.1247927, 40.4082799 56.1247959, 40.4084647 56.1248086, 40.4086058 56.1248175, 40.4087714 56.1248471, 40.4089608 56.1248969)",,,
"[231699497, 231699498, 354325479, 153753527]",4,улица Гагарина,primary,60,False,False,184.042,"LINESTRING (40.4018182 56.1329533, 40.4018163 56.1329101, 40.4018225 56.1328556, 40.4018592 56.1327677, 40.4021844 56.1323122, 40.4023702 56.1320503, 40.4026214 56.1316947, 40.4028271 56.1314034)",,,
355531294,,улица Передний Боровок,residential,,False,True,130.91,"LINESTRING (40.4018182 56.1329533, 40.4016151 56.1330346, 40.4015256 56.1330495, 40.4013633 56.1330607, 40.3997852 56.1328958)",,,
"[120831346, 230341749, 230341750, 230341751, 230341752]",4,Большая Московская улица,primary,50,False,False,211.743,"LINESTRING (40.40488 56.1284788, 40.4046417 56.1284258, 40.4043531 56.1283637, 40.4039723 56.1282804, 40.4025762 56.1279771, 40.4019392 56.1278443, 40.4018011 56.127815, 40.4016933 56.1277921)",,,
"[227123460, 338960452, 129296462, 229557499, 220122485, 145226267, 145226268]",4,Большая Московская улица,primary,"['60', '50', 'RU:urban']",False,True,148.312,"LINESTRING (40.40488 56.1284788, 40.4054778 56.1286126, 40.406127 56.1287514, 40.4063164 56.1287917, 40.4064719 56.1288278, 40.4066546 56.1288698, 40.4068697 56.1289191, 40.407103 56.1289726)",yes,,
"[436917346, 436917347, 436917348, 229557582, 120831380]",4,улица Гагарина,primary,60,False,True,165.853,"LINESTRING (40.40488 56.1284788, 40.404823 56.1285601, 40.404791 56.128606, 40.4044704 56.1290629, 40.404425 56.1291276, 40.4043535 56.1292296, 40.4042949 56.1293132, 40.4042073 56.1294381, 40.4041605 56.1295048, 40.4041049 56.1295841, 40.4039058 56.129868)",,,
130541404,4,улица Гагарина,primary,60,False,False,49.272,"LINESTRING (40.4036163 56.1302807, 40.4038805 56.129904, 40.4039058 56.129868)",,,
