osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,tunnel,bridge
146612306,Лесная улица,residential,False,False,158.919,,,"LINESTRING (19.9448289 54.4611871, 19.9445358 54.4626061)",,,
146612330,Пограничная улица,primary,False,False,149.727,27А-020,60,"LINESTRING (19.9448289 54.4611871, 19.944236 54.4610751, 19.9425789 54.4608731)",,,
146612357,Калининградское шоссе,primary,False,False,232.2,27А-020,40,"LINESTRING (19.9448289 54.4611871, 19.9451802 54.4613091, 19.9457128 54.4615084, 19.9467734 54.4619305, 19.9478979 54.4622668)",,,
305473846,Пограничная улица,residential,False,True,240.289,27К-121,,"LINESTRING (19.9448289 54.4611871, 19.9449659 54.4611267, 19.9453622 54.4611044, 19.9458807 54.4610961, 19.9463968 54.4610581, 19.9468891 54.4609728, 19.9474154 54.4608454, 19.9479049 54.4606936, 19.948296 54.460542)",,,
56029655,Артиллерийская улица,residential,False,False,113.01,,,"LINESTRING (19.9355898 54.4604536, 19.9357781 54.4601678, 19.9359584 54.4599063, 19.9360617 54.4597517, 19.9361079 54.4596119, 19.9360737 54.4594932)",,,
"[146612354, 262731028]","['Таможняя улица', 'Пограничная улица']",primary,False,"[False, True]",239.73399999999998,27А-020,60,"LINESTRING (19.9355898 54.4604536, 19.9360665 54.4605513, 19.9363315 54.4606003, 19.9366567 54.4606207, 19.9384014 54.4605863, 19.9392537 54.4605698)",,,
61288253,улица Михалицына,residential,False,True,65.258,,,"LINESTRING (19.9420248 54.4629754, 19.9421211 54.4623912)",2,,
589412239,Центральная улица,residential,False,True,46.078,,,"LINESTRING (19.9420248 54.4629754, 19.9414306 54.4632044)",2,,
888428498,улица Михалицына,residential,False,False,70.307,,,"LINESTRING (19.9420248 54.4629754, 19.9419387 54.4636057)",2,,
61288253,улица Михалицына,residential,False,False,103.06,,,"LINESTRING (19.9425789 54.4608731, 19.9423593 54.4615563, 19.9422891 54.4617845)",2,,
146612330,Пограничная улица,primary,False,True,149.727,27А-020,60,"LINESTRING (19.9425789 54.4608731, 19.944236 54.4610751, 19.9448289 54.4611871)",,,
262731028,Пограничная улица,primary,False,False,219.06,27А-020,60,"LINESTRING (19.9425789 54.4608731, 19.9424426 54.4608436, 19.9420385 54.4607763, 19.9406075 54.4605863, 19.9401385 54.460565, 19.9395143 54.4605619, 19.9392537 54.4605698)",,,
305473846,Пограничная улица,residential,False,False,240.28900000000002,27К-121,,"LINESTRING (19.948296 54.460542, 19.9479049 54.4606936, 19.9474154 54.4608454, 19.9468891 54.4609728, 19.9463968 54.4610581, 19.9458807 54.4610961, 19.9453622 54.4611044, 19.9449659 54.4611267, 19.9448289 54.4611871)",,,
146612301,Комендантская улица,residential,False,True,76.563,,,"LINESTRING (19.9455165 54.4670185, 19.9466997 54.4670537)",,,
144889366,улица Евсеева,residential,False,True,433.259,,,"LINESTRING (19.9455165 54.4670185, 19.9453208 54.4667677, 19.944073 54.4657539, 19.9429525 54.4648288, 19.9419276 54.4637376)",2,,
80601028,Шоссейная улица,residential,False,True,149.509,,,"LINESTRING (19.94423 54.4637881, 19.943148 54.4637021, 19.9424553 54.4636352, 19.9419387 54.4636057)",2,,
146612298,Каштановая улица,residential,False,False,206.36700000000002,,,"LINESTRING (19.94423 54.4637881, 19.9443839 54.4640936, 19.9444939 54.4641882, 19.9445951 54.4642466, 19.9447306 54.4642965, 19.9468617 54.4644432)",,,
146612306,Лесная улица,residential,False,True,132.946,,,"LINESTRING (19.94423 54.4637881, 19.9445014 54.4626908, 19.9445358 54.4626061)",,,
888428498,улица Михалицына,residential,False,False,14.684,,,"LINESTRING (19.9419387 54.4636057, 19.9419276 54.4637376)",2,,
888428498,улица Михалицына,residential,False,True,70.307,,,"LINESTRING (19.9419387 54.4636057, 19.9420248 54.4629754)",2,,
80601028,Шоссейная улица,residential,False,False,149.50900000000001,,,"LINESTRING (19.9419387 54.4636057, 19.9424553 54.4636352, 19.943148 54.4637021, 19.94423 54.4637881)",2,,
146612336,Привокзальная улица,residential,False,False,212.87500000000003,,,"LINESTRING (19.9394732 54.4644965, 19.9393481 54.4642997, 19.9391046 54.464125, 19.9387734 54.4639118, 19.9380961 54.4636012, 19.9374394 54.4634294, 19.9369705 54.4634271)",,,
185497292,Центральная улица,residential,False,False,196.07,,,"LINESTRING (19.9394732 54.4644965, 19.9396965 54.4643652, 19.9402243 54.4641839, 19.9404252 54.4641159, 19.9405208 54.4640642, 19.9405714 54.4640027, 19.9410391 54.4635182, 19.9414306 54.4632044)",2,,
"[80624995, 185497292, 888428491]","['Железнодорожная улица', 'Центральная улица']",residential,False,True,276.194,,,"LINESTRING (19.9394732 54.4644965, 19.9393843 54.4645822, 19.9392702 54.4647789, 19.9391614 54.4649602, 19.938837 54.4655046, 19.9385632 54.4659973, 19.9383878 54.4663076, 19.9380791 54.466842)",2,yes,
80625008,,residential,False,False,177.8,,,"LINESTRING (19.9384788 54.4620904, 19.9376071 54.4628763, 19.9374407 54.463003, 19.9369705 54.4634271)",,,
185498220,,residential,False,False,77.064,,,"LINESTRING (19.9384788 54.4620904, 19.9388673 54.4621645, 19.9390376 54.4621966, 19.9392747 54.4622673, 19.9395772 54.4623549)",,,
185498220,,residential,False,True,242.24899999999994,,,"LINESTRING (19.9384788 54.4620904, 19.9377823 54.4619643, 19.9371207 54.4618101, 19.9362001 54.461475, 19.9360764 54.4614794, 19.9356929 54.4614732, 19.9355373 54.4614623, 19.9353978 54.4614497, 19.9352476 54.4614139, 19.935151 54.4613438, 19.9350893 54.4613001)",,,
144889366,улица Евсеева,residential,False,False,67.431,,,"LINESTRING (19.9414306 54.4632044, 19.9419276 54.4637376)",2,,
589412239,Центральная улица,residential,False,False,46.078,,,"LINESTRING (19.9414306 54.4632044, 19.9420248 54.4629754)",2,,
