osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,access
81713011,Кумлинская улица,tertiary,False,False,116.292,,,"LINESTRING (45.8710682 44.1634308, 45.8707536 44.1624096)",,
50414051,улица Эдиге,tertiary,False,False,238.921,82К-001,40,"LINESTRING (45.8710682 44.1634308, 45.8696898 44.1638181, 45.8682418 44.1641375)",,
338486088,улица Эдиге,tertiary,False,True,306.758,82К-001,40,"LINESTRING (45.8710682 44.1634308, 45.8719375 44.1631614, 45.8727133 44.1629319, 45.8734277 44.1627688, 45.8741071 44.1626825, 45.8743346 44.1626646, 45.8747237 44.1626369)",,
"[338486074, 82608140, 338486082]",улица 50 лет Дагестана,residential,False,True,114.263,,,"LINESTRING (45.8747237 44.1626369, 45.8747002 44.1625856, 45.8745422 44.1622675, 45.8745277 44.1622382, 45.8742161 44.1616762)",yes,
338486088,улица Эдиге,tertiary,False,False,306.75800000000004,82К-001,40,"LINESTRING (45.8747237 44.1626369, 45.8743346 44.1626646, 45.8741071 44.1626825, 45.8734277 44.1627688, 45.8727133 44.1629319, 45.8719375 44.1631614, 45.8710682 44.1634308)",,
"[338486088, 338486077]",улица Эдиге,tertiary,False,True,229.71899999999997,82К-001,40,"LINESTRING (45.8747237 44.1626369, 45.8763581 44.1625404, 45.8773882 44.1625533, 45.8775977 44.1625593)",yes,
81713011,Кумлинская улица,tertiary,False,False,63.222,,,"LINESTRING (45.8707536 44.1624096, 45.8706555 44.1618454)",,
81713011,Кумлинская улица,tertiary,False,True,116.292,,,"LINESTRING (45.8707536 44.1624096, 45.8710682 44.1634308)",,
81713011,Кумлинская улица,tertiary,False,True,63.222,,,"LINESTRING (45.8706555 44.1618454, 45.8707536 44.1624096)",,
"[338486073, 338486079]",Кумлинская улица,tertiary,False,False,47.639,,,"LINESTRING (45.8706555 44.1618454, 45.8706007 44.1614532, 45.8705921 44.1614195)",yes,
338608322,улица Отарова,residential,False,True,79.876,,,"LINESTRING (45.874089 44.1682147, 45.8750079 44.1679291)",,
82608154,улица Орджоникидзе,residential,False,False,281.22599999999994,,,"LINESTRING (45.874089 44.1682147, 45.8749162 44.1685175, 45.8751028 44.1686101, 45.8760264 44.1690688, 45.8763174 44.1692026, 45.8766748 44.1692162, 45.8771144 44.169189, 45.8772165 44.1691918)",,
