osmid,oneway,name,highway,maxspeed,reversed,length,geometry,access
122610596,False,Центральная улица,secondary,60,True,72.514,"LINESTRING (66.6738688 63.7116779, 66.6730121 63.7122083)",
205581877,False,улица Молодости,secondary,,False,103.72999999999999,"LINESTRING (66.6753434 63.7190439, 66.6750686 63.7189481, 66.6749231 63.7189008, 66.674713 63.7188419, 66.6735505 63.7185577)",
122610596,False,Центральная улица,secondary,60,False,155.717,"LINESTRING (66.6661072 63.7165558, 66.6661677 63.7164426, 66.6661825 63.7164224, 66.666207 63.7163979, 66.6664591 63.7162096, 66.6666027 63.7161102, 66.6668064 63.7159896, 66.6675846 63.7155226, 66.6678113 63.7153877)",
"[122220619, 122610596]",False,Центральная улица,secondary,"['20', '60']",True,128.993,"LINESTRING (66.6661072 63.7165558, 66.666044 63.7166702, 66.6659949 63.7167256, 66.6658004 63.7168799, 66.6651922 63.7173625, 66.6650329 63.7174889, 66.664913 63.7175837)",
"[121305496, 203431325]",False,"['Набережная улица', 'улица Молодости']",tertiary,40,"[False, True]",566.846,"LINESTRING (66.6661072 63.7165558, 66.6658071 63.7164799, 66.664524 63.7161706, 66.6642277 63.7160976, 66.6639876 63.7160384, 66.6634606 63.7159082, 66.6620003 63.7155476, 66.6610944 63.7153219, 66.6608866 63.715283, 66.6607305 63.7152726, 66.6605825 63.7152873, 66.6604387 63.7153217, 66.6603418 63.7153809, 66.6599764 63.715674, 66.6593819 63.716137, 66.6593023 63.716207, 66.6584951 63.7168345, 66.6583585 63.7169329, 66.6579088 63.7172707)",
205581877,False,улица Молодости,secondary,,True,140.999,"LINESTRING (66.6661072 63.7165558, 66.6664352 63.7166394, 66.6673184 63.7168714, 66.6683704 63.7171409, 66.668579 63.717196)",
122610596,False,Центральная улица,secondary,60,False,288.984,"LINESTRING (66.6695589 63.7143096, 66.6700548 63.7140073, 66.6702899 63.713864, 66.6705529 63.7137037, 66.671463 63.713145, 66.6715739 63.7130779, 66.6719455 63.7128529, 66.672686 63.7124054, 66.6730121 63.7122083)",
122610596,False,Центральная улица,secondary,60,True,147.57000000000002,"LINESTRING (66.6695589 63.7143096, 66.6691166 63.7145853, 66.6682787 63.715103, 66.6678113 63.7153877)",
"[122633992, 122087447, 122633990, 122689479]",False,улица Лысюка,tertiary,,True,306.61,"LINESTRING (66.6695589 63.7143096, 66.6697748 63.714375, 66.6704379 63.7145783, 66.6714073 63.7148681, 66.6717865 63.7149854, 66.6721888 63.7151099, 66.6730248 63.7153651, 66.6737896 63.7155808, 66.6745738 63.7157909, 66.6747403 63.7158375)",no
"[122087985, 122208505]",False,,residential,,False,356.407,"LINESTRING (66.6630172 63.719074, 66.6639182 63.719307, 66.6649125 63.7195567, 66.6664135 63.7199381, 66.6664887 63.7199572, 66.6672599 63.7201483, 66.667386 63.7201709, 66.6674678 63.7201774, 66.6675577 63.7201745, 66.6676676 63.7201596, 66.66774 63.720143, 66.6678071 63.720121, 66.6678527 63.7200961, 66.6683871 63.719672, 66.668436 63.7196384, 66.6684974 63.7196105, 66.6685403 63.7196008, 66.6686159 63.7196043, 66.6686942 63.7196177, 66.668875 63.719662)",no
