osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,ref,geometry,junction,bridge
93033933,False,2,улица Пушкина,residential,50,yes,False,16.345,,"LINESTRING (22.1997568 54.592431, 22.1996374 54.5923013)",,
93033933,False,2,улица Пушкина,residential,50,yes,True,129.881,,"LINESTRING (22.1997568 54.592431, 22.2007276 54.5934547)",,
92947890,True,2,проспект Ленина,primary,,,False,104.968,27К-144,"LINESTRING (22.1997568 54.592431, 22.1986206 54.5927938, 22.198341 54.5928975)",,
93052884,False,,проспект Ленина,primary,,,True,15.907,,"LINESTRING (22.1955382 54.5937659, 22.1954166 54.5936414)",,
"[68460921, 93033934]",False,2,"['улица Ломоносова', 'Почтовая улица']",residential,50,yes,"[False, True]",317.795,,"LINESTRING (22.1955382 54.5937659, 22.1957274 54.5939508, 22.1970319 54.5952253, 22.1971027 54.5952945, 22.1977696 54.5959677, 22.1978321 54.5960308, 22.1979316 54.5960026, 22.1981917 54.5959289)",,
92947874,False,2,проспект Ленина,primary,,,False,27.683999999999997,27К-144,"LINESTRING (22.1955382 54.5937659, 22.1953 54.5937973, 22.1951146 54.5937956)",,
92947874,False,2,проспект Ленина,primary,,,True,27.683999999999997,27К-144,"LINESTRING (22.1951146 54.5937956, 22.1953 54.5937973, 22.1955382 54.5937659)",,
988363926,True,2,проспект Ленина,primary,,,False,26.268,27К-144,"LINESTRING (22.1951146 54.5937956, 22.1951851 54.5937366, 22.1954166 54.5936414)",,
784561594,True,2,,primary,,,False,14.937,,"LINESTRING (22.2008579 54.5920761, 22.200762 54.5919538)",roundabout,
"[988363887, 988363927]",True,2,проспект Ленина,primary,,,False,81.177,27К-144,"LINESTRING (22.2008579 54.5920761, 22.2007179 54.5921215, 22.1998719 54.5923939, 22.1997568 54.592431)",,
784561596,True,1,Московская улица,primary,,,False,36.181999999999995,,"LINESTRING (22.2018891 54.5926742, 22.2016514 54.5925146, 22.2015771 54.5924886, 22.2014666 54.5924827)",,
