osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,est_width
"[849276602, 306792635]",4,улица Цвиллинга,primary,"['60', 'RU:urban']",False,False,122.19500000000001,"LINESTRING (55.0948017 51.7714577, 55.0951615 51.7711496, 55.0955102 51.7708334, 55.0956856 51.7706657, 55.0957925 51.7705466)",
238081034,4,улица Цвиллинга,unclassified,RU:urban,False,False,137.341,"LINESTRING (55.0957925 51.7705466, 55.0958441 51.7704749, 55.0958776 51.7704142, 55.0959084 51.7703487, 55.0960759 51.7700289, 55.0961695 51.7698501, 55.096427 51.769376)",
"[849276602, 306792635]",4,улица Цвиллинга,primary,"['60', 'RU:urban']",False,True,122.195,"LINESTRING (55.0957925 51.7705466, 55.0956856 51.7706657, 55.0955102 51.7708334, 55.0951615 51.7711496, 55.0948017 51.7714577)",
858668357,3,улица Постникова,primary,RU:urban,True,False,106.646,"LINESTRING (55.0957925 51.7705466, 55.095607 51.7704298, 55.0954423 51.7703164, 55.0948654 51.769915, 55.0947488 51.7698378)",
48532854,4,улица 9 Января,secondary,60,True,False,139.492,"LINESTRING (55.0967458 51.7647699, 55.096802 51.7646789, 55.0974699 51.7635982)",
290549476,3,Краснознамённая улица,secondary,RU:urban,True,False,73.43299999999999,"LINESTRING (55.0967458 51.7647699, 55.0968879 51.7647984, 55.0976135 51.7649616, 55.0977504 51.7649924)",
48532854,4,улица 9 Января,secondary,60,True,False,71.961,"LINESTRING (55.0963855 51.7653774, 55.0965865 51.7650475, 55.0967031 51.7648442, 55.0967458 51.7647699)",
184826275,2,Хлебный переулок,residential,,False,True,213.757,"LINESTRING (55.0963855 51.7653774, 55.0956577 51.7651956, 55.0941771 51.764759, 55.0935514 51.7645923)",
293419117,1,Соляной переулок,residential,60,True,False,215.694,"LINESTRING (55.0945171 51.7629479, 55.0974699 51.7635982)",
413546378,2,улица Кобозева,secondary,60,True,False,63.608,"LINESTRING (55.0945171 51.7629479, 55.0942182 51.7634892)",
48532854,4,улица 9 Января,secondary,60,True,False,69.331,"LINESTRING (55.0974699 51.7635982, 55.0977746 51.7630724, 55.09781 51.7630113)",
849277946,3,улица Постникова,primary,RU:urban,True,False,137.785,"LINESTRING (55.0927371 51.7687772, 55.0914899 51.7678078)",
"[187254472, 968692794]",4,улица 9 Января,secondary,RU:urban,False,True,295.849,"LINESTRING (55.0927371 51.7687772, 55.0931367 51.768686, 55.0941321 51.7684909, 55.0945173 51.7684119, 55.09467 51.7683263, 55.0947529 51.7681848, 55.0950927 51.7675791, 55.0952471 51.7673135, 55.0954135 51.7670335)",
547104248,4,Краснознамённая улица,secondary,RU:urban,False,False,64.905,"LINESTRING (55.101027 51.7657325, 55.1019158 51.7659278)",
118564842,2,Пролетарская улица,secondary,60,True,False,205.00199999999998,"LINESTRING (55.101027 51.7657325, 55.101388 51.7651309, 55.1019941 51.7640987, 55.1020526 51.7640016)",
35062444,3,Комсомольская улица,secondary,RU:urban,True,False,198.537,"LINESTRING (55.1019158 51.7659278, 55.1009171 51.7676029)",
547104248,4,Краснознамённая улица,secondary,RU:urban,False,True,64.905,"LINESTRING (55.1019158 51.7659278, 55.101027 51.7657325)",
1193538656,4,Краснознамённая улица,secondary,,False,False,69.796,"LINESTRING (55.1019158 51.7659278, 55.1028746 51.7661325)",
36326564,3,улица 8 Марта,primary,RU:urban,True,False,88.977,"LINESTRING (55.1025296 51.7707158, 55.1025009 51.7709156, 55.1024115 51.7711866, 55.1022722 51.7714979)",
"[38809264, 291372099, 291372100]",4,улица 8 Марта,primary,RU:urban,False,False,281.25100000000003,"LINESTRING (55.1025296 51.7707158, 55.102611 51.770572, 55.1028606 51.7701551, 55.1031746 51.7696302, 55.103377 51.7693316, 55.1036201 51.7689289, 55.1037454 51.7687276, 55.1038853 51.7685299, 55.1040122 51.7683597)",15
151901208,3,улица 8 Марта,primary,RU:urban,False,True,70.77000000000001,"LINESTRING (55.1025296 51.7707158, 55.102379 51.7708875, 55.1021909 51.7710886, 55.1020534 51.7712792)",
35062444,3,Комсомольская улица,secondary,RU:urban,True,False,203.639,"LINESTRING (55.1029534 51.7642127, 55.1029001 51.7643008, 55.1019158 51.7659278)",
236360824,3,улица Кирова,secondary,60,True,False,66.287,"LINESTRING (55.1029534 51.7642127, 55.1028042 51.7641777, 55.1021918 51.7640342, 55.1020526 51.7640016)",
236360824,3,улица Кирова,secondary,60,True,False,235.608,"LINESTRING (55.1020526 51.7640016, 55.1020469 51.7640003, 55.1010226 51.7637615, 55.1008843 51.7637293, 55.100756 51.7636992, 55.1000368 51.7635308, 55.0994306 51.7633876, 55.098848 51.7632561)",
392770646,3,улица Постникова,primary,RU:urban,True,False,85.044,"LINESTRING (55.09928 51.7710273, 55.0991512 51.7710238, 55.0982111 51.770998, 55.0980467 51.7709837)",
98211918,3,проспект Победы,primary,RU:urban,True,False,28.639,"LINESTRING (55.1022722 51.7714979, 55.10215 51.7713883, 55.1020534 51.7712792)",
118564842,2,Пролетарская улица,secondary,60,True,False,197.187,"LINESTRING (55.100013 51.7673911, 55.1001016 51.7672461, 55.1002971 51.766926, 55.101027 51.7657325)",
"[118567944, 118564844]",4,улица Володарского,secondary,RU:urban,False,False,235.07399999999998,"LINESTRING (55.100013 51.7673911, 55.0990681 51.7671677, 55.098883 51.7671229, 55.0986999 51.7670785, 55.0971255 51.7666947, 55.0968312 51.7666218)",
118564844,4,улица Володарского,secondary,RU:urban,False,True,66.52199999999999,"LINESTRING (55.100013 51.7673911, 55.1000209 51.7673929, 55.1009171 51.7676029)",
413546378,2,улица Кобозева,secondary,60,True,False,56.347,"LINESTRING (55.0938282 51.7641154, 55.0935514 51.7645923)",
290549476,3,Краснознамённая улица,secondary,RU:urban,True,False,213.576,"LINESTRING (55.0938282 51.7641154, 55.0939481 51.7641439, 55.0944132 51.7642544, 55.0967458 51.7647699)",
87076877,2,улица М.Фадеева,residential,,False,False,70.476,"LINESTRING (55.0993565 51.7686014, 55.099436 51.7686186, 55.1002833 51.7688118, 55.1003183 51.7688192)",
289511513,2,Пролетарская улица,secondary,RU:urban,True,False,141.97299999999998,"LINESTRING (55.0993565 51.7686014, 55.0994138 51.7684972, 55.0999683 51.7674887, 55.100013 51.7673911)",
118564836,3,Комсомольская улица,secondary,RU:urban,True,False,141.417,"LINESTRING (55.1009171 51.7676029, 55.1008595 51.7676952, 55.1004096 51.7686211, 55.1003183 51.7688192)",
118564844,4,улица Володарского,secondary,RU:urban,False,False,66.52199999999999,"LINESTRING (55.1009171 51.7676029, 55.1000209 51.7673929, 55.100013 51.7673911)",
"[295793105, 438991918]",4,улица Володарского,secondary,RU:urban,False,True,65.163,"LINESTRING (55.1009171 51.7676029, 55.101326 51.7677085, 55.1017955 51.7678217)",
102537832,2,Бухарский переулок,residential,60,False,True,262.399,"LINESTRING (55.090612 51.7627229, 55.0910413 51.7628144, 55.0911148 51.76283, 55.0922762 51.7630775, 55.09298 51.763227, 55.0942182 51.7634892)",
413546378,2,улица Кобозева,secondary,60,True,False,125.781,"LINESTRING (55.0935514 51.7645923, 55.0928691 51.7656417)",
184826275,2,Хлебный переулок,residential,,False,False,213.757,"LINESTRING (55.0935514 51.7645923, 55.0941771 51.764759, 55.0956577 51.7651956, 55.0963855 51.7653774)",
"[116443754, 48532853]",3,улица Кобозева,secondary,"['60', 'RU:urban']",False,False,178.659,"LINESTRING (55.0924359 51.7663116, 55.0922848 51.7665401, 55.0920162 51.7669583, 55.0917807 51.7673374, 55.0914899 51.7678078)",
48532853,3,улица Кобозева,secondary,60,False,True,80.23500000000001,"LINESTRING (55.0924359 51.7663116, 55.0927294 51.7658516, 55.0927983 51.7657471, 55.0928691 51.7656417)",
198510364,2,переулок Свободина,unclassified,60,False,False,220.079,"LINESTRING (55.0924359 51.7663116, 55.0929929 51.7664436, 55.0941565 51.7667173, 55.0954135 51.7670335)",
39241360,2,Советская улица,unclassified,,False,True,147.45,"LINESTRING (55.096856 51.7708539, 55.0968982 51.7707815, 55.0975374 51.7695967)",
147576097,3,улица Постникова,primary,RU:urban,True,False,81.14,"LINESTRING (55.096856 51.7708539, 55.0963314 51.7707296, 55.0959545 51.7706209, 55.0957925 51.7705466)",
