osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge,width
173560044,улица Чапаева,residential,False,True,110.211,"LINESTRING (20.5218496 54.4248864, 20.5210991 54.4257762)",,,,
173560034,Почтовая улица,residential,False,False,149.462,"LINESTRING (20.5218496 54.4248864, 20.5229656 54.4249114, 20.5241556 54.4249654)",,,,
173560034,Почтовая улица,residential,False,True,201.642,"LINESTRING (20.5218496 54.4248864, 20.5216537 54.4248965, 20.5209116 54.4246306, 20.5201609 54.4243405, 20.5191555 54.4240186)",,,,
173560041,,residential,True,False,60.344,"LINESTRING (20.5203388 54.4220286, 20.5207368 54.4215378)",,,,
264010513,,secondary,False,False,70.364,"LINESTRING (20.5203388 54.4220286, 20.5213786 54.421843)",2,27А-017,,
264010513,,secondary,False,True,76.058,"LINESTRING (20.5203388 54.4220286, 20.5198957 54.4221065, 20.519195 54.4221825)",2,27А-017,,
173560036,улица Шанина,residential,False,False,30.194000000000003,"LINESTRING (20.5237882 54.4214358, 20.5238014 54.4212944, 20.5238068 54.4211645)",,,,
264010513,,secondary,False,True,162.335,"LINESTRING (20.5237882 54.4214358, 20.5232838 54.4215241, 20.5226307 54.4216325, 20.5223264 54.4216853, 20.5213786 54.421843)",2,27А-017,,
185658659,Советская улица,residential,False,False,44.282,"LINESTRING (20.5207368 54.4215378, 20.5207546 54.4211397)",,,,
173560047,,residential,False,False,54.1,"LINESTRING (20.5207368 54.4215378, 20.5210116 54.4217094, 20.5211772 54.421774, 20.5213786 54.421843)",,,,
264010513,,secondary,False,True,70.364,"LINESTRING (20.5213786 54.421843, 20.5203388 54.4220286)",2,27А-017,,
173560047,,residential,False,True,54.099999999999994,"LINESTRING (20.5213786 54.421843, 20.5211772 54.421774, 20.5210116 54.4217094, 20.5207368 54.4215378)",,,,
264010513,,secondary,False,False,162.335,"LINESTRING (20.5213786 54.421843, 20.5223264 54.4216853, 20.5226307 54.4216325, 20.5232838 54.4215241, 20.5237882 54.4214358)",2,27А-017,,
976256354,,tertiary,False,True,76.081,"LINESTRING (20.519195 54.4221825, 20.5180568 54.4220104)",2,27К-141,,
264010513,,secondary,False,False,76.058,"LINESTRING (20.519195 54.4221825, 20.5198957 54.4221065, 20.5203388 54.4220286)",2,27А-017,,
"[173560042, 847190795, 847190796]",Олимпийская улица,tertiary,False,False,177.35,"LINESTRING (20.519195 54.4221825, 20.5190083 54.422414, 20.5188145 54.4226541, 20.5182076 54.4234064, 20.518054 54.4236323)",,27К-232,yes,9
173560034,Почтовая улица,residential,False,False,83.203,"LINESTRING (20.518054 54.4236323, 20.5191555 54.4240186)",,,,
173560042,Олимпийская улица,tertiary,False,False,360.696,"LINESTRING (20.518054 54.4236323, 20.5173719 54.4244475, 20.5156567 54.4265137, 20.5156203 54.4265507)",,27К-232,,
"[173560042, 847190795, 847190796]",Олимпийская улица,tertiary,False,True,177.35,"LINESTRING (20.518054 54.4236323, 20.5182076 54.4234064, 20.5188145 54.4226541, 20.5190083 54.422414, 20.519195 54.4221825)",,27К-232,yes,9
173560034,Почтовая улица,residential,False,True,83.203,"LINESTRING (20.5191555 54.4240186, 20.518054 54.4236323)",,,,
173560051,Заводская улица,residential,False,False,116.639,"LINESTRING (20.5191555 54.4240186, 20.5183969 54.4249702)",,,,
173560034,Почтовая улица,residential,False,False,201.642,"LINESTRING (20.5191555 54.4240186, 20.5201609 54.4243405, 20.5209116 54.4246306, 20.5216537 54.4248965, 20.5218496 54.4248864)",,,,
173560055,улица Гагарина,residential,False,True,196.789,"LINESTRING (20.5136393 54.4241898, 20.5124675 54.425823)",,,,
173560034,Почтовая улица,residential,False,True,107.841,"LINESTRING (20.5257757 54.4247773, 20.5253413 54.4247866, 20.5245423 54.4249426, 20.5243076 54.4249599, 20.5242044 54.4249676, 20.5241556 54.4249654)",,,,
173560037,Школьный переулок,residential,False,False,218.747,"LINESTRING (20.5124675 54.425823, 20.5155811 54.4265905)",,,,
