osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name
124602063,2,tertiary,60,False,False,39.646,"LINESTRING (56.164202 52.3453343, 56.1643602 52.3456775)",
"[354157810, 124602063]",2,tertiary,60,False,True,105.341,"LINESTRING (56.164202 52.3453343, 56.1640634 52.3452113, 56.1639202 52.3451031, 56.1636653 52.3449853, 56.162983 52.3447823)",
124603807,,residential,,False,False,276.5,"LINESTRING (56.164202 52.3453343, 56.1643688 52.3450328, 56.1643369 52.3448933, 56.1658666 52.343094)",улица Строителей
235166446,2,tertiary,40,False,True,204.593,"LINESTRING (56.1634712 52.3387739, 56.1622128 52.3404455)",улица Ленина
124603814,,residential,,False,False,163.70100000000002,"LINESTRING (56.1634712 52.3387739, 56.1647057 52.3391187, 56.1656626 52.339386)",улица 8 Марта
269308500,,residential,,False,False,273.605,"LINESTRING (56.1634712 52.3387739, 56.1628982 52.3386058, 56.1616335 52.3382611, 56.1611132 52.3381087, 56.1602794 52.3378735, 56.1598151 52.3377426)",улица 8 Марта
124603804,2,tertiary,,False,False,205.792,"LINESTRING (56.1642457 52.3431, 56.162983 52.3447823)",Восточная улица
124603804,2,tertiary,,False,True,54.139,"LINESTRING (56.1642457 52.3431, 56.1645767 52.3426571)",Восточная улица
402591994,,tertiary,40,False,True,90.093,"LINESTRING (56.1642457 52.3431, 56.1634666 52.3428742, 56.1630515 52.3427477)",улица Максима Горького
269308500,,residential,,False,False,176.575,"LINESTRING (56.1598151 52.3377426, 56.1594181 52.3376659, 56.1589804 52.3375914, 56.1586059 52.3375804, 56.1580279 52.3376068, 56.1572634 52.3376793)",улица 8 Марта
269308500,,residential,,False,True,273.605,"LINESTRING (56.1598151 52.3377426, 56.1602794 52.3378735, 56.1611132 52.3381087, 56.1616335 52.3382611, 56.1628982 52.3386058, 56.1634712 52.3387739)",улица 8 Марта
124603812,,residential,40,False,False,475.763,"LINESTRING (56.1572634 52.3376793, 56.157374 52.3378578, 56.1579752 52.3388288, 56.1582682 52.339302, 56.1595615 52.3413904, 56.1596014 52.3414549, 56.1596016 52.3414879, 56.1595883 52.341518, 56.1595331 52.3415718, 56.1594183 52.3416619)",улица Максима Горького
