osmid,highway,oneway,reversed,length,name,bridge,lanes,geometry
83823410,residential,False,False,5.295,,,,"LINESTRING (47.402755 42.9851929, 47.4026958 42.9852127)"
"[86260607, 1118630582, 455312519]",trunk,True,False,58.341,проспект Казбекова,yes,4,"LINESTRING (47.402755 42.9851929, 47.4028631 42.9854341, 47.4029373 42.9855954, 47.4029782 42.9856915)"
86260608,trunk,True,False,74.719,проспект Казбекова,,2,"LINESTRING (47.4029782 42.9856915, 47.4032481 42.9863338)"
424057011,residential,False,False,4.9,Московская улица,,,"LINESTRING (47.4029782 42.9856915, 47.4029209 42.9857051)"
1221692044,residential,False,True,5.031,,,,"LINESTRING (47.4032481 42.9863338, 47.4031896 42.9863485)"
144124999,residential,False,False,27.466,улица Интернационалистов,,,"LINESTRING (47.4028708 42.9864299, 47.4031896 42.9863485)"
144124999,residential,False,True,91.891,улица Интернационалистов,,,"LINESTRING (47.4028708 42.9864299, 47.4018048 42.9867035)"
83823395,residential,False,False,162.155,Сулакская улица,,,"LINESTRING (47.4028708 42.9864299, 47.4029928 42.98672, 47.4034842 42.9878174)"
120579914,residential,False,False,99.923,Кайтагская улица,,,"LINESTRING (47.4034842 42.9878174, 47.4023239 42.9881126)"
83823395,residential,False,True,162.155,Сулакская улица,,,"LINESTRING (47.4034842 42.9878174, 47.4029928 42.98672, 47.4028708 42.9864299)"
83824696,residential,False,True,99.364,,,,"LINESTRING (47.4009415 42.9884134, 47.4013292 42.9892608)"
120579914,residential,False,False,71.088,Кайтагская улица,,,"LINESTRING (47.4009415 42.9884134, 47.4001038 42.9885957)"
120579914,residential,False,True,24.399,Кайтагская улица,,,"LINESTRING (47.4009415 42.9884134, 47.401229 42.9883508)"
83823410,residential,False,False,96.428,,,,"LINESTRING (47.401346 42.9857077, 47.400161 42.9857321)"
83823410,residential,False,True,93.226,,,,"LINESTRING (47.401346 42.9857077, 47.4018569 42.9856084, 47.402448 42.9854778)"
83823410,residential,False,False,93.226,,,,"LINESTRING (47.402448 42.9854778, 47.4018569 42.9856084, 47.401346 42.9857077)"
83823410,residential,False,True,37.109,,,,"LINESTRING (47.402448 42.9854778, 47.402587 42.9853209, 47.402622 42.9852373, 47.4026958 42.9852127)"
83824696,residential,False,False,100.518,,,,"LINESTRING (47.4020239 42.9909146, 47.4016609 42.9900505)"
83824696,residential,False,True,92.794,,,,"LINESTRING (47.4020239 42.9909146, 47.4023196 42.9917206)"
144123896,residential,False,False,196.196,Таркинская улица,,,"LINESTRING (47.4020239 42.9909146, 47.3999419 42.9913403, 47.3998974 42.9913345, 47.3998564 42.9913221, 47.3997854 42.9912878, 47.3997495 42.9912755, 47.3997134 42.9912752)"
83824696,residential,False,False,91.862,,,,"LINESTRING (47.4016609 42.9900505, 47.4013292 42.9892608)"
83824696,residential,False,True,100.518,,,,"LINESTRING (47.4016609 42.9900505, 47.4020239 42.9909146)"
83824695,residential,False,True,198.32299999999998,Гунибская улица,,,"LINESTRING (47.4016609 42.9900505, 47.3995298 42.9905164, 47.3995038 42.9905205, 47.3994782 42.990518, 47.399368 42.990483, 47.3993469 42.9904793, 47.3993273 42.9904814)"
144126629,tertiary,False,True,20.049,Порт-Петровская улица,,,"LINESTRING (47.4025564 42.9916705, 47.4023196 42.9917206)"
83823410,residential,False,False,105.568,,,,"LINESTRING (47.400161 42.9857321, 47.3988703 42.9856327)"
83823410,residential,False,True,96.428,,,,"LINESTRING (47.400161 42.9857321, 47.401346 42.9857077)"
83823410,residential,False,True,105.568,,,,"LINESTRING (47.3988703 42.9856327, 47.400161 42.9857321)"
83824080,residential,False,False,37.559,Терская улица,,,"LINESTRING (47.3988703 42.9856327, 47.3987831 42.985301)"
83823410,residential,False,False,303.65,,,,"LINESTRING (47.3988703 42.9856327, 47.3978229 42.9859555, 47.3955743 42.9866335, 47.3954182 42.9866711)"
83824332,residential,False,False,90.137,улица Иллазарова,,,"LINESTRING (47.3954182 42.9866711, 47.3951663 42.9858817)"
83823410,residential,False,False,191.622,,,,"LINESTRING (47.3954182 42.9866711, 47.3943864 42.9869891, 47.3932265 42.9873018)"
83823410,residential,False,True,303.65,,,,"LINESTRING (47.3954182 42.9866711, 47.3955743 42.9866335, 47.3978229 42.9859555, 47.3988703 42.9856327)"
84000916,residential,False,False,17.367,Морская улица,,,"LINESTRING (47.3989897 42.9897483, 47.3989054 42.9896048)"
84000916,residential,False,True,86.018,Морская улица,,,"LINESTRING (47.3989897 42.9897483, 47.3993273 42.9904814)"
84000925,residential,False,True,197.858,Махачкалинская улица,,,"LINESTRING (47.3989897 42.9897483, 47.4013292 42.9892608)"
84000916,residential,False,False,15.27,Морская улица,,,"LINESTRING (47.3986217 42.9889181, 47.3985562 42.9887894)"
84000916,residential,False,True,79.768,Морская улица,,,"LINESTRING (47.3986217 42.9889181, 47.3989054 42.9896048)"
120579914,residential,False,True,35.584,Кайтагская улица,,,"LINESTRING (47.3986217 42.9889181, 47.399041 42.9888268)"
83833312,residential,False,True,216.652,улица Интернационалистов,,,"LINESTRING (47.3981349 42.9879907, 47.3956339 42.988661)"
84000916,residential,False,False,25.608,Морская улица,,,"LINESTRING (47.3981349 42.9879907, 47.3980314 42.9877732)"
84000916,residential,False,True,95.193,Морская улица,,,"LINESTRING (47.3981349 42.9879907, 47.3985562 42.9887894)"
84000916,residential,False,False,74.44,Морская улица,,,"LINESTRING (47.3980314 42.9877732, 47.3977499 42.9871362)"
84000916,residential,False,True,25.608,Морская улица,,,"LINESTRING (47.3980314 42.9877732, 47.3981349 42.9879907)"
144124999,residential,False,False,43.775,улица Интернационалистов,,,"LINESTRING (47.3980314 42.9877732, 47.3985373 42.9876389)"
83824658,residential,False,False,162.274,1-й проезд Интернацианалистов,,,"LINESTRING (47.4018048 42.9867035, 47.4023239 42.9881126)"
144124999,residential,False,False,91.891,улица Интернационалистов,,,"LINESTRING (47.4018048 42.9867035, 47.4028708 42.9864299)"
144124999,residential,False,True,103.028,улица Интернационалистов,,,"LINESTRING (47.4018048 42.9867035, 47.4006436 42.9870736)"
83824658,residential,False,True,162.274,1-й проезд Интернацианалистов,,,"LINESTRING (47.4023239 42.9881126, 47.4018048 42.9867035)"
120579914,residential,False,False,92.913,Кайтагская улица,,,"LINESTRING (47.4023239 42.9881126, 47.401229 42.9883508)"
120579914,residential,False,True,99.923,Кайтагская улица,,,"LINESTRING (47.4023239 42.9881126, 47.4034842 42.9878174)"
83824670,residential,False,False,149.788,2-й проезд Интернацианалистов,,,"LINESTRING (47.401229 42.9883508, 47.4006436 42.9870736)"
120579914,residential,False,False,24.399,Кайтагская улица,,,"LINESTRING (47.401229 42.9883508, 47.4009415 42.9884134)"
120579914,residential,False,True,92.913,Кайтагская улица,,,"LINESTRING (47.401229 42.9883508, 47.4023239 42.9881126)"
144124999,residential,False,False,39.358,улица Интернационалистов,,,"LINESTRING (47.3990925 42.987493, 47.3995453 42.9873682)"
144124999,residential,False,True,47.985,улица Интернационалистов,,,"LINESTRING (47.3990925 42.987493, 47.3985373 42.9876389)"
83824675,residential,False,False,102.428,4-й проезд Интернацианалистов,,,"LINESTRING (47.3990925 42.987493, 47.398809 42.9867813, 47.3987324 42.9866104)"
83824676,residential,False,False,143.853,3-й проезд Интернацианалистов,,,"LINESTRING (47.4001038 42.9885957, 47.3995453 42.9873682)"
120579914,residential,False,False,90.184,Кайтагская улица,,,"LINESTRING (47.4001038 42.9885957, 47.399041 42.9888268)"
120579914,residential,False,True,71.088,Кайтагская улица,,,"LINESTRING (47.4001038 42.9885957, 47.4009415 42.9884134)"
83824676,residential,False,True,143.853,3-й проезд Интернацианалистов,,,"LINESTRING (47.3995453 42.9873682, 47.4001038 42.9885957)"
144124999,residential,False,False,95.152,улица Интернационалистов,,,"LINESTRING (47.3995453 42.9873682, 47.4006436 42.9870736)"
144124999,residential,False,True,39.358,улица Интернационалистов,,,"LINESTRING (47.3995453 42.9873682, 47.3990925 42.987493)"
83824677,residential,False,False,138.297,5-й проезд Интернацианалистов,,,"LINESTRING (47.399041 42.9888268, 47.3985373 42.9876389)"
120579914,residential,False,False,35.584,Кайтагская улица,,,"LINESTRING (47.399041 42.9888268, 47.3986217 42.9889181)"
