osmid,lanes,highway,maxspeed,oneway,reversed,length,tunnel,geometry,name
"[220933259, 701626876, 701626877]",2,tertiary,RU:urban,False,True,119.69200000000001,yes,"LINESTRING (32.3515179 62.0828573, 32.3515653 62.082657, 32.3515782 62.0824943, 32.3516002 62.0817823)",
68319452,,tertiary,,False,True,194.223,,"LINESTRING (32.3516002 62.0817823, 32.3478697 62.0817927)",улица Гагарина
"[220933259, 701626876, 701626877]",2,tertiary,RU:urban,False,False,119.69200000000001,yes,"LINESTRING (32.3516002 62.0817823, 32.3515782 62.0824943, 32.3515653 62.082657, 32.3515179 62.0828573)",
68319452,,tertiary,,False,False,194.223,,"LINESTRING (32.3478697 62.0817927, 32.3516002 62.0817823)",улица Гагарина
68319452,,tertiary,,False,True,182.847,,"LINESTRING (32.3478697 62.0817927, 32.3443577 62.0818025)",улица Гагарина
220933282,,residential,,False,True,80.187,,"LINESTRING (32.3478697 62.0817927, 32.34783 62.0812689, 32.3478271 62.0810719)",Первомайская улица
68319452,,tertiary,,False,False,182.847,,"LINESTRING (32.3443577 62.0818025, 32.3478697 62.0817927)",улица Гагарина
68319452,,tertiary,,False,True,161.059,,"LINESTRING (32.3443577 62.0818025, 32.3412642 62.0818111)",улица Гагарина
139665718,,residential,,False,True,83.281,,"LINESTRING (32.3443577 62.0818025, 32.3443153 62.0810538)",Октябрьская улица
139665718,,residential,,False,False,263.075,,"LINESTRING (32.3479445 62.0775849, 32.3474113 62.077582, 32.3471587 62.0776115, 32.3443894 62.0791266)",Октябрьская улица
220933282,,residential,,False,False,174.059,,"LINESTRING (32.3479445 62.0775849, 32.3479397 62.0778385, 32.3478861 62.07915)",Первомайская улица
139665718,,residential,,False,False,69.421,,"LINESTRING (32.3443894 62.0791266, 32.3442135 62.0792228, 32.3442293 62.0795074, 32.3442412 62.0797203)",Октябрьская улица
139665718,,residential,,False,True,263.075,,"LINESTRING (32.3443894 62.0791266, 32.3471587 62.0776115, 32.3474113 62.077582, 32.3479445 62.0775849)",Октябрьская улица
211936103,,residential,,False,True,182.84,,"LINESTRING (32.3443894 62.0791266, 32.3447713 62.0791762, 32.3478861 62.07915)",Первомайский переулок
211936103,,residential,,False,False,61.461,,"LINESTRING (32.3490665 62.079148, 32.3478861 62.07915)",Первомайский переулок
211936103,,residential,,False,True,61.461,,"LINESTRING (32.3478861 62.07915, 32.3490665 62.079148)",Первомайский переулок
220933282,,residential,,False,False,61.858,,"LINESTRING (32.3478861 62.07915, 32.3478634 62.0797062)",Первомайская улица
211936103,,residential,,False,False,182.84,,"LINESTRING (32.3478861 62.07915, 32.3447713 62.0791762, 32.3443894 62.0791266)",Первомайский переулок
220933282,,residential,,False,True,174.059,,"LINESTRING (32.3478861 62.07915, 32.3479397 62.0778385, 32.3479445 62.0775849)",Первомайская улица
211936101,,residential,,False,True,188.601,,"LINESTRING (32.3478634 62.0797062, 32.3442412 62.0797203)",
220933282,,residential,,False,True,61.858,,"LINESTRING (32.3478634 62.0797062, 32.3478861 62.07915)",Первомайская улица
220933282,,residential,,False,False,151.878,,"LINESTRING (32.3478634 62.0797062, 32.3478549 62.0799143, 32.3478361 62.0805641, 32.3478235 62.0808202, 32.3478271 62.0810719)",Первомайская улица
139665718,,residential,,False,False,148.329,,"LINESTRING (32.3442412 62.0797203, 32.3443153 62.0810538)",Октябрьская улица
211936101,,residential,,False,False,188.601,,"LINESTRING (32.3442412 62.0797203, 32.3478634 62.0797062)",
139665718,,residential,,False,True,69.42099999999999,,"LINESTRING (32.3442412 62.0797203, 32.3442293 62.0795074, 32.3442135 62.0792228, 32.3443894 62.0791266)",Октябрьская улица
139665718,,residential,,False,False,83.281,,"LINESTRING (32.3443153 62.0810538, 32.3443577 62.0818025)",Октябрьская улица
139665718,,residential,,False,True,148.329,,"LINESTRING (32.3443153 62.0810538, 32.3442412 62.0797203)",Октябрьская улица
211936100,,residential,,False,False,182.849,,"LINESTRING (32.3443153 62.0810538, 32.3478271 62.0810719)",Советская улица
211936100,,residential,,False,True,214.44299999999998,,"LINESTRING (32.3443153 62.0810538, 32.3427099 62.0810387, 32.3420186 62.0810919, 32.3417457 62.0811856, 32.34135 62.0814284, 32.3412642 62.0818111)",Советская улица
211936100,,residential,,False,False,188.091,,"LINESTRING (32.3478271 62.0810719, 32.3514396 62.0810542)",Советская улица
211936100,,residential,,False,True,182.849,,"LINESTRING (32.3478271 62.0810719, 32.3443153 62.0810538)",Советская улица
220933282,,residential,,False,False,80.187,,"LINESTRING (32.3478271 62.0810719, 32.34783 62.0812689, 32.3478697 62.0817927)",Первомайская улица
220933282,,residential,,False,True,151.878,,"LINESTRING (32.3478271 62.0810719, 32.3478235 62.0808202, 32.3478361 62.0805641, 32.3478549 62.0799143, 32.3478634 62.0797062)",Первомайская улица
211936100,,residential,,False,True,188.091,,"LINESTRING (32.3514396 62.0810542, 32.3478271 62.0810719)",Советская улица
68319452,,tertiary,,False,False,161.059,,"LINESTRING (32.3412642 62.0818111, 32.3443577 62.0818025)",улица Гагарина
211936100,,residential,,False,False,214.44299999999998,,"LINESTRING (32.3412642 62.0818111, 32.34135 62.0814284, 32.3417457 62.0811856, 32.3420186 62.0810919, 32.3427099 62.0810387, 32.3443153 62.0810538)",Советская улица
