osmid,name,highway,oneway,reversed,length,geometry,lanes,bridge
185299168,улица И.Н.Зимина,tertiary,False,False,65.312,"LINESTRING (38.8491341 55.7448093, 38.8491838 55.7442226)",,
41338769,улица И.Н.Зимина,tertiary,False,True,139.151,"LINESTRING (38.8491341 55.7448093, 38.8491388 55.7448949, 38.8491512 55.7451185, 38.8491827 55.7460604)",,
41468072,Коммунистическая улица,residential,True,False,183.83599999999998,"LINESTRING (38.8491341 55.7448093, 38.8490057 55.7447531, 38.8486706 55.7446064, 38.8480604 55.7444039, 38.8479599 55.7443844, 38.8469368 55.7441861, 38.8465008 55.7441164)",,
41338765,улица Революции,tertiary,False,False,93.724,"LINESTRING (38.8549401 55.7474715, 38.8534908 55.7475602, 38.8534514 55.747563)",,
449158174,,unclassified,False,False,88.893,"LINESTRING (38.8549401 55.7474715, 38.8548765 55.7472304, 38.8548337 55.7471078, 38.8547853 55.7469692, 38.8546418 55.7466912)",,
41338769,улица И.Н.Зимина,tertiary,False,False,198.032,"LINESTRING (38.8494774 55.7478336, 38.8491827 55.7460604)",,
185299173,улица Революции,tertiary,False,True,115.617,"LINESTRING (38.8494774 55.7478336, 38.8513142 55.7477225)",,
44377739,улица Революции,residential,False,True,50.564,"LINESTRING (38.8494774 55.7478336, 38.8493923 55.7478361, 38.8493063 55.7478387, 38.8492202 55.7478412, 38.8486706 55.7478577)",,
185299171,улица И.Н.Зимина,tertiary,False,True,40.019,"LINESTRING (38.8542643 55.7429414, 38.8536254 55.7429278)",2,
41468047,Советская улица,tertiary,False,False,32.956,"LINESTRING (38.8542643 55.7429414, 38.8544326 55.7430369, 38.854458 55.7431391, 38.8544724 55.7431972)",,
41468047,Советская улица,tertiary,False,True,14.836,"LINESTRING (38.8529661 55.7469303, 38.8529763 55.746797)",,
44377762,Советская улица,tertiary_link,True,False,81.305,"LINESTRING (38.8529661 55.7469303, 38.8530254 55.7471491, 38.8530394 55.7472007, 38.8531252 55.7474084, 38.8532454 55.7474954, 38.8534514 55.747563)",,
41338765,улица Революции,tertiary,False,True,93.724,"LINESTRING (38.8534514 55.747563, 38.8534908 55.7475602, 38.8549401 55.7474715)",,
185299172,улица Революции,tertiary,False,False,61.239000000000004,"LINESTRING (38.8534514 55.747563, 38.8528171 55.7476101, 38.8524814 55.7476354)",,
