osmid,oneway,highway,reversed,length,name,geometry,bridge,lanes
"[697085361, 1162306423]",True,tertiary,False,157.413,Солнцево — Бутово — Видное,"LINESTRING (37.4735213 55.5569751, 37.4735928 55.5570447, 37.4736169 55.557119, 37.4736115 55.5572055, 37.4735887 55.5572677, 37.4735257 55.5573595, 37.4725911 55.5580451, 37.4724286 55.5581577)",,
"[1009541185, 312201005]",True,tertiary,False,1052.294,Солнцево — Бутово — Видное,"LINESTRING (37.4632245 55.5640871, 37.4638671 55.5635013, 37.4649531 55.5624365, 37.4658143 55.5616842, 37.4670912 55.5607814, 37.4689336 55.5593835, 37.4702011 55.5584673, 37.4727024 55.5569226, 37.4728444 55.5568862, 37.4730322 55.5568786, 37.4732146 55.5568922, 37.4733245 55.5569165, 37.4735213 55.5569751)",,
789219321,True,tertiary,False,434.457,,"LINESTRING (37.4632245 55.5640871, 37.4635398 55.5636439, 37.4640655 55.5630433, 37.4648327 55.562297, 37.4660611 55.5612868, 37.46678 55.5607542)",,
697085363,False,tertiary,True,130.419,,"LINESTRING (37.4634807 55.560122, 37.4633507 55.5599846, 37.4632864 55.5598678, 37.4632957 55.5597873, 37.4633373 55.5596979, 37.4634487 55.559597, 37.4635252 55.5595673, 37.4636609 55.5595146, 37.4640985 55.5593447, 37.464329 55.5592574)",,
"[782851053, 782851054, 782851055]",True,tertiary,False,537.623,МКАД - посёлок Коммунарка - аэропорт Остфьево,"LINESTRING (37.4634807 55.560122, 37.4637946 55.5603494, 37.4641065 55.5605949, 37.4647628 55.5610212, 37.4651499 55.5612917, 37.4673459 55.5628985, 37.4676758 55.5631798, 37.4679848 55.5634774, 37.4680982 55.5635862, 37.4681935 55.5637577, 37.4682631 55.5639495, 37.4682705 55.5640651)",yes,
725827782,True,tertiary,False,120.89,,"LINESTRING (37.4674295 55.5579654, 37.4678061 55.5579823, 37.4681061 55.5580506, 37.4685258 55.5582024, 37.4691512 55.5584075)",,
1162306422,True,tertiary,False,188.698,,"LINESTRING (37.46678 55.5607542, 37.4673218 55.560319, 37.4675707 55.560133, 37.4685648 55.5593903)",,
1162306420,False,tertiary,False,41.388,,"LINESTRING (37.4648697 55.5590452, 37.464329 55.5592574)",,
725827785,False,tertiary,True,75.648,,"LINESTRING (37.4648697 55.5590452, 37.4650383 55.5589666, 37.4658155 55.5586249)",,
1162306419,True,tertiary,False,33.811,,"LINESTRING (37.4648697 55.5590452, 37.4647778 55.5591517, 37.46475 55.5592477, 37.4647374 55.5593357)",,
"[693293028, 693293029, 693293023]",True,tertiary,False,533.4039999999999,,"LINESTRING (37.4724286 55.5581577, 37.4721583 55.5582706, 37.4714267 55.5588068, 37.4710286 55.5591146, 37.4707818 55.5592238, 37.4705458 55.5592875, 37.4703097 55.5593209, 37.4700415 55.5593209, 37.4698055 55.5593027, 37.4695158 55.5592481, 37.469471 55.5592288, 37.4692118 55.5591171, 37.4689734 55.5589487, 37.4680491 55.5582958, 37.4679004 55.5582292, 37.4676608 55.5581689, 37.4673308 55.5581422, 37.4670635 55.5581826, 37.4667981 55.5582625, 37.4664823 55.5583886, 37.4659419 55.5585952)",yes,
"[1162306417, 1131219427, 693293022]",True,tertiary,False,804.664,Солнцево — Бутово — Видное,"LINESTRING (37.4724286 55.5581577, 37.4720639 55.5585139, 37.4716803 55.5588051, 37.4710896 55.5592536, 37.4706542 55.5595106, 37.4700469 55.5597729, 37.469371 55.5600308, 37.4690384 55.5602007, 37.4686179 55.5604751, 37.4661733 55.5624102, 37.4644256 55.5637421)",,
