osmid,lanes,name,highway,oneway,reversed,length,geometry,maxspeed,ref,junction
143766100,2,улица Гиматдинова,secondary,False,False,25.954,"LINESTRING (50.809446 54.4270513, 50.8090489 54.4270179)",,,
45136137,,Кооперативная улица,residential,False,False,158.144,"LINESTRING (50.809446 54.4270513, 50.8094019 54.427165, 50.8091438 54.4278312, 50.8090105 54.4281752, 50.8089083 54.4284387)",,,
297569217,2,улица Гиматдинова,secondary,False,True,10.791,"LINESTRING (50.8065684 54.4268022, 50.8064033 54.4267883)",60,,
143766100,2,улица Гиматдинова,secondary,False,True,162.23999999999998,"LINESTRING (50.8065684 54.4268022, 50.8066762 54.4268126, 50.8079188 54.4269198, 50.8083171 54.4269542, 50.8085529 54.4269731, 50.8090489 54.4270179)",,,
143766101,2,улица Карла Маркса,tertiary,False,False,163.15699999999998,"LINESTRING (50.8065684 54.4268022, 50.8065379 54.4269111, 50.8064893 54.4271041, 50.8063981 54.4274634, 50.8063343 54.4277111, 50.8061959 54.4282534)",60,,
297569217,2,улица Гиматдинова,secondary,False,True,185.184,"LINESTRING (50.8006668 54.4262451, 50.7979434 54.4257319)",60,,
297569217,2,улица Гиматдинова,secondary,False,False,158.591,"LINESTRING (50.8006668 54.4262451, 50.8014289 54.4263233, 50.8018586 54.4263778, 50.8025666 54.4264676, 50.8030721 54.4265196)",60,,
"[45084685, 45084686]",4,"['улица Пушкина', 'Советская улица']",secondary,False,True,292.887,"LINESTRING (50.8030721 54.4265196, 50.8030225 54.4266813, 50.8029659 54.4269385, 50.8029049 54.4272323, 50.8028258 54.4276198, 50.8027976 54.4277579, 50.8027904 54.4277932, 50.8027795 54.4278435, 50.8027621 54.4278936, 50.8027505 54.4279231, 50.8027331 54.4279494, 50.8027092 54.4279774, 50.8026635 54.4280104, 50.8026054 54.4280398, 50.8025506 54.4280609, 50.8024939 54.4280795, 50.8024233 54.4280984, 50.8023032 54.4281213, 50.8019277 54.4281742, 50.8015977 54.4282207, 50.8008393 54.4283273)",60,16К-1312,
297569217,2,улица Гиматдинова,secondary,False,False,11.883,"LINESTRING (50.8030721 54.4265196, 50.8032107 54.4265306, 50.8032541 54.4265341)",60,,
297569217,2,улица Гиматдинова,secondary,False,True,158.591,"LINESTRING (50.8030721 54.4265196, 50.8025666 54.4264676, 50.8018586 54.4263778, 50.8014289 54.4263233, 50.8006668 54.4262451)",60,,
