osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,access
181084107,79Н-176,улица Седина,tertiary,False,False,135.118,"LINESTRING (38.9132505 44.9256227, 38.9126194 44.9244927)",,
37353327,,улица Фрунзе,residential,False,False,298.924,"LINESTRING (38.9093897 44.9203846, 38.9095013 44.920333, 38.9097298 44.9202477, 38.9109155 44.9197693, 38.9110818 44.919761, 38.911307 44.9197481, 38.911535 44.9196839, 38.911879 44.9195469, 38.912341 44.9193618, 38.9127594 44.9192)",,
181084108,79Н-176,улица Седина,tertiary,False,False,103.879,"LINESTRING (38.9093897 44.9203846, 38.9089478 44.9198305, 38.9087662 44.9196216, 38.9087265 44.9195772)",,
"[181084107, 181084108]",79Н-176,улица Седина,tertiary,False,True,160.635,"LINESTRING (38.9093897 44.9203846, 38.9096987 44.920721, 38.9098869 44.9209536, 38.9100521 44.9211548, 38.9104031 44.9215755, 38.9104411 44.9216222)",,
31132455,,улица Чкалова,residential,False,False,263.474,"LINESTRING (38.9104411 44.9216222, 38.9097511 44.9218763, 38.9091617 44.9221399, 38.9078522 44.9226516, 38.9075541 44.9228137)",,
"[181084107, 181084108]",79Н-176,улица Седина,tertiary,False,False,160.635,"LINESTRING (38.9104411 44.9216222, 38.9104031 44.9215755, 38.9100521 44.9211548, 38.9098869 44.9209536, 38.9096987 44.920721, 38.9093897 44.9203846)",,
181084107,79Н-176,улица Седина,tertiary,False,True,354.419,"LINESTRING (38.9104411 44.9216222, 38.911375 44.9228278, 38.9122534 44.9239616, 38.9125771 44.9244274)",,
31132455,,улица Чкалова,residential,False,False,59.939,"LINESTRING (38.9057128 44.9239739, 38.9051565 44.9243419)",,
31132455,,улица Чкалова,residential,False,True,149.244,"LINESTRING (38.9057128 44.9239739, 38.9061113 44.9237174, 38.9067028 44.9233551, 38.9071245 44.9230784)",,
79682542,,улица Ильницкого,residential,False,False,340.824,"LINESTRING (38.9057128 44.9239739, 38.9061718 44.9243435, 38.9064816 44.9245978, 38.9074507 44.9253456, 38.9078176 44.9256288, 38.9085969 44.9262594)",,
31132455,,улица Чкалова,residential,False,True,41.732,"LINESTRING (38.9041569 44.9249638, 38.9043912 44.9248215, 38.9045507 44.9247128)",,
181084105,А-146,улица Перова,trunk,False,True,176.71699999999998,"LINESTRING (38.9041569 44.9249638, 38.9030201 44.9240993, 38.9026406 44.9237922)",4,
"[1205901377, 1205901378]",А-146,улица Перова,trunk,False,False,319.461,"LINESTRING (38.9041569 44.9249638, 38.9052781 44.9258344, 38.906891 44.9270867)","['4', '5']",
181084107,79Н-176,улица Седина,tertiary,False,False,7.988,"LINESTRING (38.9126194 44.9244927, 38.9125771 44.9244274)",,
181084107,79Н-176,улица Седина,tertiary,False,True,135.118,"LINESTRING (38.9126194 44.9244927, 38.9132505 44.9256227)",,
236542581,,улица 68-й Морской Бригады,residential,False,False,372.673,"LINESTRING (38.9126194 44.9244927, 38.9089187 44.9261221, 38.9085969 44.9262594)",,
236542581,,улица 68-й Морской Бригады,residential,False,True,40.448,"LINESTRING (38.906891 44.9270867, 38.9072732 44.9268436)",,
"[1205901377, 1205901378]",А-146,улица Перова,trunk,False,True,319.461,"LINESTRING (38.906891 44.9270867, 38.9052781 44.9258344, 38.9041569 44.9249638)","['4', '5']",
37353327,,улица Фрунзе,residential,False,True,298.924,"LINESTRING (38.9127594 44.9192, 38.912341 44.9193618, 38.911879 44.9195469, 38.911535 44.9196839, 38.911307 44.9197481, 38.9110818 44.919761, 38.9109155 44.9197693, 38.9097298 44.9202477, 38.9095013 44.920333, 38.9093897 44.9203846)",,
181084108,79Н-176,улица Седина,tertiary,False,False,15.307,"LINESTRING (38.9081113 44.9188094, 38.9080168 44.9186891)",,
181084108,79Н-176,улица Седина,tertiary,False,True,98.16,"LINESTRING (38.9081113 44.9188094, 38.9087265 44.9195772)",,
31132455,,улица Чкалова,residential,False,True,44.837,"LINESTRING (38.9071245 44.9230784, 38.9075541 44.9228137)",,
31132455,,улица Чкалова,residential,False,False,149.244,"LINESTRING (38.9071245 44.9230784, 38.9067028 44.9233551, 38.9061113 44.9237174, 38.9057128 44.9239739)",,
50651043,,переулок Ильницкого,residential,False,False,385.968,"LINESTRING (38.9071245 44.9230784, 38.9078444 44.9236332, 38.9079108 44.9236811, 38.9089494 44.9245111, 38.909307 44.9248299, 38.90946 44.9250862, 38.9096745 44.9253117, 38.9092239 44.9255881, 38.9090429 44.9256877)",,yes
31132455,,улица Чкалова,residential,False,False,63.053,"LINESTRING (38.9051565 44.9243419, 38.9045507 44.9247128)",,
31132455,,улица Чкалова,residential,False,True,59.939,"LINESTRING (38.9051565 44.9243419, 38.9057128 44.9239739)",,
79719851,,Коммунистическая улица,residential,False,False,328.387,"LINESTRING (38.9051565 44.9243419, 38.9062431 44.9252284, 38.906299 44.9252677, 38.9067789 44.925633, 38.9078855 44.9265744)",,
31132455,,улица Чкалова,residential,False,False,44.837,"LINESTRING (38.9075541 44.9228137, 38.9071245 44.9230784)",,
