osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes
31496034,Советская улица,tertiary,60,False,False,105.46000000000001,"LINESTRING (48.6816908 53.3900811, 48.6815898 53.3900693, 48.6810791 53.3899998, 48.6801572 53.3898326)",,
48147161,Советская улица,tertiary,,False,False,217.034,"LINESTRING (48.6816908 53.3900811, 48.6823902 53.3901575, 48.6832555 53.3902521, 48.6840114 53.3903347, 48.6849144 53.3904177)",36Н-688,
221595633,Кооперативная улица,secondary,,False,True,274.932,"LINESTRING (48.6816908 53.3900811, 48.6817054 53.3900043, 48.6818098 53.3894546, 48.6820395 53.3882454, 48.6821359 53.3877378, 48.6821575 53.3876243)",36Н-687,2
89885340,Степная улица,residential,,False,False,100.19,"LINESTRING (48.6719566 53.3855561, 48.6722233 53.3856388, 48.6732971 53.3859716)",,
89885374,Новая улица,residential,,False,False,95.78399999999999,"LINESTRING (48.6719566 53.3855561, 48.6721298 53.385356, 48.6726192 53.3847907)",,
31496034,Советская улица,tertiary,60,False,False,39.208,"LINESTRING (48.6801572 53.3898326, 48.6800288 53.3898081, 48.6795921 53.3897289)",,
31496034,Советская улица,tertiary,60,False,True,105.46000000000001,"LINESTRING (48.6801572 53.3898326, 48.6810791 53.3899998, 48.6815898 53.3900693, 48.6816908 53.3900811)",,
450941310,площадь Ленина,residential,,False,True,114.698,"LINESTRING (48.6801572 53.3898326, 48.680174 53.389799, 48.6803883 53.3893107, 48.6805174 53.3890154, 48.6805962 53.3888349)",,
451047831,Почтовая улица,residential,,False,False,229.422,"LINESTRING (48.6821575 53.3876243, 48.685543 53.3880488)",,
221595633,Кооперативная улица,secondary,,False,False,274.932,"LINESTRING (48.6821575 53.3876243, 48.6821359 53.3877378, 48.6820395 53.3882454, 48.6818098 53.3894546, 48.6817054 53.3900043, 48.6816908 53.3900811)",36Н-687,2
221595633,Кооперативная улица,secondary,,False,True,130.171,"LINESTRING (48.6821575 53.3876243, 48.6821827 53.3875222, 48.6824373 53.3864656)",36Н-687,2
451047831,Почтовая улица,residential,,False,True,71.51,"LINESTRING (48.6821575 53.3876243, 48.6818399 53.3875752, 48.6811137 53.3874629)",,
89885370,Коммунальная улица,residential,,False,True,181.567,"LINESTRING (48.6810645 53.3831985, 48.6785294 53.3825822)",,
89885370,Коммунальная улица,residential,,False,False,3.561,"LINESTRING (48.6784791 53.382571, 48.6785294 53.3825822)",,
978711119,,residential,,False,False,74.201,"LINESTRING (48.6726192 53.3847907, 48.673114 53.3841922)",,
89885374,Новая улица,residential,,False,True,95.78399999999999,"LINESTRING (48.6726192 53.3847907, 48.6721298 53.385356, 48.6719566 53.3855561)",,
89885360,Мельничный переулок,residential,,False,False,40.277,"LINESTRING (48.6719453 53.3890483, 48.6718332 53.3894043)",,
