osmid,oneway,name,highway,maxspeed,access,reversed,length,bridge,geometry,ref
"[115403137, 116823148, 115403126]",False,улица Ленина,tertiary,60,yes,False,338.38200000000006,yes,"LINESTRING (64.646815 57.0595859, 64.6458355 57.0595406, 64.6450011 57.0594627, 64.643455 57.0593185, 64.6429856 57.0592837, 64.6419095 57.0592164, 64.641269 57.0592014)",
127318923,False,улица им. Генерала Федюнинского,tertiary,60,,False,328.571,,"LINESTRING (64.646815 57.0595859, 64.6470674 57.0583006, 64.64715 57.05788, 64.6473919 57.0566477)",65К-0003401
"[400630634, 400630635, 112511043]",False,улица Федюнинского,residential,60,,True,152.09300000000002,yes,"LINESTRING (64.646815 57.0595859, 64.64684 57.0598803, 64.6468445 57.0600798, 64.6468176 57.0604302, 64.646704 57.0606379, 64.6464641 57.0609149)",
127318923,False,улица им. Генерала Федюнинского,tertiary,60,,False,122.38,,"LINESTRING (64.6474563 57.0562552, 64.6475839 57.0551568)",65К-0003401
127318923,False,улица им. Генерала Федюнинского,tertiary,60,,True,43.817,,"LINESTRING (64.6474563 57.0562552, 64.6473919 57.0566477)",65К-0003401
115403126,False,улица Ленина,tertiary,60,yes,False,146.627,,"LINESTRING (64.641269 57.0592014, 64.6388536 57.0593186)",
"[115403137, 116823148, 115403126]",False,улица Ленина,tertiary,60,yes,True,338.38200000000006,yes,"LINESTRING (64.641269 57.0592014, 64.6419095 57.0592164, 64.6429856 57.0592837, 64.643455 57.0593185, 64.6450011 57.0594627, 64.6458355 57.0595406, 64.646815 57.0595859)",
"[112620841, 115403133]",False,улица Войкова,residential,60,yes,True,213.664,,"LINESTRING (64.641269 57.0592014, 64.6412982 57.0594901, 64.6412853 57.0596516, 64.6411287 57.0598156, 64.640572 57.0600303, 64.6391618 57.0605292)",
115403126,False,улица Ленина,tertiary,60,yes,True,146.627,,"LINESTRING (64.6388536 57.0593186, 64.641269 57.0592014)",
126581159,False,Школьная улица,residential,60,,True,135.896,,"LINESTRING (64.6388536 57.0593186, 64.6391618 57.0605292)",
