osmid,name,highway,oneway,reversed,length,geometry,area
26462228,улица Ленина,secondary,False,False,172.981,"LINESTRING (72.9642186 54.2111862, 72.9635576 54.2108867, 72.9627429 54.2105402, 72.9620618 54.2102768)",
26462228,улица Ленина,secondary,False,True,319.344,"LINESTRING (72.9642186 54.2111862, 72.9673637 54.2126217, 72.9681074 54.2129398)",
144967971,Октябрьская улица,tertiary,False,True,281.942,"LINESTRING (72.9642186 54.2111862, 72.9650898 54.2106113, 72.9654726 54.2103587, 72.9658443 54.2101292, 72.9662284 54.209892, 72.9671549 54.2093211)",
26462228,улица Ленина,secondary,False,False,133.2,"LINESTRING (72.9618719 54.2102127, 72.9600912 54.2096207)",
26462228,улица Ленина,secondary,False,True,14.258,"LINESTRING (72.9618719 54.2102127, 72.9620618 54.2102768)",
82397909,Почтовая улица,residential,False,True,234.557,"LINESTRING (72.9618719 54.2102127, 72.9603954 54.2121373)",no
82397919,Майский переулок,residential,False,False,128.21,"LINESTRING (72.9724131 54.2075807, 72.9729299 54.206468)",
82397894,Первомайская улица,tertiary,False,True,187.872,"LINESTRING (72.9724131 54.2075807, 72.9716572 54.2074561, 72.971234 54.2074231, 72.9707297 54.2073592, 72.9696034 54.2071954)",
26462228,улица Ленина,secondary,False,False,319.344,"LINESTRING (72.9681074 54.2129398, 72.9673637 54.2126217, 72.9642186 54.2111862)",
26462228,улица Ленина,secondary,False,True,128.457,"LINESTRING (72.9681074 54.2129398, 72.9685757 54.2131537, 72.9696572 54.2136562)",
82397943,Колхозная улица,tertiary,False,False,282.129,"LINESTRING (72.9681074 54.2129398, 72.9694269 54.2122155, 72.969666 54.2120774, 72.9712389 54.2111838)",
82397872,улица Кирова,residential,False,True,115.24,"LINESTRING (72.9621014 54.212418, 72.9603954 54.2121373)",
82397950,Парковая улица,tertiary,False,False,24.041,"LINESTRING (72.9605646 54.2070453, 72.9602229 54.2069628)",
82397950,Парковая улица,tertiary,False,True,83.862,"LINESTRING (72.9605646 54.2070453, 72.9616981 54.2074049)",
148445722,Мельничный переулок,residential,False,False,143.458,"LINESTRING (72.9605646 54.2070453, 72.9610241 54.205946, 72.9611159 54.2057969)",
82397950,Парковая улица,tertiary,False,False,110.975,"LINESTRING (72.9642739 54.208196, 72.9627676 54.207727)",
82397950,Парковая улица,tertiary,False,True,225.283,"LINESTRING (72.9642739 54.208196, 72.9671549 54.2093211)",
144866941,Почтовая улица,residential,False,False,272.448,"LINESTRING (72.9642739 54.208196, 72.9620618 54.2102768)",
82397915,улица Кирова,residential,False,True,147.96,"LINESTRING (72.9696572 54.2136562, 72.9674338 54.2133731)",
26462228,улица Ленина,secondary,False,False,128.457,"LINESTRING (72.9696572 54.2136562, 72.9685757 54.2131537, 72.9681074 54.2129398)",
82397894,Первомайская улица,tertiary,False,False,189.49099999999999,"LINESTRING (72.9638817 54.2062594, 72.9656693 54.2065449, 72.9666925 54.2067083)",
82397894,Первомайская улица,tertiary,False,True,187.621,"LINESTRING (72.9638817 54.2062594, 72.9612011 54.205836, 72.9611159 54.2057969)",
82397894,Первомайская улица,tertiary,False,False,91.973,"LINESTRING (72.9666925 54.2067083, 72.9680572 54.2069253)",
