osmid,name,highway,oneway,reversed,length,lanes,geometry,bridge,maxspeed
80397205,улица Шаймуратова,secondary,False,False,159.542,,"LINESTRING (58.5050532 53.3374375, 58.5070228 53.3366156)",,
168529524,улица Шаймуратова,residential,False,True,77.122,,"LINESTRING (58.5050532 53.3374375, 58.5041051 53.3378382)",,
449363993,улица Ленина,secondary,False,False,199.63,2,"LINESTRING (58.5050532 53.3374375, 58.5061856 53.3386492, 58.506503 53.3390102)",,
1165408449,улица Ленина,residential,False,True,239.34900000000002,2,"LINESTRING (58.5050532 53.3374375, 58.5044918 53.3366382, 58.503688 53.3355778, 58.5036131 53.3354645)",,
448553250,улица Ленина,residential,False,False,276.226,,"LINESTRING (58.5036131 53.3354645, 58.503482 53.335361, 58.5033137 53.3352697, 58.5030636 53.3351704, 58.5022107 53.3348388, 58.5017907 53.3347514, 58.5014026 53.3347457, 58.5005965 53.3348861, 58.5000416 53.3351644)",,
1165408449,улица Ленина,residential,False,False,239.349,2,"LINESTRING (58.5036131 53.3354645, 58.503688 53.3355778, 58.5044918 53.3366382, 58.5050532 53.3374375)",,
"[106673082, 112941715, 1167516444]",Партизанская улица,"['unclassified', 'residential']",False,"[False, True]",43.458999999999996,2,"LINESTRING (58.5036131 53.3354645, 58.5036241 53.3353427, 58.5036415 53.3351923, 58.5036334 53.3350743)",yes,60
448553251,,residential,False,False,83.159,,"LINESTRING (58.5103381 53.3375624, 58.5092244 53.3379046)",,
768066078,Учалинская улица,residential,False,False,18.938,,"LINESTRING (58.5103381 53.3375624, 58.5102252 53.337406)",,
768066078,Учалинская улица,residential,False,True,350.60400000000004,,"LINESTRING (58.5103381 53.3375624, 58.5112306 53.3389997, 58.5118186 53.3399985, 58.5121483 53.3405243)",,
768066078,Учалинская улица,residential,False,False,39.511,,"LINESTRING (58.5102252 53.337406, 58.5099869 53.3370804)",,
768066078,Учалинская улица,residential,False,True,18.938,,"LINESTRING (58.5102252 53.337406, 58.5103381 53.3375624)",,
449363984,,living_street,False,False,35.958,,"LINESTRING (58.5099869 53.3370804, 58.5094682 53.3371734)",,
768066078,Учалинская улица,residential,False,True,39.511,,"LINESTRING (58.5099869 53.3370804, 58.5102252 53.337406)",,
768066078,Учалинская улица,residential,False,False,159.938,,"LINESTRING (58.5099869 53.3370804, 58.5095743 53.3362593, 58.509354 53.3356933)",,
80397205,улица Шаймуратова,secondary,False,True,121.964,,"LINESTRING (58.509354 53.3356933, 58.5090233 53.3357724, 58.5078222 53.3362894)",,
768066078,Учалинская улица,residential,False,True,159.938,,"LINESTRING (58.509354 53.3356933, 58.5095743 53.3362593, 58.5099869 53.3370804)",,
112941707,улица Мира,residential,False,False,112.129,,"LINESTRING (58.5125819 53.3414989, 58.5121483 53.3405243)",,
444601422,,residential,False,False,26.35,,"LINESTRING (58.5125819 53.3414989, 58.5122177 53.3415931)",,
112941707,улица Мира,residential,False,True,160.313,,"LINESTRING (58.5125819 53.3414989, 58.5129779 53.3425208, 58.5130879 53.3429081)",,
112941707,улица Мира,residential,False,False,20.537,,"LINESTRING (58.5131396 53.3430902, 58.5130879 53.3429081)",,
112941707,улица Мира,residential,False,True,34.839,,"LINESTRING (58.5131396 53.3430902, 58.5132134 53.3434004)",,
112941707,улица Мира,residential,False,True,112.129,,"LINESTRING (58.5121483 53.3405243, 58.5125819 53.3414989)",,
207691670,,residential,False,False,57.678,,"LINESTRING (58.5121483 53.3405243, 58.5129703 53.3403564)",,
768066078,Учалинская улица,residential,False,False,350.604,,"LINESTRING (58.5121483 53.3405243, 58.5118186 53.3399985, 58.5112306 53.3389997, 58.5103381 53.3375624)",,
119527463,,residential,False,False,99.216,,"LINESTRING (58.5001557 53.336595, 58.5013487 53.3360577)",,
"[176424945, 168529524]","['улица Шаймуратова', 'Коммунистическая улица']",residential,False,False,325.667,,"LINESTRING (58.5001557 53.336595, 58.5026144 53.3382774, 58.5028234 53.3383374, 58.5036128 53.3380398)",,
119527463,,residential,False,True,99.216,,"LINESTRING (58.5013487 53.3360577, 58.5001557 53.336595)",,
119527467,Советская улица,residential,False,True,131.904,,"LINESTRING (58.5013487 53.3360577, 58.5000416 53.3351644)",,
119527467,Советская улица,residential,False,False,269.626,,"LINESTRING (58.5013487 53.3360577, 58.5026255 53.3368643, 58.5041051 53.3378382)",,
168529524,улица Шаймуратова,residential,False,False,77.122,,"LINESTRING (58.5041051 53.3378382, 58.5050532 53.3374375)",,
168529524,улица Шаймуратова,residential,False,True,39.634,,"LINESTRING (58.5041051 53.3378382, 58.5036128 53.3380398)",,
119527467,Советская улица,residential,False,True,269.626,,"LINESTRING (58.5041051 53.3378382, 58.5026255 53.3368643, 58.5013487 53.3360577)",,
119527467,Советская улица,residential,False,False,131.904,,"LINESTRING (58.5000416 53.3351644, 58.5013487 53.3360577)",,
448553250,улица Ленина,residential,False,True,276.226,,"LINESTRING (58.5000416 53.3351644, 58.5005965 53.3348861, 58.5014026 53.3347457, 58.5017907 53.3347514, 58.5022107 53.3348388, 58.5030636 53.3351704, 58.5033137 53.3352697, 58.503482 53.335361, 58.5036131 53.3354645)",,
112941715,Партизанская улица,residential,False,True,16.382,2,"LINESTRING (58.5036418 53.3349271, 58.5036349 53.3349951, 58.5036334 53.3350743)",,60
80397205,улица Шаймуратова,secondary,False,True,64.287,,"LINESTRING (58.5078222 53.3362894, 58.5070228 53.3366156)",,
80397205,улица Шаймуратова,secondary,False,False,121.964,,"LINESTRING (58.5078222 53.3362894, 58.5090233 53.3357724, 58.509354 53.3356933)",,
449363984,,living_street,False,True,80.81400000000001,,"LINESTRING (58.5078222 53.3362894, 58.5079637 53.3363697, 58.5083366 53.3367797, 58.5085699 53.3368148)",,
112941715,Партизанская улица,residential,False,False,16.382,2,"LINESTRING (58.5036334 53.3350743, 58.5036349 53.3349951, 58.5036418 53.3349271)",,60
"[106673082, 112941715, 1167516444]",Партизанская улица,"['residential', 'unclassified']",False,"[False, True]",43.459,2,"LINESTRING (58.5036334 53.3350743, 58.5036415 53.3351923, 58.5036241 53.3353427, 58.5036131 53.3354645)",yes,60
168529524,улица Шаймуратова,residential,False,False,39.634,,"LINESTRING (58.5036128 53.3380398, 58.5041051 53.3378382)",,
"[176424945, 168529524]","['улица Шаймуратова', 'Коммунистическая улица']",residential,False,True,325.66700000000003,,"LINESTRING (58.5036128 53.3380398, 58.5028234 53.3383374, 58.5026144 53.3382774, 58.5001557 53.336595)",,
207691670,,residential,False,True,57.678,,"LINESTRING (58.5129703 53.3403564, 58.5121483 53.3405243)",,
768066079,улица Гагарина,residential,False,False,269.462,,"LINESTRING (58.5129703 53.3403564, 58.5125533 53.3390606, 58.5123494 53.3383383, 58.5121697 53.3379828)",,
449363993,улица Ленина,secondary,False,False,30.193,2,"LINESTRING (58.5091981 53.3420782, 58.509376 53.3423281)",,
449363993,улица Ленина,secondary,False,True,386.37399999999997,2,"LINESTRING (58.5091981 53.3420782, 58.5087009 53.341291, 58.5083043 53.3408269, 58.5077647 53.340345, 58.5068653 53.3394032, 58.5065434 53.339054, 58.506503 53.3390102)",,
444601422,,residential,False,True,205.596,,"LINESTRING (58.509376 53.3423281, 58.5122177 53.3415931)",,
449363993,улица Ленина,secondary,False,True,30.193,2,"LINESTRING (58.509376 53.3423281, 58.5091981 53.3420782)",,
448553251,,residential,False,False,16.708,,"LINESTRING (58.5092244 53.3379046, 58.5091622 53.3380502)",,
448553251,,residential,False,True,83.159,,"LINESTRING (58.5092244 53.3379046, 58.5103381 53.3375624)",,
714333929,,living_street,False,False,83.167,,"LINESTRING (58.5092244 53.3379046, 58.5090842 53.3378367, 58.5086939 53.3373682, 58.5088743 53.3373228)",,
448553251,,residential,False,False,85.734,,"LINESTRING (58.5091622 53.3380502, 58.5080635 53.3384553)",,
448553251,,residential,False,True,16.708,,"LINESTRING (58.5091622 53.3380502, 58.5092244 53.3379046)",,
"[768066076, 1047786103]","['Школьная улица', 'улица Чапаева']",residential,False,"[False, True]",445.943,,"LINESTRING (58.5091622 53.3380502, 58.5096351 53.3386586, 58.5100454 53.33924, 58.5103761 53.3396679, 58.5107071 53.3399269, 58.5110875 53.3401961, 58.5112175 53.3402881, 58.5118279 53.340955, 58.5122177 53.3415931)",,
448553251,,residential,False,True,120.587,,"LINESTRING (58.506503 53.3390102, 58.5080635 53.3384553)",,
449363993,улица Ленина,secondary,False,False,386.37399999999997,2,"LINESTRING (58.506503 53.3390102, 58.5065434 53.339054, 58.5068653 53.3394032, 58.5077647 53.340345, 58.5083043 53.3408269, 58.5087009 53.341291, 58.5091981 53.3420782)",,
449363993,улица Ленина,secondary,False,True,199.63,2,"LINESTRING (58.506503 53.3390102, 58.5061856 53.3386492, 58.5050532 53.3374375)",,
449363984,,living_street,False,True,35.958,,"LINESTRING (58.5094682 53.3371734, 58.5099869 53.3370804)",,
714333929,,living_street,False,True,42.789,,"LINESTRING (58.5094682 53.3371734, 58.5088743 53.3373228)",,
449363984,,living_street,False,False,79.363,,"LINESTRING (58.5094682 53.3371734, 58.5092774 53.3369192, 58.5085699 53.3368148)",,
448553251,,residential,False,False,120.587,,"LINESTRING (58.5080635 53.3384553, 58.506503 53.3390102)",,
448553251,,residential,False,True,85.734,,"LINESTRING (58.5080635 53.3384553, 58.5091622 53.3380502)",,
714333928,,living_street,False,False,139.50300000000001,,"LINESTRING (58.5080635 53.3384553, 58.5077668 53.3381144, 58.5074456 53.3377624, 58.507287 53.3375585, 58.5072342 53.3374056, 58.5072586 53.3373182)",,
714333928,,living_street,False,False,90.435,,"LINESTRING (58.5072586 53.3373182, 58.5074822 53.3370512, 58.5070228 53.3366156)",,
714333928,,living_street,False,True,139.503,,"LINESTRING (58.5072586 53.3373182, 58.5072342 53.3374056, 58.507287 53.3375585, 58.5074456 53.3377624, 58.5077668 53.3381144, 58.5080635 53.3384553)",,
714333931,,living_street,False,False,131.582,,"LINESTRING (58.5072586 53.3373182, 58.5062253 53.33771, 58.50664 53.3380887)",,
80397205,улица Шаймуратова,secondary,False,False,64.287,,"LINESTRING (58.5070228 53.3366156, 58.5078222 53.3362894)",,
80397205,улица Шаймуратова,secondary,False,True,159.542,,"LINESTRING (58.5070228 53.3366156, 58.5050532 53.3374375)",,
714333928,,living_street,False,True,90.435,,"LINESTRING (58.5070228 53.3366156, 58.5074822 53.3370512, 58.5072586 53.3373182)",,
714333929,,living_street,False,False,42.789,,"LINESTRING (58.5088743 53.3373228, 58.5094682 53.3371734)",,
714333930,,living_street,False,False,59.994,,"LINESTRING (58.5088743 53.3373228, 58.5085699 53.3368148)",,
714333929,,living_street,False,True,83.167,,"LINESTRING (58.5088743 53.3373228, 58.5086939 53.3373682, 58.5090842 53.3378367, 58.5092244 53.3379046)",,
714333930,,living_street,False,True,59.994,,"LINESTRING (58.5085699 53.3368148, 58.5088743 53.3373228)",,
449363984,,living_street,False,False,80.814,,"LINESTRING (58.5085699 53.3368148, 58.5083366 53.3367797, 58.5079637 53.3363697, 58.5078222 53.3362894)",,
449363984,,living_street,False,True,79.363,,"LINESTRING (58.5085699 53.3368148, 58.5092774 53.3369192, 58.5094682 53.3371734)",,
714333931,,living_street,False,True,131.582,,"LINESTRING (58.50664 53.3380887, 58.5062253 53.33771, 58.5072586 53.3373182)",,
768066079,улица Гагарина,residential,False,True,269.462,,"LINESTRING (58.5121697 53.3379828, 58.5123494 53.3383383, 58.5125533 53.3390606, 58.5129703 53.3403564)",,
112941707,улица Мира,residential,False,False,34.839,,"LINESTRING (58.5132134 53.3434004, 58.5131396 53.3430902)",,
112941707,улица Мира,residential,False,True,20.537,,"LINESTRING (58.5130879 53.3429081, 58.5131396 53.3430902)",,
112941707,улица Мира,residential,False,False,160.313,,"LINESTRING (58.5130879 53.3429081, 58.5129779 53.3425208, 58.5125819 53.3414989)",,
1047786103,улица Чапаева,residential,False,False,158.044,,"LINESTRING (58.5130879 53.3429081, 58.5128189 53.3426454, 58.5127056 53.3423665, 58.5122384 53.3416269, 58.5122177 53.3415931)",,
444601422,,residential,False,False,205.596,,"LINESTRING (58.5122177 53.3415931, 58.509376 53.3423281)",,
444601422,,residential,False,True,26.35,,"LINESTRING (58.5122177 53.3415931, 58.5125819 53.3414989)",,
"[768066076, 1047786103]","['Школьная улица', 'улица Чапаева']",residential,False,"[False, True]",445.943,,"LINESTRING (58.5122177 53.3415931, 58.5118279 53.340955, 58.5112175 53.3402881, 58.5110875 53.3401961, 58.5107071 53.3399269, 58.5103761 53.3396679, 58.5100454 53.33924, 58.5096351 53.3386586, 58.5091622 53.3380502)",,
1047786103,улица Чапаева,residential,False,True,158.044,,"LINESTRING (58.5122177 53.3415931, 58.5122384 53.3416269, 58.5127056 53.3423665, 58.5128189 53.3426454, 58.5130879 53.3429081)",,
