osmid,oneway,lanes,highway,maxspeed,junction,reversed,length,name,geometry
43903099,True,2,primary,RU:urban,roundabout,False,5.113,,"LINESTRING (36.6837417 50.5332851, 36.683814 50.5332867)"
105533359,False,,residential,,,False,672.3159999999999,улица Королёва,"LINESTRING (36.6892425 50.5371841, 36.6891273 50.53734, 36.688683 50.5372648, 36.6882033 50.5372341, 36.6838015 50.5360971, 36.6837707 50.5357839, 36.6839555 50.5354413, 36.6845667 50.5355866, 36.6846929 50.5355705, 36.6848241 50.5354358, 36.685015 50.5353897, 36.6851205 50.5353584, 36.6854205 50.5353291, 36.6855626 50.5354021, 36.6860432 50.5351262)"
326354191,False,,tertiary,,,False,300.492,улица Бельгина,"LINESTRING (36.6892425 50.5371841, 36.6871863 50.5358753, 36.6863988 50.5353592, 36.6862522 50.5352631)"
326354191,False,,tertiary,,,True,47.349,улица Бельгина,"LINESTRING (36.6892425 50.5371841, 36.6895822 50.5373689, 36.6897686 50.5374465)"
326354191,False,,tertiary,,,False,21.211,улица Бельгина,"LINESTRING (36.6862522 50.5352631, 36.6860432 50.5351262)"
105351807,False,,residential,,,False,267.97,улица 78-й Гвардейской Дивизии,"LINESTRING (36.6862522 50.5352631, 36.6863306 50.535217, 36.6877062 50.5344065, 36.6881206 50.5341365, 36.6889717 50.5335849)"
326354191,False,,tertiary,,,True,300.49199999999996,улица Бельгина,"LINESTRING (36.6862522 50.5352631, 36.6863988 50.5353592, 36.6871863 50.5358753, 36.6892425 50.5371841)"
325929685,False,,residential,,,False,9.182,улица 78-й Гвардейской Дивизии,"LINESTRING (36.689328 50.53335, 36.6893576 50.5332696)"
105351894,False,2,residential,,,True,272.376,улица Скворцова,"LINESTRING (36.6925784 50.5346849, 36.6924844 50.5346295, 36.6915843 50.5340691, 36.6913241 50.5339057, 36.6906628 50.5334906, 36.6899916 50.5330693, 36.6898336 50.5329656)"
105473033,False,,tertiary,,,False,145.509,Юбилейная улица,"LINESTRING (36.6925784 50.5346849, 36.6924757 50.5347507, 36.6920114 50.5350585, 36.6917834 50.5352483, 36.6913311 50.535718)"
105351894,False,2,residential,,,False,272.376,улица Скворцова,"LINESTRING (36.6898336 50.5329656, 36.6899916 50.5330693, 36.6906628 50.5334906, 36.6913241 50.5339057, 36.6915843 50.5340691, 36.6924844 50.5346295, 36.6925784 50.5346849)"
325929685,False,,residential,,,True,47.703,улица 78-й Гвардейской Дивизии,"LINESTRING (36.6898336 50.5329656, 36.6894481 50.5332169, 36.6893576 50.5332696)"
325929685,False,,residential,,,True,9.182,улица 78-й Гвардейской Дивизии,"LINESTRING (36.6893576 50.5332696, 36.689328 50.53335)"
105351740,False,,residential,,,True,242.49099999999999,Сиреневый бульвар,"LINESTRING (36.6893576 50.5332696, 36.6892614 50.5332038, 36.6886337 50.5327747, 36.6882678 50.5325246, 36.6881642 50.5324537, 36.6879733 50.5323232, 36.687872 50.532254, 36.68736 50.5319039, 36.6872691 50.5318418, 36.6870215 50.5316725)"
325929685,False,,residential,,,False,47.703,улица 78-й Гвардейской Дивизии,"LINESTRING (36.6893576 50.5332696, 36.6894481 50.5332169, 36.6898336 50.5329656)"
105351849,False,,residential,,,True,124.066,улица Горького,"LINESTRING (36.6897686 50.5374465, 36.6889517 50.5382459, 36.6887444 50.5383411)"
105473023,False,2,tertiary,,,True,156.927,улица Бельгина,"LINESTRING (36.6897686 50.5374465, 36.6912766 50.5378011, 36.6918481 50.5379413)"
326354191,False,,tertiary,,,False,47.349,улица Бельгина,"LINESTRING (36.6897686 50.5374465, 36.6895822 50.5373689, 36.6892425 50.5371841)"
"[1000020504, 1000020505]",False,,tertiary,,,True,223.297,Юбилейная улица,"LINESTRING (36.6897686 50.5374465, 36.6897892 50.5373001, 36.6906395 50.5364487, 36.6912109 50.535845, 36.6913223 50.5357272, 36.6913311 50.535718)"
105351849,False,,residential,,,False,124.066,улица Горького,"LINESTRING (36.6887444 50.5383411, 36.6889517 50.5382459, 36.6897686 50.5374465)"
105351849,False,,residential,,,True,75.00999999999999,улица Горького,"LINESTRING (36.6887444 50.5383411, 36.6884449 50.5383558, 36.6881453 50.5383118, 36.6877329 50.5381919)"
105351849,False,,residential,,,False,37.674,улица Горького,"LINESTRING (36.6791255 50.5354523, 36.6795185 50.5356812)"
736330813,True,2,primary,40,,False,3.955,улица Ленина,"LINESTRING (36.6791255 50.5354523, 36.6790738 50.5354659)"
1000020506,False,,residential,,,False,10.425,,"LINESTRING (36.6870215 50.5316725, 36.6869193 50.5316049)"
105351740,False,,residential,,,False,242.49099999999999,Сиреневый бульвар,"LINESTRING (36.6870215 50.5316725, 36.6872691 50.5318418, 36.68736 50.5319039, 36.687872 50.532254, 36.6879733 50.5323232, 36.6881642 50.5324537, 36.6882678 50.5325246, 36.6886337 50.5327747, 36.6892614 50.5332038, 36.6893576 50.5332696)"
145409581,True,2,primary,40,,False,290.132,проспект Ленина,"LINESTRING (36.6870215 50.5316725, 36.686406 50.5320476, 36.6855865 50.5325436, 36.6851132 50.5328169, 36.6848403 50.5329745, 36.6845396 50.5331952, 36.6843662 50.5333558, 36.6842495 50.5335007, 36.6842133 50.5335535)"
105351849,False,,residential,,,False,75.00999999999999,улица Горького,"LINESTRING (36.6877329 50.5381919, 36.6881453 50.5383118, 36.6884449 50.5383558, 36.6887444 50.5383411)"
105351849,False,,residential,,,True,319.053,улица Горького,"LINESTRING (36.6877329 50.5381919, 36.6851732 50.5374479, 36.6836946 50.5369149)"
105473034,False,,residential,,,True,111.64999999999998,улица Есенина,"LINESTRING (36.680784 50.5370138, 36.6808912 50.5366084, 36.6808584 50.5364361, 36.6806961 50.5362995, 36.6807268 50.536052)"
105473019,False,,residential,,,True,152.907,улица Пушкина,"LINESTRING (36.6796232 50.5371366, 36.6796983 50.536441, 36.6797923 50.5361095, 36.679847 50.5360155, 36.6800235 50.5358024)"
105473017,False,,residential,,,False,87.084,улица Маяковского,"LINESTRING (36.6836946 50.5369149, 36.6831182 50.5376071)"
105351849,False,,residential,,,False,319.053,улица Горького,"LINESTRING (36.6836946 50.5369149, 36.6851732 50.5374479, 36.6877329 50.5381919)"
