osmid,lanes,highway,width,oneway,reversed,length,geometry,maxspeed,ref,name,bridge,junction
91508610,1,unclassified,2,False,True,208.11500000000004,"LINESTRING (40.853574 57.0076339, 40.8533476 57.0076958, 40.8532017 57.0077627, 40.8523809 57.0080112, 40.8521497 57.0081331, 40.8518514 57.0083181, 40.8517003 57.0084113, 40.8515247 57.0085462, 40.8514133 57.0087116, 40.8512725 57.0088379, 40.851261 57.0088759, 40.8512475 57.0089202)",,,,,
288873121,4,primary,,False,False,241.325,"LINESTRING (40.853574 57.0076339, 40.8526537 57.007473, 40.8517191 57.0073097, 40.8515407 57.0072785, 40.8497791 57.0069706)",50,,,,
323607251,2,primary,,False,False,43.476,"LINESTRING (40.8387766 57.0095725, 40.8393362 57.0093275)",RU:rural,24Р-093,Иваново — Ярославль,,
69095404,,tertiary,,False,False,64.179,"LINESTRING (40.8387766 57.0095725, 40.8388138 57.0097905, 40.8388596 57.0098938, 40.8390326 57.0101275)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,False,44.325,"LINESTRING (40.8506355 57.0122303, 40.8513561 57.0123008)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,True,82.153,"LINESTRING (40.8506355 57.0122303, 40.8504883 57.0122133, 40.8492822 57.0121965)",,24Н-164,Дьяковская улица,,
91508584,,residential,4,False,False,86.62700000000001,"LINESTRING (40.8506355 57.0122303, 40.8506166 57.0119575, 40.8505463 57.0116946, 40.8504525 57.0114597)",,,,,
91508591,,residential,4,False,True,86.22,"LINESTRING (40.8504525 57.0114597, 40.8518261 57.011255)",,,,,
"[91508584, 91508554]",,residential,4,False,"[False, True]",175.55300000000003,"LINESTRING (40.8504525 57.0114597, 40.850129 57.0108751, 40.8496986 57.0105531, 40.8490812 57.0104622, 40.8486955 57.010391)",,,,,
91508584,,residential,4,False,True,86.62700000000001,"LINESTRING (40.8504525 57.0114597, 40.8505463 57.0116946, 40.8506166 57.0119575, 40.8506355 57.0122303)",,,,,
91508585,,residential,4,False,True,144.333,"LINESTRING (40.8504525 57.0114597, 40.8497156 57.0115367, 40.8494736 57.0115378, 40.8491491 57.0115312, 40.8480826 57.0115473)",,,,,
323607251,2,primary,,False,True,43.476,"LINESTRING (40.8393362 57.0093275, 40.8387766 57.0095725)",RU:rural,24Р-093,Иваново — Ярославль,,
91508554,,residential,4,False,False,551.355,"LINESTRING (40.8393362 57.0093275, 40.8396285 57.009344, 40.8405413 57.009459, 40.842567 57.009707, 40.8443407 57.0099181, 40.846754 57.0102189, 40.8480334 57.0103667, 40.8482332 57.0103743)",,,,,
"[55211840, 55211841, 323607251]",2,primary,,False,False,457.30699999999996,"LINESTRING (40.8393362 57.0093275, 40.839722 57.0091362, 40.8409909 57.0085847, 40.8416078 57.0082993, 40.8431221 57.0075808, 40.8446082 57.0068755, 40.8447442 57.006811, 40.8448357 57.0067676, 40.844906 57.0067342, 40.8450742 57.0066544)","['60', 'RU:rural']",24Р-093,"['Иваново — Ярославль', 'Ярославская улица']",yes,
91508609,,residential,5,False,True,49.918,"LINESTRING (40.8512475 57.0089202, 40.8511095 57.008968, 40.8504821 57.0090811)",,,улица Цветаева,,
91508610,1,unclassified,2,False,False,208.115,"LINESTRING (40.8512475 57.0089202, 40.851261 57.0088759, 40.8512725 57.0088379, 40.8514133 57.0087116, 40.8515247 57.0085462, 40.8517003 57.0084113, 40.8518514 57.0083181, 40.8521497 57.0081331, 40.8523809 57.0080112, 40.8532017 57.0077627, 40.8533476 57.0076958, 40.853574 57.0076339)",,,,,
91508585,,residential,4,False,False,144.333,"LINESTRING (40.8480826 57.0115473, 40.8491491 57.0115312, 40.8494736 57.0115378, 40.8497156 57.0115367, 40.8504525 57.0114597)",,,,,
91600960,,residential,4,False,False,154.562,"LINESTRING (40.8480826 57.0115473, 40.8480425 57.0115347, 40.8479348 57.0114369, 40.8476149 57.0112489, 40.8475715 57.0111752, 40.8477196 57.0111154, 40.8479213 57.0110237, 40.8480337 57.0108833, 40.8482332 57.0103743)",,,,,
443255593,,residential,4,False,True,76.687,"LINESTRING (40.8480826 57.0115473, 40.8479273 57.0117149, 40.8476453 57.0118619, 40.8475958 57.0119932, 40.847557 57.0121471)",,,,,
91508609,,residential,5,False,False,81.618,"LINESTRING (40.8497354 57.0096909, 40.8499355 57.0095328, 40.8500819 57.0093832, 40.8502041 57.0092909, 40.8504821 57.0090811)",,,улица Цветаева,,
91508591,,residential,4,False,False,86.22,"LINESTRING (40.8518261 57.011255, 40.8504525 57.0114597)",,,,,
91508554,,residential,4,False,True,28.051,"LINESTRING (40.8486955 57.010391, 40.8482332 57.0103743)",,,,,
"[91508584, 91508554]",,residential,4,False,"[False, True]",175.553,"LINESTRING (40.8486955 57.010391, 40.8490812 57.0104622, 40.8496986 57.0105531, 40.850129 57.0108751, 40.8504525 57.0114597)",,,,,
91508568,,residential,5,False,False,83.358,"LINESTRING (40.8486955 57.010391, 40.8489189 57.010313, 40.8490806 57.0102363, 40.8491388 57.0101932, 40.8492526 57.0100841, 40.8493754 57.0100031, 40.8494807 57.0099064, 40.8495699 57.0098283)",,,,,
91508609,,residential,5,False,False,49.918,"LINESTRING (40.8504821 57.0090811, 40.8511095 57.008968, 40.8512475 57.0089202)",,,улица Цветаева,,
91508609,,residential,5,False,True,81.618,"LINESTRING (40.8504821 57.0090811, 40.8502041 57.0092909, 40.8500819 57.0093832, 40.8499355 57.0095328, 40.8497354 57.0096909)",,,улица Цветаева,,
100767751,,residential,,False,True,204.002,"LINESTRING (40.8504821 57.0090811, 40.850472 57.0090365, 40.8504155 57.008993, 40.8504107 57.0089412, 40.8504956 57.0088715, 40.8505031 57.0088158, 40.8504487 57.0087556, 40.8503001 57.0086595, 40.8487181 57.007617)",,,,,
288873122,4,primary,,False,True,31.023,"LINESTRING (40.8492926 57.0068831, 40.8497791 57.0069706)",50,,,,
91508580,,residential,6,False,False,241.66700000000003,"LINESTRING (40.8492926 57.0068831, 40.8494176 57.0066572, 40.8497222 57.0061068, 40.8500628 57.0055453, 40.8504497 57.0048818, 40.8504836 57.004809)",,,Школьная улица,,
288873122,4,primary,,False,False,59.581999999999994,"LINESTRING (40.8492926 57.0068831, 40.8491245 57.0068529, 40.8483582 57.0067151)",50,,,,
91508568,,residential,5,False,True,83.358,"LINESTRING (40.8495699 57.0098283, 40.8494807 57.0099064, 40.8493754 57.0100031, 40.8492526 57.0100841, 40.8491388 57.0101932, 40.8490806 57.0102363, 40.8489189 57.010313, 40.8486955 57.010391)",,,,,
69095404,,tertiary,,False,True,44.325,"LINESTRING (40.8513561 57.0123008, 40.8506355 57.0122303)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,False,136.762,"LINESTRING (40.8448314 57.0119579, 40.845933 57.0120733, 40.8465799 57.0121171, 40.847062 57.0121473)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,True,134.192,"LINESTRING (40.8448314 57.0119579, 40.8440396 57.0118637, 40.8430228 57.0117211, 40.8426796 57.0116695)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,False,82.153,"LINESTRING (40.8492822 57.0121965, 40.8504883 57.0122133, 40.8506355 57.0122303)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,True,104.60499999999999,"LINESTRING (40.8492822 57.0121965, 40.8483 57.0121761, 40.847557 57.0121471)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,False,133.954,"LINESTRING (40.8406746 57.0111608, 40.8415354 57.0113867, 40.8420131 57.011511, 40.8424076 57.0116102, 40.8426796 57.0116695)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,True,154.685,"LINESTRING (40.8406746 57.0111608, 40.8401218 57.0109191, 40.8395265 57.0106253, 40.8390633 57.0101884, 40.8390326 57.0101275)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,False,29.968,"LINESTRING (40.847062 57.0121473, 40.847557 57.0121471)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,True,136.762,"LINESTRING (40.847062 57.0121473, 40.8465799 57.0121171, 40.845933 57.0120733, 40.8448314 57.0119579)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,False,134.192,"LINESTRING (40.8426796 57.0116695, 40.8430228 57.0117211, 40.8440396 57.0118637, 40.8448314 57.0119579)",,24Н-164,Дьяковская улица,,
69095404,,tertiary,,False,True,133.954,"LINESTRING (40.8426796 57.0116695, 40.8424076 57.0116102, 40.8420131 57.011511, 40.8415354 57.0113867, 40.8406746 57.0111608)",,24Н-164,Дьяковская улица,,
91508554,,residential,4,False,False,28.051,"LINESTRING (40.8482332 57.0103743, 40.8486955 57.010391)",,,,,
91508554,,residential,4,False,True,551.355,"LINESTRING (40.8482332 57.0103743, 40.8480334 57.0103667, 40.846754 57.0102189, 40.8443407 57.0099181, 40.842567 57.009707, 40.8405413 57.009459, 40.8396285 57.009344, 40.8393362 57.0093275)",,,,,
91600960,,residential,4,False,True,154.56199999999998,"LINESTRING (40.8482332 57.0103743, 40.8480337 57.0108833, 40.8479213 57.0110237, 40.8477196 57.0111154, 40.8475715 57.0111752, 40.8476149 57.0112489, 40.8479348 57.0114369, 40.8480425 57.0115347, 40.8480826 57.0115473)",,,,,
69095404,,tertiary,,False,True,29.968,"LINESTRING (40.847557 57.0121471, 40.847062 57.0121473)",,24Н-164,Дьяковская улица,,
